 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56577,38762,--,--,--,--,--,--,229,13602,--,--,--,2563,--,65393, 
 收取利息、手续费及佣金的现金(万元),142263,91237,50703,316047,231240,144313,75022,356898,237804,157450,80039,514845,393744,245683,78944,161393,89524,53440,28138,106381,77859,48794,24731,79658,62127,41705,21215,105715,55486,148053,161537,102323,186076, 
 拆入资金净增加额(万元),30000,20000,20000,--,--,--,--,50000,--,--,--,--,--,--,--,167200,28400,26000,16000,22200,12000,6000,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),958232,244703,163593,223112,284609,240706,57847,87624,251790,155644,--,144661,138857,27130,22820,81493,102959,21401,--,86770,84869,90167,93362,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),39978,60967,23456,451704,277628,301757,329697,170960,69939,69677,101743,225067,146834,252849,50623,8870,1545,2297,517,8424,21924,25743,18961,50562,23911,8057,22422,80918,60153,12660,615079,152770,681134, 
 经营活动现金流入小计(万元),1332384,513324,335991,990864,838295,748045,493388,985410,782754,632065,390743,1759918,1827593,1852090,571726,1006951,602535,196614,94326,223775,196652,170704,137054,130220,86038,49992,57239,186633,115638,160713,779180,255092,932604, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),60111,42193,16618,82906,53655,32428,15358,67643,41767,23836,11602,67986,49347,22495,10447,19916,9849,4752,2034,9378,6503,4248,1302,7020,4567,3594,1466,10601,4514,8004,7086,6467,11638, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),107534,89404,24700,143788,123404,104386,23655,133285,113857,95729,25399,92082,72653,48672,11531,43108,31219,22884,8219,35187,25852,16441,7485,36730,29552,22198,9298,42748,26755,40750,27119,29241,25680, 
 支付的各项税费(万元),27366,21728,9365,57391,43179,31306,11315,94154,72229,56996,22814,88154,83785,41970,14640,24864,10480,6838,3179,15845,9975,7468,1296,9749,7003,3890,485,20497,16350,24030,37110,35877,101703, 
 支付的其他与经营活动有关的现金(万元),92042,46449,83554,86434,55954,48392,15233,129191,113068,58526,28023,468590,388970,108884,28095,169142,109549,69085,22686,50518,124550,74166,28030,104777,149304,106954,7174,286157,166697,330482,32603,403897,110032, 
 经营活动现金流出小计(万元),1148993,463715,248355,1436338,1246503,995503,488496,1509145,1551679,1167525,630276,1769834,1078466,1197865,483849,618823,287454,134644,62715,361725,314416,244040,175761,212043,190426,136636,55040,451512,226284,410840,103919,535029,249053, 
