 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),87263,54079,135409,65876,103872,81787,60399, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),3731,3215,4806,4288,5072,2333,1314, 
 收到的其他与经营活动有关的现金(万元),25341,23815,40543,19789,25926,53365,56898, 
 经营活动现金流入小计(万元),116335,81109,180758,89954,134870,137485,118611, 
 购买商品、接受劳务支付的现金(万元),77256,58653,86653,45376,78189,51966,45161, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16115,10976,17781,12794,12690,8125,5889, 
 支付的各项税费(万元),7538,5990,10907,8118,7017,7064,6412, 
 支付的其他与经营活动有关的现金(万元),23982,17501,55879,37551,36908,54324,73266, 
 经营活动现金流出小计(万元),124890,93120,171220,103839,134804,121479,130728, 
 经营活动产生的现金流量净额(万元),-8556,-12011,9538,-13885,66,16006,-12116, 
 收回投资所收到的现金(万元),--,--,--,--,1200,--,40, 
 取得投资收益所收到的现金(万元),--,--,--,--,179,--,65, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,2,76,9502, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,1381,76,9608, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),167,74,190,91,208,218,125, 
 投资所支付的现金(万元),10200,--,--,--,2000,4000,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
