 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),2894,19684,21453,13553,7232,13420,13772,3939,2679,19915,16292,12874,4047,25643,17476,9054,4845,15549,10502,7059,2940,15023,11422,9329,20795,20696,13079,8721,6879,3859, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的税费返还(万元),167,--,26,-20,-20,--,328,157,64,134,24,--,--,--,--,--,--,--,--,--,--,--,--,--,161,191,160,226,238,144, 
 收到的其他与经营活动有关的现金(万元),837,2873,6298,5210,1171,1249,5963,3228,1970,2035,1156,604,1018,2037,1330,572,316,1083,1369,1219,1504,1826,973,704,850,1271,838,276,458,550, 
 经营活动现金流入小计(万元),3897,22557,27778,18744,8384,14669,20063,7325,4713,22084,17473,13478,5065,27680,18806,9625,5161,16632,11871,8278,4444,16849,12395,10033,21806,22158,14077,9223,7575,4553, 
 购买商品、接受劳务支付的现金(万元),1795,13017,20579,15103,4397,12228,16900,11473,7303,14303,8422,3915,1372,11032,6584,5609,2331,8938,8198,5249,1592,14944,9011,7817,12531,16127,9326,8177,5272,3853, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),797,4175,3229,1897,1069,4128,3009,1944,1063,3796,2666,1614,684,3312,2195,1481,747,3091,2011,1307,679,2107,1442,956,1566,1492,970,800,539,325, 
 支付的各项税费(万元),115,601,1061,812,577,2264,2165,1700,782,1716,1441,900,487,1410,1088,614,331,2502,2249,1964,569,3922,3507,2813,1934,2377,1756,1176,710,358, 
 支付的其他与经营活动有关的现金(万元),1495,3185,5306,3443,2208,5154,9753,7304,5260,4209,3669,2122,2703,2871,1307,560,670,2255,2340,2553,1774,1849,2612,929,1545,1948,1034,1456,570,801, 
 经营活动现金流出小计(万元),4202,20978,30175,21255,8251,23774,31827,22421,14408,24024,16198,8550,5246,18625,11174,8264,4078,16786,14798,11073,4615,22822,16572,12515,17576,21944,13085,11609,7091,5337, 
 经营活动产生的现金流量净额(万元),-305,1579,-2397,-2511,133,-9106,-11764,-15096,-9695,-1940,1275,4928,-182,9056,7632,1362,1083,-153,-2927,-2795,-171,-5973,-4177,-2482,4230,214,992,-2387,484,-784, 
 收回投资所收到的现金(万元),--,2940,2048,1790,1170,--,563,192,--,2062,2189,2189,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 取得投资收益所收到的现金(万元),--,112,1022,822,5,150,--,--,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,34,20,20,3,21,--,--,--,4,10,6,--,27,3,0,0,0,--,--,--,4,4,--,6,12,0,12,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,484,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,6531,4541,--,51,1437,--,--,--,107,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,109,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 投资活动现金流入小计(万元),5,9616,7631,2632,1229,1607,563,192,10,2174,2199,2195,0,511,3,0,0,0,0,--,0,4,4,0,6,12,0,121,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),43,4003,2082,1663,209,3469,2718,1448,405,2155,1813,1613,424,5115,2689,862,547,7173,3294,1171,529,2963,2457,2724,1634,3831,1162,2365,825,376, 
 投资所支付的现金(万元),--,--,9342,1340,920,--,2913,2695,1606,550,2029,2029,2093,2940,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
