 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),101506,497928,397244,285642,144638,550796,413107,279462,138717,472676,344198,227332,109165,377905,288638,213078,108797,262867,170673,97708,48899,196764,139846,88379,34710,189780,130902,87904,42958,153545,67463,107254,72796,62186, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1665,2502,901,374,1,29,29,9,--,12,7,7,16,402,306,163,10,84,75,27,71,--,--,--,--,--,--,--,--,--,--,20,--,--, 
 收到的其他与经营活动有关的现金(万元),2530,6926,25822,4603,503,7457,7520,2471,2632,32540,8531,1669,1394,2995,8006,7266,4909,4543,2938,1808,1672,5180,7897,2408,2214,4027,1747,1494,1397,260,237,1454,931,146, 
 经营活动现金流入小计(万元),105701,507356,423967,290620,145142,558283,420656,281942,141349,505228,352736,229007,110575,381303,296951,220507,113716,267494,173687,99543,50641,201944,147742,90787,36924,193807,132649,89397,44355,153804,67700,108729,73727,62332, 
 购买商品、接受劳务支付的现金(万元),38008,316242,250064,168435,78570,304497,229539,156810,78474,264037,186320,115092,57387,192981,137162,117360,58648,154884,95379,52461,29019,105874,80739,52620,23117,90745,65940,40773,18495,71219,32076,44302,29749,31456, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,30322,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,19097,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,8409,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),29977,161034,134685,102127,45078,116721,84203,56687,--,92886,68990,47372,26684,76301,54862,38191,21947,44243,30235,20181,10669,31267,22674,14686,6970,26645,18821,12290,6216,20489,8341,13023,8109,5957, 
 支付的各项税费(万元),1539,76426,74548,27897,13611,55512,41656,29219,--,48110,39015,24550,10569,38320,29034,20518,11186,32249,22615,13307,5568,27215,21513,17353,6605,25254,20244,13695,7252,23776,11372,20618,12357,10077, 
 支付的其他与经营活动有关的现金(万元),5447,28876,47172,14421,8720,28302,22213,11605,--,22075,21994,9261,5089,18639,20479,14472,6741,11099,6213,5890,2035,11157,6528,4100,1769,9603,5877,4416,1793,8659,3759,5621,3756,3004, 
 经营活动现金流出小计(万元),74971,582577,506470,312880,145978,505032,377611,254320,136301,427108,316320,196276,99729,326241,241536,190542,98522,242475,154441,91839,47291,175513,131454,88760,38460,152247,110883,71174,33757,124142,55548,83564,53970,50494, 
 经营活动产生的现金流量净额(万元),30730,-75221,-82502,-22260,-836,53251,43045,27621,5047,78120,36416,32732,10847,55062,55415,29965,15194,25018,19246,7704,3350,26431,16288,2027,-1536,41561,21766,18223,10599,29662,12152,25164,19757,11838, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,2500,5754,2500,--,1000,1000,1000,1000,13,--,--,--,--,--,--,--,--,--,--,--,558,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,2000,2000,--,--,--,5027,--,--,2,709,709,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2021,116045,170855,90140,72,831,692,640,104,1231,250,226,202,4638,105,4110,14,244,13,11,57,225,213,37,21,45,35,6,--,928,914,519,21,7, 
 处置子公司及其他营业单位收到的现金净额(万元),--,233886,160641,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,28,--,--,105,3839,--,--,--,--,--,--,--,--,--,--,--,2237,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),2021,349932,331496,90140,72,2831,2692,640,104,3731,11031,2726,202,5668,1814,5819,1121,4096,13,11,57,225,213,37,21,45,35,6,0,3723,914,519,21,7, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7459,50130,40547,30595,15875,90415,64883,46174,25493,52670,41908,29700,21980,45695,30462,28460,10080,37649,16722,9565,3106,33025,27178,6839,3651,18524,7682,4456,1263,11551,4916,15726,1620,4593, 
 投资所支付的现金(万元),--,2000,2000,2000,2000,75380,75362,62274,32300,149035,146861,44061,36761,62742,7542,--,150,3695,774,774,--,1054,2150,--,--,8160,8159,3165,2165,500,500,9360,--,5637, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,1222,--,--,--,--,--,--,--,--,--,--,68499,62596,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,0,0,130,130,130,30,145,5,5,0,919,108,--,1,1242,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),7459,52130,43769,32595,17876,165925,140375,108578,57823,201851,188775,73767,58741,177855,100708,28460,10231,42586,17496,10339,3106,34079,29328,6839,3651,26684,15840,7621,3428,12051,5416,25085,1620,10230, 
 投资活动产生的现金流量净额(万元),-5439,297802,287727,57545,-17803,-163093,-137682,-107938,-57719,-198120,-177744,-71041,-58539,-172187,-98894,-22642,-9110,-38490,-17483,-10328,-3050,-33854,-29115,-6801,-3631,-26639,-15805,-7615,-3428,-8329,-4502,-24567,-1599,-10223, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2058,--,--,--,144100,144100,144100,144100,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),22500,57579,60179,89579,59579,214500,33700,33700,30000,5000,5000,5000,--,22900,24900,4900,4900,108,--,--,--,--,--,--,--,--,--,--,--,--,--,10000,--,--, 
