 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),24594,15301,8527,29803,22882,14284,8040,36432,27720,16185,29544,30000,32735,30441, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),977,782,601,374,229,148,89,302,172,165,105,337,82,12, 
 收到的其他与经营活动有关的现金(万元),1511,753,437,240,1272,1218,614,786,671,577,848,1019,1244,3504, 
 经营活动现金流入小计(万元),27083,16836,9566,30417,24383,15649,8743,37520,28564,16926,30496,31356,34061,33957, 
 购买商品、接受劳务支付的现金(万元),17402,11393,5762,17593,14951,9780,5341,17622,14643,6784,15035,17081,15673,20584, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5642,3636,1751,6611,4824,3410,1768,7747,5640,3969,7448,7025,6347,4498, 
 支付的各项税费(万元),2792,1768,1266,4505,3308,1905,1362,4606,4167,2906,3995,4877,4443,2680, 
 支付的其他与经营活动有关的现金(万元),4851,3043,1952,4580,3931,2349,2371,3803,3570,2420,3407,4500,5431,4485, 
 经营活动现金流出小计(万元),30688,19839,10731,33289,27014,17445,10842,33778,28019,16079,29885,33483,31894,32246, 
 经营活动产生的现金流量净额(万元),-3605,-3003,-1165,-2872,-2631,-1795,-2099,3742,545,847,612,-2127,2167,1711, 
 收回投资所收到的现金(万元),24500,24500,10000,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),115,115,69,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),12,7,17,12,5,4,--,1,1,--,--,7,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),24627,24622,10085,12,5,4,0,1,1,0,0,7,2,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3147,1797,167,1627,696,532,70,1153,791,700,684,646,790,2336, 
 投资所支付的现金(万元),22600,14500,6500,10000,--,--,--,--,--,--,--,--,155,87, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
