 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),107588,69654,31003,89386,61056,36989,20585,57789,45980,29765,12258,54310,44142,29788,16777,59393,42182,27798,13256,70007,50678,34705,16533,53693,39055,24748,58396,43920,38574, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2976,2047,866,3107,1910,1097,512,1918,537,537,133,1615,863,195,0,3284,2045,629,91,2772,1941,1464,540,3160,1968,1369,712,142,--, 
 收到的其他与经营活动有关的现金(万元),2076,1645,-225,1982,2161,455,306,1316,1107,682,88,1272,669,574,234,604,950,894,657,3383,2888,1896,884,1564,913,632,3387,1472,3374, 
 经营活动现金流入小计(万元),112640,73346,31643,94475,65128,38541,21403,61023,47624,30983,12479,57196,45675,30557,17011,63281,45178,29321,14004,76162,55507,38065,17957,58417,41936,26749,62495,45534,41948, 
 购买商品、接受劳务支付的现金(万元),61409,41203,19778,44554,29429,17392,8206,30409,27860,17676,6305,30088,23470,15647,6996,32739,23925,16245,8800,31447,23036,15374,8711,39232,30761,18185,36244,28700,18793, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16474,11631,6811,18760,14085,9592,5607,15688,6780,4984,2966,7042,5414,4122,2895,5930,4681,3577,2510,5454,4394,3497,2592,4625,3661,2836,4130,2741,2246, 
 支付的各项税费(万元),7795,4681,2595,9556,5943,3910,2726,7175,3786,2889,1796,6988,5642,3645,2027,9546,6820,4161,2078,8928,6945,4679,2548,9648,7338,5289,8204,5977,5340, 
 支付的其他与经营活动有关的现金(万元),10671,7364,2822,10506,9763,7254,2193,6850,4605,3225,1540,6844,4517,3061,1672,5837,4303,3045,1474,7499,5674,3964,1854,6501,4800,2772,5830,3651,4046, 
 经营活动现金流出小计(万元),96349,64880,32006,83375,59220,38148,18732,60123,43031,28774,12608,50962,39044,26475,13590,54052,39729,27027,14862,53328,40049,27514,15706,60006,46561,29082,54408,41068,30425, 
 经营活动产生的现金流量净额(万元),16290,8467,-363,11100,5908,393,2670,900,4593,2209,-129,6234,6631,4082,3421,9228,5448,2294,-858,22834,15459,10551,2251,-1589,-4624,-2333,8088,4466,11523, 
