 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),5751,51892,28679,17840,4836,31879,14454,8519,4280,25463,15110,9660,3835,20343,12783,9923,16867,17172,13206, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),367,1625,1484,847,56,1367,--,--,--,1182,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),293,781,1017,291,71,495,857,399,298,392,520,323,31,491,393,190,296,393,165, 
 经营活动现金流入小计(万元),6411,54299,31181,18978,4963,33741,15311,8918,4578,27037,15630,9983,3866,20834,13176,10113,17163,17565,13371, 
 购买商品、接受劳务支付的现金(万元),5072,27789,20424,12683,7357,15311,10652,6268,2932,13455,7863,4749,1879,7707,5158,4005,6256,6932,7111, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3302,9883,6584,5311,2948,7002,4853,3744,2111,3705,2888,1885,1282,3609,2386,1865,2780,2507,2016, 
 支付的各项税费(万元),820,5805,3521,2062,380,5057,3559,1421,574,3477,2940,1320,457,2880,2467,1332,2869,2752,2177, 
 支付的其他与经营活动有关的现金(万元),1948,4799,4773,2599,1595,4089,3993,1699,1207,2867,1936,996,414,2643,1797,1098,1941,1652,1727, 
 经营活动现金流出小计(万元),11142,48276,35302,22655,12280,31459,23057,13131,6824,23505,15627,8949,4032,16839,11809,8299,13846,13844,13030, 
