 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2012-09-30,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),713005,--,--,--,--,2474435,2195693,931395,--,--,-6059766,--,-165903,--,63232,--,59980,277182,466659,--,251682,--,-170841,-125041,--,231641, 
 收取利息、手续费及佣金的现金(万元),320796,1865206,1063476,760972,313161,1888052,1369933,910772,439824,3355320,2412765,1753703,576003,964439,871448,534612,183103,692564,415377,510769,321159,598525,731219,803198,--,1052921, 
 拆入资金净增加额(万元),340000,490000,400000,270000,--,300000,100000,--,115000,--,-256900,--,-300000,366900,67217,64,--,--,58204,60000,--,--,--,--,--,153, 
 回购业务资金净增加额(万元),--,371643,824213,388873,--,--,--,--,--,2789011,3522900,4774250,3518259,1520250,1487574,473993,93132,48752,63027,232770,18096,45716,-60782,-28532,--,-8096, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),136980,25561,229005,42343,54991,23879,345183,377142,58922,1309161,1332369,1281802,575541,501235,104916,254335,8385,66309,79824,7241,7443399,56389,153933,133763,--,35624, 
 经营活动现金流入小计(万元),3002132,2766085,2687864,2074385,608791,6281683,6533214,4550473,2774316,12704324,7134941,19878555,7285468,6040119,4381483,1659374,362657,1084807,819361,818075,7433318,707065,-1643447,4108619,--,4461791, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),82243,492448,192619,222457,76693,482517,423144,253311,130925,916622,445365,418828,99178,167781,152148,101763,9852,92295,64642,76920,65754,100698,113965,104540,--,98157, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),113765,691355,469551,428507,148708,642295,473867,417034,105386,443958,357123,201433,122381,254400,282901,207075,75432,189260,111236,175842,133702,185893,149663,140359,--,128420, 
 支付的各项税费(万元),48731,286414,240239,138586,89361,556220,498148,454276,251087,388166,328715,197836,106554,103238,129285,96189,29214,92648,76191,70163,62728,110370,129457,170503,--,223194, 
 支付的其他与经营活动有关的现金(万元),246172,527736,500871,461892,158072,368135,1409835,350849,144844,1058315,692884,362141,301833,210289,374610,375760,93899,156039,1591502,603098,7662477,1355751,244724,232974,--,342147, 
 经营活动现金流出小计(万元),2592234,5824627,4895604,3782577,2498483,10132341,11744673,6003611,4034056,7657875,1824087,9288850,3917413,3874010,2332801,971653,256697,1727251,1843570,1058225,7924661,1758938,637809,648374,--,791918, 
 经营活动产生的现金流量净额(万元),409898,-3058542,-2207740,-1708192,-1889692,-3850658,-5211459,-1453139,-1259739,5046450,5310855,10589706,3368056,2166108,2048682,687721,105960,-642444,-1024209,-240150,-491344,-1051873,-2281256,3460245,-2581130,3669873, 
 收回投资所收到的现金(万元),--,--,375,1209810,--,--,1645098,299624,101385,--,10998,50273,118903,70702,286896,--,120093,19503,41900,--,369942,--,36484,49922,--,116055, 
 取得投资收益所收到的现金(万元),40533,201139,131599,85046,10795,106395,102843,52852,16101,102490,155282,50156,16321,36529,34391,35002,7945,18621,7245,5420,9518,5605,50125,23361,--,16701, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3346,--,979,253,82,--,71, 
