 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),73740,50218,24464,78955,59203,38162,19840,63174,47093,52691,46551,38387, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),461,254,95,452,388,200,154,232,108,200,272,91, 
 收到的其他与经营活动有关的现金(万元),20229,299,54,457,289,187,140,543,274,408,463,186, 
 经营活动现金流入小计(万元),94430,50770,24613,79864,59881,38549,20133,63948,47475,53299,47285,38664, 
 购买商品、接受劳务支付的现金(万元),49070,31461,12890,44383,31877,21499,10538,31958,23846,30099,25721,24292, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),17046,11689,5452,17335,11934,7898,3196,12955,9578,10689,9516,7518, 
 支付的各项税费(万元),3587,1945,1491,5441,4049,3042,1754,4986,3921,4803,3234,2915, 
 支付的其他与经营活动有关的现金(万元),4291,2937,1388,4880,3719,2259,1080,4017,3139,3801,2945,2550, 
 经营活动现金流出小计(万元),73995,48032,21221,72039,51579,34698,16569,53916,40484,49393,41416,37274, 
 经营活动产生的现金流量净额(万元),20436,2738,3392,7825,8302,3851,3565,10033,6991,3906,5869,1390, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,11,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,1,2,0,0,0,0,6,6,3,30,15, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,1060,1000,--,--,620,620,500,70,180, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),11,1,2,1060,1000,0,0,626,626,503,111,195, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6449,3233,3727,4892,4090,3143,1904,5038,4071,1050,1055,2191, 
 投资所支付的现金(万元),1900,--,--,--,--,--,--,--,--,220,20,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,446,446,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8349,3233,3727,4892,4090,3143,1904,5484,4517,1270,1074,2191, 
 投资活动产生的现金流量净额(万元),-8338,-3232,-3725,-3832,-3090,-3143,-1904,-4858,-3891,-768,-964,-1996, 
 吸收投资收到的现金(万元),32650,--,--,--,--,--,--,--,--,--,--,80, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),471,400,471,1607,1407,1407,1107,1238,718,2536,772,3182, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),191,32841,32650,266,66,66,-25,--,--,--,--,14, 
 筹资活动现金流入小计(万元),33312,33241,33121,1873,1473,1473,1082,1238,718,2536,772,3276, 
 偿还债务支付的现金(万元),2816,2745,471,500,--,--,0,1380,1380,1930,1990,2182, 
 分配股利、利润或偿付利息所支付的现金(万元),1092,1066,40,701,700,688,0,637,528,423,330,341, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),533,583,723,474,290,206,0,285,213,--,1412,150, 
 筹资活动现金流出小计(万元),4441,4394,1235,1675,990,894,0,2301,2121,2353,3732,2673, 
 筹资活动产生的现金流量净额(万元),28871,28847,31887,197,482,579,1082,-1063,-1403,183,-2960,602, 
 汇率变动对现金及现金等价物的影响(万元),-393,-233,-61,453,137,112,-30,89,44,-10,-31,3, 
 现金及现金等价物净增加额(万元),40576,28120,31493,4643,5831,1399,2713,4200,1741,3312,1915,-0, 
 加:期初现金及现金等价物余额(万元),19020,19020,19020,14377,14377,14377,14377,10177,10177,6865,4951,4951, 
 期末现金及现金等价物余额(万元),59596,47141,50513,19020,20208,15776,17090,14377,11918,10177,6865,4951, 
 净利润(万元),--,3667,--,12016,7882,5312,--,10206,6764,8392,5164,3754, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-192,--,884,249,203,--,111,-31,844,177,746, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,741,--,1196,871,556,--,954,690,812,737,565, 
 无形资产摊销(万元),--,37,--,64,48,32,--,68,51,68,54,34, 
 长期待摊费用摊销(万元),--,124,--,195,143,100,--,155,74,81,70,40, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,2,--,9,2,1,--,42,22,7,36,56, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,2,1, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,292,--,-426,-120,-100,--,-47,-10,137,122,101, 
 投资损失(万元),--,2,--,116,116,116,--,45,39,78,-1,--, 
 递延所得税资产减少(万元),--,-46,--,-98,-52,-31,--,-17,15,-111,24,-103, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,-0,-0, 
 存货的减少(万元),--,155,--,-5724,-5470,-2737,--,-860,-2135,471,-355,-1388, 
 经营性应收项目的减少(万元),--,-1816,--,-9568,963,314,--,-3265,1268,-9640,-645,-4596, 
 经营性应付项目的增加(万元),--,-228,--,9162,3671,85,--,2642,245,2766,485,2180, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,2738,--,7825,8302,3851,--,10033,6991,3906,5869,1390, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),59596,47141,50513,19020,20208,15776,17090,14377,11918,10177,6865,4951, 
 现金的期初余额(万元),19020,19020,19020,14377,14377,14377,14377,10177,10177,6865,4951,4951, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),40576,28120,31493,4643,5831,1399,2713,4200,1741,3312,1915,-0, 

