 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),30825,21467,11296,40272,27985,17042,7051,39210,20014,34621,31320,31711, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,5,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1864,918,1317,2728,2244,1444,1755,3770,1503,3341,4130,2392, 
 经营活动现金流入小计(万元),32689,22384,12614,43005,30230,18487,8805,42980,21518,37962,35450,34104, 
 购买商品、接受劳务支付的现金(万元),25475,15900,9456,31530,22384,12364,8393,24815,14693,26794,22538,24870, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3793,2869,1910,4542,3720,2878,1761,4946,4059,5323,4806,3548, 
 支付的各项税费(万元),2306,1613,770,2706,1939,1502,799,1829,1243,1770,1459,1430, 
 支付的其他与经营活动有关的现金(万元),6806,4629,3896,6168,4331,2528,1990,7633,4902,8082,6505,4711, 
 经营活动现金流出小计(万元),38381,25012,16032,44947,32374,19273,12943,39223,24898,41968,35308,34560, 
 经营活动产生的现金流量净额(万元),-5692,-2628,-3418,-1941,-2144,-786,-4138,3757,-3380,-4006,142,-456, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,15,6,8,--,473, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,101,--,--,--,600,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,101,0,0,0,615,6,8,0,473, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2075,222,104,128,355,279,56,2481,99,214,303,2654, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,17,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),8,8,--,--,--,--,--,--,17,--,--,--, 
