 报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),36871,58363,42241,30531,22190, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),3678,5573,3891,2365,2116, 
 收到的其他与经营活动有关的现金(万元),3268,5509,6103,6792,8806, 
 经营活动现金流入小计(万元),43818,69445,52235,39688,33112, 
 购买商品、接受劳务支付的现金(万元),23393,34928,24740,20767,15286, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7442,10063,6344,4748,3510, 
 支付的各项税费(万元),1411,2745,1512,354,408, 
 支付的其他与经营活动有关的现金(万元),6745,10922,10418,9498,10125, 
 经营活动现金流出小计(万元),38991,58657,43014,35367,29329, 
 经营活动产生的现金流量净额(万元),4827,10788,9221,4321,3783, 
 收回投资所收到的现金(万元),58900,56060,20900,11050,1960, 
 取得投资收益所收到的现金(万元),113,168,212,114,31, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,6,9,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,290,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),59016,56523,21120,11166,1991, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1108,3138,2065,438,1277, 
 投资所支付的现金(万元),58900,56060,19400,11450,3060, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,1844,--,--, 
 支付的其他与投资活动有关的现金(万元),545,174,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),60553,59372,23309,11888,4337, 
 投资活动产生的现金流量净额(万元),-1537,-2849,-2189,-722,-2347, 
 吸收投资收到的现金(万元),--,--,720,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,1000,2300,5600, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,1720,2300,5600, 
 偿还债务支付的现金(万元),--,--,2000,4800,6400, 
 分配股利、利润或偿付利息所支付的现金(万元),--,1800,2354,143,308, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,358,--,--,--, 
 筹资活动现金流出小计(万元),0,2158,4354,4943,6708, 
 筹资活动产生的现金流量净额(万元),0,-2158,-2634,-2643,-1108, 
 汇率变动对现金及现金等价物的影响(万元),-168,459,506,27,-185, 
 现金及现金等价物净增加额(万元),3122,6240,4905,983,143, 
 加:期初现金及现金等价物余额(万元),12798,6559,1654,671,527, 
 期末现金及现金等价物余额(万元),15920,12798,6559,1654,671, 
 净利润(万元),3988,7322,5912,2527,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),126,52,-388,87,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),489,816,559,601,--, 
 无形资产摊销(万元),35,72,48,29,--, 
 长期待摊费用摊销(万元),14,81,101,112,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),75,79,55,16,--, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,-30,284,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),168,-459,-453,115,--, 
 投资损失(万元),-113,-168,-212,-114,--, 
 递延所得税资产减少(万元),-16,-8,32,-38,--, 
 递延所得税负债增加(万元),--,--,--,-38,--, 
 存货的减少(万元),922,-1668,-481,-288,--, 
 经营性应收项目的减少(万元),-2537,-1323,-205,-1252,--, 
 经营性应付项目的增加(万元),1675,5991,4283,2279,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),4827,10788,9221,4321,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),15920,12798,6559,1654,671, 
 现金的期初余额(万元),12798,6559,1654,671,527, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),3122,6240,4905,983,143, 

