 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),23095,15874,7106,34126,23193,15517,6961,34344,24866,33585,20460,--,16572,7320,--,20677,7361,20159,16507,12719,12372,12890, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到的税费返还(万元),--,0,0,182,182,118,70,479,410,284,164,--,312,66,--,7,2,2,0,1,0,0, 
 收到的其他与经营活动有关的现金(万元),688,558,251,1305,1210,55,17,171,98,352,469,--,599,149,--,212,116,471,752,1180,2270,1177, 
 经营活动现金流入小计(万元),23783,16432,7357,35613,24585,15691,7048,34994,25373,34221,21093,--,17484,7536,--,20896,7479,20633,17259,13899,14642,14067, 
 购买商品、接受劳务支付的现金(万元),12852,7804,3707,14990,11512,6404,2970,14645,11486,17857,12396,--,7360,3189,--,12423,5172,10028,8143,6855,7554,7477, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),8802,5993,2588,10933,7795,5008,2058,9304,6994,8278,6511,--,5627,2610,--,5073,2599,3956,3029,2234,1788,1550, 
 支付的各项税费(万元),2059,1110,429,3894,2718,1787,616,2638,1815,2557,2046,--,1607,617,--,1417,860,1331,1569,900,1459,819, 
 支付的其他与经营活动有关的现金(万元),2955,2125,1503,4097,3081,2188,1261,4082,4454,3766,3273,--,2652,1745,--,3240,2010,2597,3094,3143,3356,675, 
 经营活动现金流出小计(万元),26667,17032,8227,33915,25107,15386,6905,30669,24749,32458,24225,--,17246,8161,--,22153,10642,17912,15836,13133,14156,10521, 
 经营活动产生的现金流量净额(万元),-2884,-600,-871,1698,-521,304,143,4324,625,1763,-3132,-2260,238,-625,-516,-1257,-3163,2720,1423,766,486,3546, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,1000,1000,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 取得投资收益所收到的现金(万元),79,0,--,38,34,20,16,55,53,4,--,--,--,--,--,--,--,0,0,0,1,2, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,8,--,--,60,--,--,--,--,--,--,7,3,1,3,230, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 投资活动现金流入小计(万元),79,0,0,38,34,20,16,1063,1053,4,60,--,0,--,--,0,0,7,3,1,4,232, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3641,2070,1230,8961,5154,4661,2421,2308,1792,1265,412,--,734,574,--,3323,627,2375,884,317,709,1530, 
 投资所支付的现金(万元),--,0,--,--,1500,1500,1500,--,--,1000,--,--,--,--,--,--,--,0,0,50,0,50, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 投资活动现金流出小计(万元),3641,2070,1230,8961,6654,6161,3921,2308,1792,2265,412,--,734,574,--,3323,627,2375,884,367,709,1580, 
 投资活动产生的现金流量净额(万元),-3562,-2070,-1230,-8922,-6620,-6141,-3905,-1245,-739,-2261,-352,-55,-734,-574,-333,-3323,-627,-2368,-880,-366,-705,-1348, 
 吸收投资收到的现金(万元),18865,18865,18865,--,--,--,--,--,--,6336,2224,--,--,--,--,--,--,3180,217,0,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 取得借款收到的现金(万元),1800,600,100,12108,7108,4040,522,5500,3500,6400,8510,--,6573,3718,--,4155,1111,500,4500,2500,2000,1000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1970,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,678,--,--,--,--,54,--,27,0,13,0,2930, 
 筹资活动现金流入小计(万元),20665,19465,18965,12108,7108,4040,522,5500,3500,12736,11412,--,6573,3718,--,4209,1111,5677,4717,2513,2000,3930, 
 偿还债务支付的现金(万元),5708,2140,1000,4900,3800,900,0,6250,5350,7250,7500,--,4875,2655,--,500,--,3500,3500,2000,1000,2533, 
 分配股利、利润或偿付利息所支付的现金(万元),977,902,76,360,282,188,8,365,280,606,458,--,411,117,--,247,7,1017,1766,944,295,173, 
