 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),107185,475442,288089,164352,85721,1884310,1560462,1113753,517170,1326366,896756,491536,161452,674551,345495,238554,135141,569152,366414,256634,112324,451310,210256,103731,32049,140690,92252,63704,35380,230086,159500,95526,43373,242180,188061,90657,17231,135891,114325,84881,44541,432096,333495,200094,62266,129859,41104,6613, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),90000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),91450,329652,251535,164260,88399,303935,225699,147195,69625,22014,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 收到再保险业务现金净额(万元),177,--,--,--,--,--,1337,599,1385,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 处置交易性金融资产净增加额(万元),-155360,-34800,48637,51180,-129319,-595379,-558527,-402838,-250977,-272344,-183611,-151419,-76851,68059,52171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),164787,440931,241967,151002,77137,368123,205571,120638,58718,303712,174566,145420,37396,153549,90285,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
 拆入资金净增加额(万元),-1,-95779,-18649,155000,--,-220,-56,-25,-25,-35349,-21653,31083,28204,9875,-1898,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,0,--,0,--,--, 
