 报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),10033,21746,10896,16488,16939,10335, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),205,1747,979,1693,566,751, 
 收到的其他与经营活动有关的现金(万元),129,296,1534,766,680,3260, 
 经营活动现金流入小计(万元),10366,23789,13408,18947,18185,14345, 
 购买商品、接受劳务支付的现金(万元),3672,8227,4877,4945,5409,6371, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2779,3770,1991,2718,2263,1529, 
 支付的各项税费(万元),1590,4459,3048,2418,1837,482, 
 支付的其他与经营活动有关的现金(万元),1553,2423,2488,2199,1674,5146, 
 经营活动现金流出小计(万元),9595,18879,12404,12280,11183,13528, 
 经营活动产生的现金流量净额(万元),771,4910,1005,6667,7002,818, 
 收回投资所收到的现金(万元),24527,44150,22800,17300,13500,1000, 
 取得投资收益所收到的现金(万元),96,166,100,114,68,26, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),24623,44316,22900,17414,13568,1026, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1954,3484,328,73,460,4276, 
 投资所支付的现金(万元),24527,43650,22300,12500,17300,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26481,47134,22628,12573,17760,4276, 
 投资活动产生的现金流量净额(万元),-1859,-2818,272,4840,-4192,-3251, 
 吸收投资收到的现金(万元),--,5250,5250,1019,2030,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,30,--, 
 取得借款收到的现金(万元),--,--,--,--,--,1800, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,5250,5250,1019,2030,1800, 
 偿还债务支付的现金(万元),--,--,--,1440,360,--, 
 分配股利、利润或偿付利息所支付的现金(万元),4069,3900,3900,3512,4872,11, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),4069,3900,3900,4952,5232,11, 
 筹资活动产生的现金流量净额(万元),-4069,1350,1350,-3933,-3202,1789, 
 汇率变动对现金及现金等价物的影响(万元),-27,47,5,30,1,-1, 
 现金及现金等价物净增加额(万元),-5184,3488,2632,7605,-390,-645, 
 加:期初现金及现金等价物余额(万元),11747,8259,8259,654,1045,1689, 
 期末现金及现金等价物余额(万元),6563,11747,10891,8259,654,1045, 
 净利润(万元),4730,8145,4294,4814,4452,3944, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),405,92,135,-30,0,101, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),235,322,149,325,158,51, 
 无形资产摊销(万元),3,5,2,3,2,2, 
 长期待摊费用摊销(万元),35,64,29,57,38,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--, 
 固定资产报废损失(万元),--,0,--,--,0,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),--,--,--,12,122,11, 
 投资损失(万元),-96,-166,-100,-114,-68,-26, 
 递延所得税资产减少(万元),-72,-14,-13,9,2,-46, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),-692,-113,278,71,-496,-1038, 
 经营性应收项目的减少(万元),-4805,-1423,-665,-612,1092,-1618, 
 经营性应付项目的增加(万元),1030,-2095,-3106,-95,1701,-563, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),--,92,--,2226,--,--, 
 经营活动产生现金流量净额(万元),771,4910,1005,6667,7002,818, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),6563,11747,10891,8259,654,1045, 
 现金的期初余额(万元),11747,8259,8259,654,1045,1689, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-5184,3488,2632,7605,-390,-645, 

