 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),32191,23194,11514,38758,31182,18349,9634,31447,31133,20460, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,3,3,3,3,3,--,6,14, 
 收到的其他与经营活动有关的现金(万元),1587,544,251,889,863,652,193,368,126,113, 
 经营活动现金流入小计(万元),33778,23738,11767,39650,32049,19004,9830,31814,31264,20587, 
 购买商品、接受劳务支付的现金(万元),14567,10468,5317,19482,16334,7724,4214,16329,19633,11737, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13719,8152,3565,13842,11269,6652,3186,11781,7974,3334, 
 支付的各项税费(万元),2985,2288,1196,4186,2850,2197,1066,2472,1069,915, 
 支付的其他与经营活动有关的现金(万元),3994,1445,709,1801,1301,895,657,1075,1407,704, 
 经营活动现金流出小计(万元),35265,22353,10787,39311,31754,17469,9123,31657,30082,16690, 
