 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),4648,19766,15698,8025,2977,7224,7549,4900,2188,12243,10603,7170,3809,18203,12308,7345,4405,18120,13970,9693,4536,21299,15640,11105,7642,20804,18935,11679,24605,14724,17004, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),6,27,27,20,9,34,113,112,97,3,3,3,--,33,33,--,--,14,14,14,--,144,144,144,94,1,1,1,81,308,191, 
 收到的其他与经营活动有关的现金(万元),243,853,1256,379,1077,637,796,393,725,1347,2003,1110,609,3060,1692,1144,626,2047,1493,843,370,3746,1394,647,148,2927,1693,1638,472,579,3388, 
 经营活动现金流入小计(万元),4896,20646,16982,8424,4063,7895,8459,5405,3011,13592,12609,8283,4419,21296,14033,8489,5031,20181,15476,10550,4906,25190,17178,11896,7885,23732,20629,13318,25157,15611,20583, 
 购买商品、接受劳务支付的现金(万元),1756,8285,6477,3816,1891,3626,3218,2508,1736,5141,3925,2611,1420,8099,5321,2329,1886,6882,5384,3634,1446,8001,5592,3801,2396,10353,9423,4797,9442,5705,6289, 
