 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),374478,224406,193804,129918,62108,244370,184125,117113,54138,269253,199510,125859,57137,280426,213939,135553,58832,255580,195623,116559,48566,222247,159061,92376,42671,179931,82834,157752,148016,102290, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),80,1614,2063,1309,749,2131,1497,836,609,2089,1758,1409,967,796,614,202,130,1975,743,428,322,1047,578,406,86,1317,703,1686,1022,1245, 
 收到的其他与经营活动有关的现金(万元),27360,1243,6717,676,2598,1685,8125,599,2198,2589,9808,1031,1982,3569,4984,1384,2114,2979,2760,1420,2493,2507,4356,2258,63,895,353,895,1789,1056, 
 经营活动现金流入小计(万元),401918,227262,202584,131902,65455,248186,193747,118548,56945,273930,211077,128300,60086,284791,219538,137140,61076,260534,199126,118408,51381,225801,163995,95039,42820,182143,83890,160332,150827,104591, 
 购买商品、接受劳务支付的现金(万元),173810,164257,153619,96299,54862,175126,140200,80908,47785,191498,144708,96791,49851,197632,151102,81054,38791,190218,141367,81318,44637,164850,113765,70292,39914,141438,57255,124589,101334,83366, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),66882,39140,29636,20981,12405,37393,28257,19275,11102,33075,25058,16920,9752,26851,20278,13011,7329,19256,14207,9271,4962,14960,11191,7306,3916,11136,5379,8747,6845,6017, 
 支付的各项税费(万元),39773,7118,5725,2804,1467,12248,9194,6036,1732,13227,10878,6627,1656,13165,8918,6030,1672,10577,7874,4555,1431,9206,6762,4003,1123,6336,2696,6580,4916,3042, 
 支付的其他与经营活动有关的现金(万元),32890,16686,12064,7828,4419,18905,12850,10371,3585,18890,16070,10833,3667,19477,11876,9739,3377,18150,10874,9373,2486,15725,14512,8216,3225,11383,6315,11545,10387,7038, 
 经营活动现金流出小计(万元),313356,227202,201044,127912,73153,243671,190501,116590,64203,256691,196714,131171,64925,257125,192174,109835,51170,238202,174321,104518,53515,204741,146229,89818,48178,170293,71644,151460,123482,99463, 
