 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),49567,31428,15031,53615,39446,26565,14760,48591,36072,24903,11665,45457,39061,31242,27259,23837,13913, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,13,0,--,--,--,2,--,--,10,23,63,15,0,--, 
 收到的其他与经营活动有关的现金(万元),1477,1032,187,919,960,622,102,426,357,500,175,415,787,1417,285,1099,1611, 
 经营活动现金流入小计(万元),51044,32459,15218,54548,40406,27188,14862,49017,36431,25402,11840,45883,39871,32722,27559,24936,15524, 
 购买商品、接受劳务支付的现金(万元),34736,24288,11945,36709,27363,17790,9228,31701,24038,16871,8752,32511,29503,3896,20408,18612,10026, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3723,2647,1580,4158,3046,2139,1208,3486,2592,1846,1020,2759,2035,1742,1453,998,728, 
 支付的各项税费(万元),3951,2540,1329,4898,3509,2447,1130,4246,3326,2199,1266,3218,2402,1469,1711,1736,688, 
 支付的其他与经营活动有关的现金(万元),3364,1747,2022,3746,2212,1591,783,2119,1433,1104,513,2194,1941,2672,1616,1414,1565, 
 经营活动现金流出小计(万元),45774,31223,16876,49510,36130,23967,12349,41552,31389,22019,11551,40682,35882,29779,25188,22760,13007, 
 经营活动产生的现金流量净额(万元),5270,1237,-1658,5038,4275,3221,2513,7465,5042,3383,290,5200,3989,2942,2372,2176,2517, 
 收回投资所收到的现金(万元),80099,47099,24399,31899,--,--,--,--,--,--,--,--,--,--,--,1004,1129, 
 取得投资收益所收到的现金(万元),658,355,130,340,--,--,--,--,--,--,--,--,--,--,--,1,6, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,10,10,39,6,6,6,--,--,--,--,3,--,--,--,--,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,120,7500,--,--,320,--,--,--,--,295,150,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
