 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),51232,517892,379909,215771,73803,641740,413386,287280,61480,355053,215868,140969,59615,283166,144553,89290,41909,227701,144128,90230,29357,138501,67560,53226,34176,270213,214504,126204,11588,92810,48207,28175,5112,63293,19596,7493,3595,46437,33127,25996,50520,34675,56281,46505, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,902,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),13742,247614,122526,117182,113919,87743,35382,20581,5024,173961,141815,138104,89315,187222,17647,3989,102759,19432,2119,1186,355,15986,3301,3022,714,3057,5268,3769,6136,4392,6389,4140,1097,3164,4287,3451,2440,10084,9956,5367,5258,2569,12521,839, 
 经营活动现金流入小计(万元),64974,765506,502436,332953,187722,729483,448769,308763,66504,529014,357683,279074,148930,470389,162200,93279,144669,247133,146247,91416,29712,154487,70861,56248,34889,273270,219771,129973,17724,97202,54596,32315,6209,66457,23883,10944,6035,56520,43083,31362,55778,37244,68802,47344, 
 购买商品、接受劳务支付的现金(万元),67671,276356,209347,167058,143563,391638,421223,126413,90751,261404,280127,243811,122804,648661,283538,195978,164283,170350,191815,128383,45342,206810,146922,123440,62594,166736,119920,79881,35912,149863,77492,51759,28465,87341,56361,16904,9080,50229,24981,16714,37534,24604,53758,38848, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),6430,18752,14770,10090,4141,18839,15161,10596,5200,17447,13716,9625,5601,13978,9999,6146,3056,8435,5964,4540,3411,6786,4102,2876,1622,3409,2585,1566,632,2449,2360,1571,892,1952,1312,830,386,1556,999,672,1362,890,1314,571, 
 支付的各项税费(万元),15413,80080,68637,52195,34344,66687,54418,43478,16097,44452,37068,27911,13420,77254,63953,53792,8356,60594,47458,26707,10087,26013,23025,21531,12052,45451,29447,19129,1685,22444,16450,9306,3572,8765,7245,4888,750,15674,10487,10350,13496,13174,5144,3617, 
 支付的其他与经营活动有关的现金(万元),4833,155916,12697,7743,6199,87296,45727,27644,62258,158694,25138,19003,12241,222945,26336,30421,121581,75943,38262,35797,2181,10399,4169,3187,6279,13521,9978,5957,4205,5812,7478,4783,1978,20318,10229,10019,3554,4122,4376,2245,4950,4597,4830,8021, 
 经营活动现金流出小计(万元),94348,531104,305451,237086,188248,564461,536530,208131,174305,481997,356049,300351,154065,962838,383826,286337,297276,315322,283498,195428,61021,250008,178217,151034,82546,229117,161930,106532,42434,180567,103780,67419,34906,118376,75146,32641,13769,71581,40844,29980,57342,43265,65045,51057, 
 经营活动产生的现金流量净额(万元),-29374,234402,196985,95867,-526,165022,-87761,100632,-107801,47017,1635,-21277,-5136,-492449,-221626,-193058,-152608,-68189,-137251,-104012,-31309,-95521,-107356,-94786,-47657,44152,57842,23441,-24711,-83365,-49184,-35104,-28697,-51920,-51263,-21697,-7734,-15060,2239,1382,-1564,-6021,3756,-3713, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,89600,30000,--,--,--,--,--,--,--,--,--,--,3000,11700,--,--,200,200,200,50,--,--,--,--,24910,23258,12730,19462,15442,0,54, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4425,--,--,--,20329,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,19,19,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,10,10,--,79,--,--,--,40,40,--,--,0,0,0,0,0,66,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,25123,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,131,--,--,--,--,--,--,--,--,0,0,0,0,2138,0, 
 收到的其他与投资活动有关的现金(万元),15960,19701,14499,--,--,36000,13000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),15960,19701,14499,0,0,61123,13000,0,0,2,0,0,0,89600,30000,0,0,4425,0,0,0,20329,0,0,0,3011,11710,10,0,410,200,200,50,40,40,--,--,24910,23258,12730,19481,15461,2204,54, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7,1196,74,58,38,636,45,33,5,84,94,65,37,102,51,34,16,179,147,110,10,285,87,37,18,171,143,70,21,190,54,36,13,148,137,24,12,89,9,3,90,24,221,55, 
 投资所支付的现金(万元),--,16360,16360,10250,52145,--,--,--,--,6975,3901,3901,3901,9600,9600,9600,--,81000,--,--,--,8000,8000,--,10450,8000,43320,11700,--,3000,--,--,--,7615,4960,--,--,11380,16508,11380,18300,12280,14480,200, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,46247,46251,46251,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1720,--,--,--,--,--,--,--,--,0,0,2992,2256,14139,0, 
 支付的其他与投资活动有关的现金(万元),--,50509,50509,--,--,48199,--,--,--,--,36000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),7,114312,113194,56558,52184,48835,45,33,5,7059,39995,3966,3938,9702,9651,9634,16,81179,147,110,10,8285,8087,37,10468,8171,43463,11770,21,4910,54,36,13,7763,5097,24,12,11469,16517,11383,21382,14560,28840,255, 
 投资活动产生的现金流量净额(万元),15954,-94610,-98694,-56558,-52184,12287,12955,-33,-5,-7057,-39995,-3966,-3938,79898,20349,-9634,-16,-76754,-147,-110,-10,12044,-8087,-37,-10468,-5161,-31753,-11760,-21,-4500,146,164,37,-7723,-5058,-24,-12,13441,6741,1347,-1901,901,-26636,-201, 
