 报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),29179,58750,28009,45331,44165,34275, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),7,23,14,52,112,9, 
 收到的其他与经营活动有关的现金(万元),603,683,322,438,732,1093, 
 经营活动现金流入小计(万元),29789,59456,28345,45821,45010,35376, 
 购买商品、接受劳务支付的现金(万元),12141,26959,12501,17427,22664,18753, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7584,13305,6232,12775,10465,9080, 
 支付的各项税费(万元),4372,7440,3729,4877,3661,2874, 
 支付的其他与经营活动有关的现金(万元),1231,2402,1256,1606,1508,960, 
 经营活动现金流出小计(万元),25329,50106,23718,36684,38298,31668, 
 经营活动产生的现金流量净额(万元),4460,9350,4627,9137,6712,3708, 
 收回投资所收到的现金(万元),--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,1,--,--,0,6, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,1,0,0,0,6, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2394,4310,1677,4441,3882,4912, 
 投资所支付的现金(万元),--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,157,153,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2394,4467,1829,4441,3882,4912, 
 投资活动产生的现金流量净额(万元),-2393,-4466,-1829,-4441,-3882,-4905, 
 吸收投资收到的现金(万元),--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),11200,23061,12668,20941,13318,22026, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),5611,3539,2938,5494,5053,--, 
 筹资活动现金流入小计(万元),16811,26600,15606,26434,18371,22026, 
 偿还债务支付的现金(万元),14166,20812,8938,19593,18266,13834, 
 分配股利、利润或偿付利息所支付的现金(万元),185,577,317,3361,427,384, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3567,8973,6978,8788,6388,1625, 
 筹资活动现金流出小计(万元),17917,30363,16233,31742,25080,15843, 
 筹资活动产生的现金流量净额(万元),-1106,-3762,-626,-5308,-6709,6183, 
 汇率变动对现金及现金等价物的影响(万元),-0,0,0,7,10,-5, 
 现金及现金等价物净增加额(万元),960,1122,2172,-605,-3869,4981, 
 加:期初现金及现金等价物余额(万元),3131,2009,2009,2614,6483,1502, 
 期末现金及现金等价物余额(万元),4090,3131,4181,2009,2614,6483, 
 净利润(万元),4294,9276,--,6297,5403,--, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),-149,675,--,197,170,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3023,5692,--,4588,3408,--, 
 无形资产摊销(万元),65,124,--,114,91,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-5,26,--,90,19,--, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),377,814,--,597,569,--, 
 投资损失(万元),--,--,--,--,--,--, 
 递延所得税资产减少(万元),9,-108,--,-81,-44,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),-4130,1996,--,25,-2234,--, 
 经营性应收项目的减少(万元),1610,-8520,--,-2231,-1302,--, 
 经营性应付项目的增加(万元),-812,-1100,--,-988,371,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),177,475,--,530,261,--, 
 经营活动产生现金流量净额(万元),4460,9350,--,9137,6712,--, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,5132,7844,--, 
 现金的期末余额(万元),900,600,4181,109,397,6483, 
 现金的期初余额(万元),600,109,2009,397,2138,1502, 
 现金等价物的期末余额(万元),3190,2531,--,1899,2217,--, 
 现金等价物的期初余额(万元),2531,1899,--,2217,4344,--, 
 现金及现金等价物的净增加额(万元),960,1122,2172,-605,-3869,4981, 

