 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),50533,187032,138669,89471,42827,144053,101369,66275,32255,108283,74638,48180,24374,107074,81918,103736,95300,77216, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,66,18,--,92,75,7,167,167,--,--,161,161,--,--,--, 
 收到的其他与经营活动有关的现金(万元),72,305,416,261,18,395,946,651,227,513,259,75,16,565,306,781,590,319, 
 经营活动现金流入小计(万元),50605,187337,139085,89797,42864,144448,102407,67001,32490,108963,75064,48255,24390,107800,82384,104517,95890,77536, 
 购买商品、接受劳务支付的现金(万元),41371,169522,126100,81037,35687,158898,106018,64661,30968,103121,70489,43400,20511,99882,78394,88276,87026,73841, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1589,5066,3826,2780,1330,5041,3647,2464,1259,4756,3469,2277,1176,4465,3484,4108,3449,2883, 
 支付的各项税费(万元),656,1291,769,511,108,1578,836,455,137,1437,977,609,349,1227,1233,1455,1462,1188, 
 支付的其他与经营活动有关的现金(万元),1622,6292,3578,2554,1388,3931,3869,2550,2478,3069,1902,1374,689,2703,2025,2980,2473,2226, 
 经营活动现金流出小计(万元),45238,182171,134273,86882,38513,169448,114370,70130,34842,112384,76837,47659,22725,108277,85135,96819,94409,80138, 
 经营活动产生的现金流量净额(万元),5367,5166,4813,2916,4351,-25000,-11963,-3130,-2353,-3420,-1774,596,1664,-477,-2751,7698,1481,-2602, 
 收回投资所收到的现金(万元),--,--,--,--,--,32900,10450,2250,4050,4700,--,--,--,2000,800,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,211,231,114,50,62,59,53,19,72,49,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,0,--,0,0,0,--,19,--,--,--,2,2,5,0,6, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1019, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,33111,10681,2364,4100,4780,59,53,19,2074,851,5,0,1025, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3,268,246,110,55,654,541,124,--,430,98,43,35,89,76,211,246,219, 
 投资所支付的现金(万元),11212,3592,3516,3592,0,22450,--,--,--,15150,--,--,--,2000,2000,--,--,42, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,76,--,76,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),11215,3860,3838,3702,131,23104,541,124,0,15580,98,43,35,2089,2076,211,246,260, 
 投资活动产生的现金流量净额(万元),-11214,-3860,-3837,-3702,-131,10007,10140,2240,4100,-10799,-39,10,-15,-15,-1224,-207,-246,765, 
 吸收投资收到的现金(万元),--,--,--,--,0,--,--,--,--,18310,--,--,--,--,--,--,--,6834, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),34946,112892,73087,49169,23092,59830,25092,4938,--,31944,18554,11633,5360,12751,5638,12876,17581,8113, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),99,567,3160,2292,1056,--,4474,3684,3324,--,--,--,--,560,560,--,110,2658, 
 筹资活动现金流入小计(万元),35044,113459,76247,51461,24148,59830,29566,8622,3324,50254,18554,11633,5360,13311,6198,12876,17691,17605, 
 偿还债务支付的现金(万元),28342,107990,71065,47287,23971,35809,13082,2900,2890,32672,13033,11403,1000,12753,6140,13727,15421,11599, 
 分配股利、利润或偿付利息所支付的现金(万元),304,2700,2457,2213,182,3888,3758,3466,28,2348,1633,577,81,2228,1173,1759,283,4484, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,673,2478,5011,704,348,4507,2872,2872,2258,--,--,300,3265,--, 
 筹资活动现金流出小计(万元),28646,110690,73522,49500,24826,42176,21852,7070,3266,39526,17538,14852,3339,14981,7313,15786,18970,16083, 
 筹资活动产生的现金流量净额(万元),6398,2769,2725,1961,-678,17654,7715,1552,58,10727,1016,-3219,2021,-1670,-1115,-2910,-1279,1522, 
 汇率变动对现金及现金等价物的影响(万元),13,-19,-22,-23,-11,-4,8,13,-10,13,17,-11,-4,14,3,-11,-50,12, 
 现金及现金等价物净增加额(万元),564,4057,3679,1152,3531,2657,5900,676,1795,-3479,-779,-2623,3666,-2147,-5087,4570,-93,-303, 
 加:期初现金及现金等价物余额(万元),8893,4836,4836,4836,4836,2180,2180,2180,2180,5659,5659,5659,5659,7806,7806,3236,3329,3632, 
 期末现金及现金等价物余额(万元),9457,8893,8515,5988,8367,4836,8079,2855,3975,2180,4880,3035,9325,5659,2719,7806,3236,3329, 
 净利润(万元),--,5469,--,2895,--,4946,--,2345,--,4119,2904,1969,--,3845,3256,4020,4381,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,792,--,210,--,1060,--,308,--,418,379,156,--,330,209,470,322,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,145,--,67,--,111,--,46,--,115,81,53,--,97,72,82,46,--, 
 无形资产摊销(万元),--,81,--,37,--,65,--,32,--,63,47,32,--,60,44,55,18,--, 
 长期待摊费用摊销(万元),--,138,--,69,--,65,--,9,--,11,15,10,--,25,19,23,7,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,1,--,-0,--,5,--,4,--,-3,0,0,--,-0,-0,-3,5,--, 
 固定资产报废损失(万元),--,--,--,1,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,76,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,919,--,436,--,293,--,-7,--,285,474,157,--,253,217,290,344,--, 
 投资损失(万元),--,-279,--,-84,--,-211,--,-152,--,-62,-59,-53,--,-72,-49,--,--,--, 
 递延所得税资产减少(万元),--,35,--,10,--,-107,--,-5,--,58,66,58,--,-22,-18,-11,13,--, 
 递延所得税负债增加(万元),--,106,--,157,--,159,--,86,--,144,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,6896,--,-5993,--,-20535,--,-8228,--,-2375,-2466,-925,--,-2788,-8992,794,-1072,--, 
 经营性应收项目的减少(万元),--,-11484,--,1890,--,-19321,--,279,--,-8184,-6320,-1922,--,-113,725,-1329,-3680,--, 
 经营性应付项目的增加(万元),--,2346,--,3143,--,8470,--,2153,--,1989,3105,1060,--,-2091,1766,3307,1097,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,5166,--,2916,--,-25000,--,-3130,--,-3420,-1774,596,--,-477,-2751,7698,1481,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),9457,8893,8515,5988,8367,4836,8079,2855,3975,2180,4880,3035,9325,5659,2719,7806,3236,3329, 
 现金的期初余额(万元),8893,4836,4836,4836,4836,2180,2180,2180,2180,5659,5659,5659,5659,7806,7806,3236,3329,3632, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),564,4057,3679,1152,3531,2657,5900,676,1795,-3479,-779,-2623,3666,-2147,-5087,4570,-93,-303, 

