 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),1399,13637,9435,5709,2405,15652,11283,7819,7588,18591,12246,8606,4457,15334,10284,--,14061,12331,8069, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),219,810,491,289,169,1048,752,504,30,1217,645,389,83,880,519,--,779,866,498, 
 收到的其他与经营活动有关的现金(万元),283,3040,1990,914,486,5407,4169,3548,384,347,186,137,91,582,324,--,238,1305,309, 
 经营活动现金流入小计(万元),1901,17487,11916,6911,3060,22107,16203,11871,8001,20156,13076,9132,4631,16796,11128,--,15078,14502,8876, 
 购买商品、接受劳务支付的现金(万元),1700,5044,3426,2459,1497,5776,4939,2536,3671,8960,6472,4092,2358,7119,5573,--,6375,5252,4155, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1337,5032,3835,2468,1450,5742,4714,3511,2397,3604,2643,1812,1111,3119,2293,--,2991,2340,1731, 
 支付的各项税费(万元),448,1501,1055,765,577,2190,1607,1017,660,2099,1342,887,568,1860,1226,--,1486,1716,1098, 
 支付的其他与经营活动有关的现金(万元),923,4354,4460,2698,1790,6851,5830,5288,670,2632,1558,1023,349,1953,1174,--,1615,2279,935, 
 经营活动现金流出小计(万元),4409,15931,12777,8391,5314,20559,17090,12352,7398,17295,12015,7814,4386,14052,10266,--,12467,11587,7919, 
 经营活动产生的现金流量净额(万元),-2508,1556,-861,-1479,-2254,1548,-887,-481,603,2861,1062,1318,245,2745,862,187,2611,2915,957, 
 收回投资所收到的现金(万元),--,6000,6000,6000,6000,5000,--,--,--,--,--,--,--,--,--,--,--,--,920, 
 取得投资收益所收到的现金(万元),--,31,31,31,31,13,--,--,--,--,--,--,--,--,--,--,--,--,2, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,1,--,--,--,20,19,--,--,0,--,--,--,4,--,--,4,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,114,--,--,--,--,--,--,--,50,--,--,560,2299,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,6032,6031,6031,6031,5147,19,0,0,0,0,0,0,54,0,--,564,2301,922, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2,656,610,655,297,4731,4310,4047,3819,4119,3298,2879,2033,4328,3177,--,2527,2231,177, 
 投资所支付的现金(万元),--,6490,6490,6000,6000,5000,--,--,--,--,--,--,--,--,--,--,--,--,220, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),2050,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,114,--,374, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2052,7146,7100,6655,6297,9731,4310,4047,3819,4119,3298,2879,2033,4328,3177,--,2640,2231,771, 
 投资活动产生的现金流量净额(万元),-2052,-1114,-1069,-624,-266,-4584,-4291,-4047,-3819,-4118,-3298,-2879,-2033,-4275,-3177,-1105,-2077,70,151, 
 吸收投资收到的现金(万元),--,--,--,--,--,4378,--,--,--,18960,--,--,--,--,--,--,--,2000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,1600,1600,1500,1000,100,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,0,4378,0,0,0,20560,1600,1500,1000,100,0,--,0,2000,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,1700,1700,1700,1700,--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),1,1606,1600,1600,--,2412,2413,2413,13,827,805,783,610,750,750,--,--,450,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),276,191,191,--,--,325,325,325,325,297,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),277,1797,1791,1600,0,4437,4438,4438,2038,1123,805,783,610,750,750,--,0,450,0, 
 筹资活动产生的现金流量净额(万元),-277,-1797,-1791,-1600,0,-60,-4438,-4438,-2038,19437,795,717,390,-650,-750,-610,0,1550,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-4837,-1355,-3721,-3704,-2521,-3096,-9616,-8966,-5254,18179,-1441,-844,-1398,-2180,-3065,--,534,4535,1108, 
 加:期初现金及现金等价物余额(万元),18604,19959,19959,19959,19959,23055,23055,23055,23055,4877,4877,4877,4877,7057,7057,--,6523,1987,879, 
 期末现金及现金等价物余额(万元),13767,18604,16239,16256,17439,19959,13439,14090,17802,23055,3436,4033,3479,4877,3992,--,7057,6523,1987, 
 净利润(万元),--,1072,--,-629,--,4104,--,1876,--,4274,2625,1635,394,3725,2310,--,3636,3413,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,277,--,53,--,148,--,10,--,61,89,50,-10,51,12,--,47,2,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1257,--,616,--,751,--,274,--,290,176,92,46,205,155,--,210,183,--, 
 无形资产摊销(万元),--,129,--,65,--,68,--,33,--,68,51,34,17,67,50,--,61,37,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-0,--,--,--,-12,--,--,--,-0,--,--,--,-2,--,--,-3,-0,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资损失(万元),--,-31,--,-28,--,-13,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-19,--,-8,--,-50,--,-2,--,-9,-13,-8,2,-8,-2,--,-7,-0,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-1056,--,-1217,--,720,--,-1830,--,-1538,-2485,-409,-175,-157,-815,--,-448,-679,--, 
 经营性应收项目的减少(万元),--,-4004,--,-157,--,-3843,--,-97,--,-3172,-485,1303,2013,-2470,-689,--,-1788,-671,--, 
 经营性应付项目的增加(万元),--,3931,--,-173,--,-324,--,-745,--,2886,1103,-1381,-2041,1333,-159,--,902,630,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
