 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),349754,237583,124486,391109,272452,183484,94315,331981,247890,167585,77883,313451,254081,211502,197625,96695,62422,30443,114926,73054,56960,86094,70824, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 收到的税费返还(万元),--,--,1,--,5,--,--,--,498,--,0,--,--,--,--,19,19,0,177,264,--,141,287, 
 收到的其他与经营活动有关的现金(万元),15999,11802,3778,19447,11442,8566,2621,16361,11561,5621,1165,10376,7653,5371,8886,25535,32009,3435,3242,44129,31779,83870,21673, 
 经营活动现金流入小计(万元),365753,249385,128265,410555,283899,192050,96936,348343,259950,173206,79048,323827,261734,216873,206511,122249,94451,33878,118346,117447,88739,170105,92785, 
 购买商品、接受劳务支付的现金(万元),347588,246451,142015,312094,228542,155544,89348,265701,207747,136569,72859,248749,205314,167509,181088,53635,31223,33493,99844,69472,49086,80217,56431, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13470,9471,5493,16484,12169,8424,4852,15215,11487,7961,4371,10901,8218,7208,5137,2448,1742,406,2763,1781,425,2362,1962, 
 支付的各项税费(万元),15428,11485,7157,21312,13204,9723,4933,18313,13267,9720,3486,17131,13553,9270,7668,4188,3072,1269,3168,2610,1759,3564,3071, 
 支付的其他与经营活动有关的现金(万元),16969,12075,4468,16156,11802,6517,3676,14274,14691,6524,2536,15540,12429,10177,12811,65134,64893,9184,13831,62039,55077,77792,26006, 
 经营活动现金流出小计(万元),393455,279482,159133,366046,265717,180208,102809,313502,247192,160774,83252,292321,239513,194165,206703,125405,100930,44353,119606,135903,106346,163935,87471, 
 经营活动产生的现金流量净额(万元),-27702,-30097,-30867,44509,18182,11841,-5873,34840,12758,12432,-4203,31506,22221,22707,-191,-3156,-6479,-10475,-1261,-18455,-17607,6170,5313, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,5180,--,0,0,0,--,--,--,180,3330, 
 取得投资收益所收到的现金(万元),966,--,--,307,--,--,--,--,--,--,--,--,--,1920,960,0,0,0,--,--,--,--,79, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),110,74,70,82,26,10,7,127,27,26,19,556,52,2456,886,66,27,0,48,17812,17770,38,37, 
 处置子公司及其他营业单位收到的现金净额(万元),35,--,--,509,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),70649,--,--,30900,--,--,--,--,--,--,--,--,--,--,--,0,-0,0,--,--,--,--,3, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 投资活动现金流入小计(万元),71760,74,70,31798,26,10,7,127,27,26,19,556,52,9556,1846,66,27,0,48,17812,17770,218,3449, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),18916,1915,556,2398,1845,1297,725,7012,771,403,253,1955,2604,3720,4580,1967,1508,1114,2264,320,--,5080,809, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,3100,3100,--,500,7,--,--,12000,1200,1200,0,--,--,--,3498,1781, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,1900,-5462,-5972,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),75907,11049,--,60900,30900,--,--,--,--,--,--,124,--,21,--,0,0,0,--,0,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 投资活动现金流出小计(万元),94823,12964,2456,57836,26774,1297,725,10112,3871,403,753,2086,2604,3741,16580,3167,2708,1114,2264,320,--,8578,2590, 
 投资活动产生的现金流量净额(万元),-23063,-12889,-2387,-26038,-26748,-1287,-717,-9985,-3844,-377,-734,-1530,-2552,5816,-14734,-3101,-2681,-1114,-2216,17492,17770,-8359,859, 
 吸收投资收到的现金(万元),2450,--,--,58364,58854,490,--,--,--,--,500,--,--,--,2400,0,0,0,--,--,--,400,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),2450,--,--,--,490,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 取得借款收到的现金(万元),63819,33819,33819,12793,12793,1793,1793,77731,57731,22731,5731,39700,7100,18500,41500,11200,11200,9166,20595,5089,1451,5297,10040, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2266,2266,2166,2804,2833,2400,2400,2046,--,2046,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 筹资活动现金流入小计(万元),68535,36085,35985,73960,74479,4683,4193,79777,57731,24777,6231,39700,7100,18500,43900,11200,11200,9166,20595,5089,1451,5697,10040, 
 偿还债务支付的现金(万元),32046,1846,1846,18793,12793,1793,1793,73000,53000,14000,4000,32700,18600,32500,16800,10034,4234,2037,11998,1902,--,1747,15337, 
 分配股利、利润或偿付利息所支付的现金(万元),7611,6769,190,707,570,371,195,18698,18521,4722,196,14934,12732,6120,5550,76,414,166,502,188,--,327,878, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2200,2200,2100,2718,2837,2412,2000,2400,--,2400,3351,2046,231,1827,2072,0,0,0,179,--,--,102,0, 
 筹资活动现金流出小计(万元),41857,10815,4136,22218,16200,4576,3987,94098,71521,21122,7547,49680,31564,40447,24422,10109,4648,2203,12679,2090,--,2176,16215, 
 筹资活动产生的现金流量净额(万元),26679,25271,31850,51742,58279,107,205,-14321,-13789,3655,-1315,-9980,-24464,-21947,19478,1091,6552,6963,7916,3000,1451,3521,-6175, 
 汇率变动对现金及现金等价物的影响(万元),133,130,43,113,143,103,73,-59,-37,-153,-96,-60,1,--,0,0,0,0,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-23953,-17586,-1361,70327,49857,10764,-6311,10475,-4912,15557,-6349,19936,-4794,6576,4552,-5167,-2607,-4626,4440,2036,1615,1332,-2, 
 加:期初现金及现金等价物余额(万元),129629,129629,129729,59302,59302,59302,59302,48826,50872,48826,50872,28890,33685,27109,22557,10034,10034,10034,5361,4868,4868,3536,3538, 
 期末现金及现金等价物余额(万元),105675,112043,128368,129629,109158,70066,52990,59302,45960,64383,44524,48826,28890,33685,27109,4868,7427,5409,9801,6904,6482,4868,3536, 
 净利润(万元),--,13806,--,36721,--,--,7538,30756,--,--,6777,26752,17672,--,--,7216,4285,1380,7941,4815,4280,7623,6551, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,-12,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,1640,--,--,--,--, 
 资产减值准备(万元),--,-147,--,720,--,--,31,341,--,--,8,387,100,--,--,0,0,0,618,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1419,--,1628,--,--,407,1542,--,--,407,1600,1528,--,--,0,867,352,1396,-16344,-16939,3338,2267, 
 无形资产摊销(万元),--,213,--,412,--,--,101,281,--,--,65,250,135,--,--,44,4,49,58,555,--,255,253, 
 长期待摊费用摊销(万元),--,81,--,258,--,--,89,361,--,--,79,326,249,--,--,247,189,62,250,--,--,5,-88, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-154,25,33,28,7,177,-254,112, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,543,337,42,42,55,76,-177,33, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,61,--,9,--,--,-5,-28,--,--,-16,315,-21,--,--,0,0,0,-14,--,--,36,18, 
 固定资产报废损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 财务费用(万元),--,690,--,635,--,--,252,1033,--,--,195,900,449,--,--,663,429,183,549,263,--,112,467, 
 投资损失(万元),--,-303,--,-1661,--,--,-310,-757,--,--,--,-799,-250,--,--,0,0,0,-491,--,--,58,-619, 
 递延所得税资产减少(万元),--,97,--,-141,--,--,-105,734,--,--,-179,-192,-201,--,--,0,0,0,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 存货的减少(万元),--,12,--,-38,--,--,-13,2,--,--,-66,8,1,--,--,-17,-13,-27,182,273,266,-224,-36, 
 经营性应收项目的减少(万元),--,2888,--,-44401,--,--,-27159,-28238,--,--,16245,-20302,-19605,--,--,-5377,-4135,-5536,-13389,-8543,-7888,2505,-5388, 
 经营性应付项目的增加(万元),--,-48913,--,50368,--,--,13300,28814,--,--,-27718,22260,22164,--,--,-8333,-4595,-1164,-60,-157,2522,-5897,1745, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 其他(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,622,-101,-1210,--, 
 经营活动产生现金流量净额(万元),--,-30097,--,44509,--,--,-5873,34840,--,--,-4203,31506,22221,--,--,-5167,-2607,-4626,-1261,-18455,-17607,6170,5313, 
 债务转为资本(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 现金的期末余额(万元),105675,112043,128368,129629,109158,70066,52990,59302,45960,64383,44524,48826,28890,33685,27109,4868,7427,5409,9801,6904,6482,4868,3536, 
 现金的期初余额(万元),129629,129629,129729,59302,59302,59302,59302,48826,50872,48826,50872,28890,33685,27109,22557,10034,10034,10034,5361,4868,4868,3536,3538, 
 现金等价物的期末余额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-23953,-17586,-1361,70327,49857,10764,-6311,10475,-4912,15557,-6349,19936,-4794,6576,4552,-5167,-2607,-4626,4440,2036,1615,1332,-2, 

