 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),92670,58906,29969,104444,71868,44647,29685,11869, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),805,101,90,2122,1775,37,1,--, 
 收到的其他与经营活动有关的现金(万元),3716,2384,577,1815,1650,773,3290,262, 
 经营活动现金流入小计(万元),97191,61391,30637,108381,75293,45457,32976,12131, 
 购买商品、接受劳务支付的现金(万元),67687,40984,17495,53814,39232,31173,25739,9364, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13402,9838,5477,12276,7186,6480,3843,2249, 
 支付的各项税费(万元),12703,7603,3215,13146,7912,5795,2328,93, 
 支付的其他与经营活动有关的现金(万元),7325,4142,2074,7825,5502,6567,3877,1820, 
 经营活动现金流出小计(万元),101118,62567,28261,87062,59832,50015,35787,13526, 
 经营活动产生的现金流量净额(万元),-3926,-1176,2376,21319,15462,-4558,-2812,-1394, 
 收回投资所收到的现金(万元),--,--,--,2000,--,1832,4880,3300, 
 取得投资收益所收到的现金(万元),374,153,43,259,208,222,114,85, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,4,--,--,--,11,5,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,1330,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,4880,--,114,210,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),377,156,43,7138,208,2179,6539,3385, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11400,7681,3459,17166,13382,2318,5164,6363, 
 投资所支付的现金(万元),26033,9600,9200,1885,8865,12443,1832,4880, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,843,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,4850,350,50,--,200, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),37433,17281,12659,23901,22597,14811,7839,11443, 
 投资活动产生的现金流量净额(万元),-37056,-17125,-12616,-16762,-22388,-12632,-1300,-8058, 
 吸收投资收到的现金(万元),--,--,--,--,--,35473,3250,5410, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),35253,15433,3469,5892,1541,2919,3390,1000, 
 发行债券收到的现金(万元),--,19820,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1543,1543,1322,407,291,6316,3927,113, 
 筹资活动现金流入小计(万元),36796,36796,4790,6299,1832,44708,10567,6523, 
 偿还债务支付的现金(万元),982,--,--,2555,2154,3299,1995,--, 
 分配股利、利润或偿付利息所支付的现金(万元),259,265,84,98,12,174,102,14, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),9294,10203,4532,2259,601,5847,3694,627, 
 筹资活动现金流出小计(万元),10534,10468,4616,4911,2767,9320,5790,641, 
 筹资活动产生的现金流量净额(万元),26262,26328,174,1388,-936,35388,4777,5882, 
 汇率变动对现金及现金等价物的影响(万元),-344,-198,-59,166,22,38,-4,1, 
 现金及现金等价物净增加额(万元),-15065,7829,-10125,6110,-7841,18236,661,-3570, 
 加:期初现金及现金等价物余额(万元),25713,25713,25713,19603,19603,1367,706,4276, 
 期末现金及现金等价物余额(万元),10648,33543,15588,25713,11762,19603,1367,706, 
 净利润(万元),--,19580,7971,35370,--,13251,4507,816, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
