 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),16778,10140,4471,24041,14358,10603,6264,18587,17543,16365, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,704,448, 
 收到的其他与经营活动有关的现金(万元),4096,2159,855,1411,1189,548,9,505,752,2177, 
 经营活动现金流入小计(万元),20875,12300,5326,25452,15547,11151,6273,19092,18999,18989, 
 购买商品、接受劳务支付的现金(万元),7802,5412,1860,11711,8308,6898,2024,9486,8935,9199, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2005,1347,672,2105,1531,1035,535,1593,1168,914, 
 支付的各项税费(万元),3009,1950,915,3321,2169,1520,613,1356,2489,2175, 
 支付的其他与经营活动有关的现金(万元),1086,880,616,1010,729,370,743,1654,981,946, 
 经营活动现金流出小计(万元),13902,9589,4063,18147,12738,9824,3915,14089,13572,13235, 
 经营活动产生的现金流量净额(万元),6973,2711,1263,7305,2809,1328,2358,5003,5426,5754, 
 收回投资所收到的现金(万元),68721,24677,11677,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),437,55,15,--,--,--,--,--,10,5, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,7,--,7,3,--,--,441,10,21, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,2400,--,130, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),69165,24740,11692,7,3,0,0,2841,20,156, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),812,553,197,1669,1287,237,450,2595,5575,6912, 
 投资所支付的现金(万元),103349,54715,28677,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,2200,200,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),104161,55267,28874,1669,1287,237,450,4795,5775,6912, 
 投资活动产生的现金流量净额(万元),-34996,-30527,-17182,-1663,-1284,-237,-450,-1954,-5755,-6756, 
 吸收投资收到的现金(万元),23675,23675,23675,51,5,--,--,--,--,400, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,400, 
 取得借款收到的现金(万元),--,--,--,1800,--,--,--,3100,2720,4465, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,1800,1800,1751,--,--,1100,500, 
 筹资活动现金流入小计(万元),23675,23675,23675,3651,1805,1751,0,3100,3820,5365, 
 偿还债务支付的现金(万元),--,--,500,4900,3100,3100,2900,2000,5185,2200, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,644,644,644,644,2478,218,171, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1281,1281,775,--,--,--,--,500,1000,--, 
 筹资活动现金流出小计(万元),1281,1281,1275,5544,3744,3744,3544,4978,6403,2371, 
 筹资活动产生的现金流量净额(万元),22394,22394,22400,-1893,-1940,-1993,-3544,-1878,-2583,2994, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,-1,--,--, 
 现金及现金等价物净增加额(万元),-5629,-5423,6481,3749,-414,-902,-1635,1171,-2912,1991, 
 加:期初现金及现金等价物余额(万元),6482,6482,6482,2733,2733,2733,2733,1562,4474,2483, 
 期末现金及现金等价物余额(万元),853,1059,12964,6482,2319,1831,1097,2733,1562,4474, 
 净利润(万元),--,3819,--,5280,3331,2007,--,4673,3936,3542, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,109,--,-133,52,-26,--,533,183,67, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,597,--,1133,849,566,--,1100,626,453, 
 无形资产摊销(万元),--,25,--,43,30,17,--,35,35,16, 
 长期待摊费用摊销(万元),--,42,--,48,37,23,--,25,12,33, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-5,--,0,0,--,--,-180,51,53, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,44,44,44,--,79,148,133, 
 投资损失(万元),--,-55,--,--,--,--,--,--,-10,-5, 
 递延所得税资产减少(万元),--,2,--,-68,-77,-27,--,-49,105,-210, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,419,--,234,333,-243,--,-1161,-487,156, 
 经营性应收项目的减少(万元),--,-4409,--,3216,709,2332,--,-2245,556,1919, 
 经营性应付项目的增加(万元),--,2166,--,-2493,-2499,-3367,--,2194,272,-404, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,2711,--,7305,2809,1328,--,5003,5426,5754, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),853,1059,12964,6482,2319,1831,1097,2733,1562,4474, 
 现金的期初余额(万元),6482,6482,6482,2733,2733,2733,2733,1562,4474,2483, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-5629,-5423,6481,3749,-414,-902,-1635,1171,-2912,1991, 

