 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),13052,6901,32606,18303,12757,5310,37146,25960,11820,6663,23311,14546,9532,5804,18837,9709,6537,2638,15916,--,8782,2841,10415,9823,6577,4747, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),758,436,3113,2007,1015,225,3258,1913,1275,886,2347,1782,1423,864,2425,1546,1034,174,1880,--,942,562,1457,1281,596,478, 
 收到的其他与经营活动有关的现金(万元),1294,807,2942,4901,1020,790,5543,1967,904,112,2115,521,254,125,1293,914,731,89,957,--,217,1322,466,1928,3245,1792, 
 经营活动现金流入小计(万元),15105,8144,38661,25210,14792,6325,45948,29839,13998,7661,27773,16850,11209,6793,22555,12169,8302,2901,18753,--,9941,4725,12337,13032,10417,7017, 
 购买商品、接受劳务支付的现金(万元),3671,3240,6000,5581,3835,2394,4860,3244,1354,446,2204,1572,943,299,410,217,147,64,280,--,150,32,345,710,412,70, 
