 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),50395,33999,79820,55584,39305,72304,72495,59123, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2356,1362,697,7567,549,1213,628,868, 
 经营活动现金流入小计(万元),52750,35361,80516,63151,39854,73517,73122,59991, 
 购买商品、接受劳务支付的现金(万元),32084,17233,45687,37023,21164,45372,37158,40114, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3882,2664,4847,3736,2537,3782,3253,2681, 
 支付的各项税费(万元),3903,3015,5140,4713,3248,4880,3633,2082, 
 支付的其他与经营活动有关的现金(万元),2984,4212,7424,7528,3169,5369,4254,3872, 
 经营活动现金流出小计(万元),42852,27123,63097,53001,30117,59403,48298,48750, 
 经营活动产生的现金流量净额(万元),9899,8238,17419,10150,9737,14114,24824,11241, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),0,--,--,1,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),436,6,42,543,40,74,--,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,456,4466,--,4111,81,47,44, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),436,1471,13609,543,10276,2537,2739,5673, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2484,1623,5761,3411,4368,8574,8141,8729, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,3368, 
 支付的其他与投资活动有关的现金(万元),--,1425,--,0,--,1959,2048,2, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2484,4096,17066,-1589,7197,20690,15483,20945, 
 投资活动产生的现金流量净额(万元),-2048,-2625,-3458,2132,3079,-18152,-12743,-15272, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),32138,27538,32000,15000,16000,38000,37150,38400, 
 发行债券收到的现金(万元),--,--,--,--,--,15232,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,8000,--,--,--,--, 
 筹资活动现金流入小计(万元),32138,27538,32000,23000,16000,53232,37150,38400, 
 偿还债务支付的现金(万元),24700,19768,38400,19700,17700,41450,37450,26900, 
