 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),35835,23784,10162,49615,30419,19561,10419,46514,31367,23763,44201,40600,40743,39039,19179,34735,28332,26208, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,72, 
 收到的其他与经营活动有关的现金(万元),294,202,131,663,302,166,133,94,69,60,509,888,337,259,63,243,323,44, 
 经营活动现金流入小计(万元),36129,23986,10292,50278,30721,19726,10552,46608,31436,23822,44710,41488,41080,39299,19242,34978,28683,26324, 
 购买商品、接受劳务支付的现金(万元),24930,16798,8314,34067,19511,11836,6556,28586,20269,14851,26535,25021,23223,25365,12325,25754,18480,18661, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6521,4610,2199,7535,5657,3732,1780,6886,5382,3793,6302,6136,5107,3507,1976,2685,2443,2169, 
 支付的各项税费(万元),2342,1521,406,2842,2342,1888,859,3354,2412,1529,3006,3193,3521,2433,1436,2325,2255,1564, 
 支付的其他与经营活动有关的现金(万元),747,533,458,1707,587,380,603,1473,820,653,1574,1637,1776,1610,886,1614,1307,1216, 
 经营活动现金流出小计(万元),34540,23462,11377,46152,28096,17836,9797,40299,28883,20826,37416,35987,33627,32915,16624,32378,24484,23610, 
 经营活动产生的现金流量净额(万元),1589,525,-1085,4127,2624,1890,754,6310,2553,2996,7294,5501,7453,6384,2619,2600,4199,2714, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),518,259,259,290,--,--,--,529,239,239,577,212,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,0,--,39,36,36,--,2,2,0,91,9,12,1,--,3,2,10, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2061, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),522,259,259,328,36,36,0,532,241,239,668,221,12,1,0,3,2,2109, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2198,1326,494,4292,2948,995,302,1328,1029,876,1670,2889,7773,6275,765,3141,1160,2478, 
 投资所支付的现金(万元),1000,--,--,--,--,--,--,--,--,--,--,--,3898,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1302, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,0,230, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3198,1326,494,4292,2948,995,302,1328,1029,876,1670,2889,11672,6275,765,3141,1160,4011, 
 投资活动产生的现金流量净额(万元),-2676,-1067,-236,-3963,-2911,-959,-302,-797,-788,-636,-1002,-2668,-11660,-6274,-765,-3138,-1158,-1902, 
 吸收投资收到的现金(万元),--,--,--,17850,16880,16880,--,200,200,200,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),6189,4000,--,11078,7600,6600,1865,13895,10679,7179,20407,20075,20751,11952,3000,14000,14769,10358, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),0,0,--,--,970,970,--,--,--,--,--,--,--,--,120,--,--,1000, 
 筹资活动现金流入小计(万元),6189,4000,0,28928,25450,24450,1865,14095,10879,7379,20407,20075,20751,11952,3120,14000,14769,11358, 
 偿还债务支付的现金(万元),6100,5100,1500,22085,17667,6705,1600,18308,12226,9873,22657,20737,17814,9275,3500,13142,11083,9105, 
 分配股利、利润或偿付利息所支付的现金(万元),1970,1848,60,719,662,488,185,1213,946,701,1560,1579,1471,917,441,782,4093,2505, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),0,0,--,662,662,25,--,20,20,--,40,213,263,420,10,10,1111,--, 
 筹资活动现金流出小计(万元),8070,6948,1560,23466,18991,7218,1785,19541,13192,10573,24257,22528,19549,10612,3951,13934,16287,11610, 
 筹资活动产生的现金流量净额(万元),-1881,-2948,-1560,5462,6459,17232,81,-5446,-2313,-3194,-3850,-2454,1202,1339,-831,66,-1518,-252, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-2968,-3491,-2880,5625,6172,18163,533,67,-548,-833,2442,379,-3005,1449,1023,-472,1523,559, 
 加:期初现金及现金等价物余额(万元),10758,10758,10758,5132,5132,5132,5132,5065,5065,5966,2624,2245,5249,3801,3801,4273,2750,2191, 
 期末现金及现金等价物余额(万元),7790,7267,7878,10758,11304,23296,5666,5132,4517,5132,5065,2624,2245,5249,4824,3801,4273,2750, 
 净利润(万元),--,1295,--,2680,--,1607,--,3484,--,1988,3814,3602,3801,3484,1803,3206,2438,1897, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,145,--,51,--,76,--,81,--,87,73,51,110,-47,-6,-119,414,87, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,989,--,1870,--,924,--,1833,--,890,1795,1826,1564,1370,670,1346,1254,1063, 
 无形资产摊销(万元),--,50,--,91,--,45,--,77,--,39,79,89,--,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,16,--,25,--,10,--,18,--,10,22,12,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,20,--,0,--,2,--,1,1,-3,--,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,118,--,727,--,442,--,1200,--,651,1454,1470,1164,691,349,620,593,221, 
 投资损失(万元),--,-367,--,-456,--,-321,--,-511,--,-339,-502,-349,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-30,--,42,--,-9,--,-37,--,-9,52,-98,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,-1,--,--,--,-1,--,-0,3,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-238,--,-2121,--,-308,--,176,--,161,-615,170,372,58,891,-1628,788,-816, 
 经营性应收项目的减少(万元),--,-2585,--,-728,--,-938,--,-158,--,-1137,-1715,-1734,-1180,407,-825,-1601,-1967,-215, 
 经营性应付项目的增加(万元),--,1130,--,1928,--,363,--,144,--,656,2831,465,1543,263,-337,631,655,244, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,79,158,74,145,24,233, 
 经营活动产生现金流量净额(万元),--,525,--,4127,--,1890,--,6310,--,2996,7294,5501,7453,6384,2619,2600,4199,2714, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),7790,7267,7878,10758,11304,23296,5666,5132,4517,4232,5065,2624,2245,5249,4824,3801,4273,2750, 
 现金的期初余额(万元),10758,10758,10758,5132,5132,5132,5132,5065,5065,5065,2624,2245,5249,3801,3801,4273,2750,2191, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-2968,-3491,-2880,5625,6172,18163,533,67,-548,-833,2442,379,-3005,1449,1023,-472,1523,559, 

