 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),24877,16231,33992,15034,33305,13807,30191,25949,20936, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),392,319,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1469,1097,1972,963,2317,1063,980,--,--, 
 经营活动现金流入小计(万元),26739,17647,35965,15997,35622,14871,31171,25949,20936, 
 购买商品、接受劳务支付的现金(万元),15866,11187,18475,7872,17011,9844,16043,10990,9813, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2678,1937,2738,1585,2030,1222,1580,982,789, 
 支付的各项税费(万元),1192,785,5165,2393,3057,1569,4051,3717,2486, 
 支付的其他与经营活动有关的现金(万元),657,461,1049,409,1271,1148,1476,957,532, 
 经营活动现金流出小计(万元),20393,14370,27427,12260,23369,13783,23149,16647,13620, 
 经营活动产生的现金流量净额(万元),6346,3277,8538,3737,12254,1087,8022,9302,7316, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,137,--,118,--,121,7,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,252,490,472, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),19,12,30,17,16,4,9,6,3, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),19,12,167,17,134,4,382,503,475, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5466,2452,8889,2915,4280,1357,2331,1873,1696, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),5466,2452,8889,2915,4280,1357,2331,1873,1696, 
 投资活动产生的现金流量净额(万元),-5448,-2440,-8721,-2899,-4147,-1353,-1949,-1370,-1221, 
 吸收投资收到的现金(万元),--,--,--,--,6473,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,3000,3000,--,2000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,12290,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,9473,3000,12290,2000,0, 
 偿还债务支付的现金(万元),--,--,3100,2900,4970,1670,8795,2410,3695, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,50,49,588,142,3509,654,870, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),140,69,390,--,3216,2699,6080,5210,1094, 
 筹资活动现金流出小计(万元),140,69,3539,2949,8774,4511,18384,8274,5659, 
 筹资活动产生的现金流量净额(万元),-140,-69,-3539,-2949,699,-1511,-6094,-6274,-5659, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),759,769,-3722,-2111,8806,-1777,-21,1658,435, 
 加:期初现金及现金等价物余额(万元),7804,7804,11526,11526,2720,2720,2741,1084,648, 
 期末现金及现金等价物余额(万元),8562,8572,7804,9414,11526,943,2720,2741,1084, 
 净利润(万元),4946,3688,11851,--,9861,3401,8907,--,3803, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),321,232,954,--,76,24,-1102,--,-92, 
