 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),225832,886300,565271,404363,224670,616958,349773,248325,122071,515692,340069,226991,109961,491742,313228,204080,98075,445252,285585,194498,88644,355057,251531,165916,76676,323828,290689,248191, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,--,--,--,13,--,1,--,--,0,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),18749,37058,65868,63916,7309,35481,29864,21932,7559,19110,18778,16100,5888,22349,21812,13935,7923,24094,159773,6772,12156,21814,21907,105125,18027,19040,8014,5672, 
 经营活动现金流入小计(万元),244581,923358,631140,468280,231979,652439,379637,270257,129630,534802,358846,243091,115849,514091,335075,218014,105999,469346,445371,201270,100800,376871,273438,271041,94703,342868,298703,253864, 
 购买商品、接受劳务支付的现金(万元),87570,316271,190426,73603,81347,202928,130970,96332,46930,144986,126369,82606,42373,141217,94848,63509,31240,102207,81104,39261,21737,62673,74382,62889,20745,59203,59642,86699, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),91019,266515,200996,144992,90308,145201,96593,67977,44810,115530,82825,57838,35378,107669,74302,58759,36800,89541,64223,46935,29941,75497,55831,40460,27905,64585,52427,38116, 
 支付的各项税费(万元),3177,8920,8215,3982,3483,7069,6773,4975,2378,7416,7391,7112,4205,7959,10462,4109,4711,14192,13457,7948,5238,9164,7563,5338,2746,7015,6506,8980, 
 支付的其他与经营活动有关的现金(万元),23331,55241,80859,72238,19288,43824,37799,35764,14958,36547,36789,36671,20260,37469,46138,24515,20397,48937,180586,18074,20515,37951,27207,106762,14239,25882,28606,36910, 
