 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),101190,61973,29387,249313,220262,187261,87312,98904,41646,46298,86967,46898, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,3,69, 
 收到的其他与经营活动有关的现金(万元),2450,988,562,2293,1320,420,244,2083,1246,999,996,1655, 
 经营活动现金流入小计(万元),103641,62960,29949,251606,221582,187681,87557,100987,42892,47296,87966,48622, 
 购买商品、接受劳务支付的现金(万元),104063,71226,42723,203047,178638,137656,51637,77828,42938,43409,68394,34427, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5622,4011,2551,5799,4258,2210,1710,4235,3065,2538,2536,2449, 
 支付的各项税费(万元),252,1611,295,10953,9525,6755,1656,3718,2553,1568,1900,2181, 
 支付的其他与经营活动有关的现金(万元),6041,3473,2598,4207,3159,3103,721,2939,2347,1849,1400,927, 
 经营活动现金流出小计(万元),115979,80320,48168,224006,195581,149723,55723,88720,50904,49363,74230,39982, 
 经营活动产生的现金流量净额(万元),-12338,-17360,-18218,27600,26001,37958,31833,12267,-8011,-2067,13736,8640, 
 收回投资所收到的现金(万元),64819,46750,17650,2600,2600,2600,2600,--,--,--,12465,36415, 
 取得投资收益所收到的现金(万元),325,222,69,8,8,8,8,--,--,--,67,107, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,--,--,7,--,--,--,0,2,6,5,9, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,3766,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),65154,46972,17719,2615,2608,2608,2608,0,2,6,16303,36531, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),498,423,325,237,202,123,50,331,259,927,95,111, 
 投资所支付的现金(万元),87337,65850,37750,1300,1300,1300,1300,1300,--,--,12465,33867, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),1692,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),89527,66273,38075,1537,1502,1423,1350,1631,259,927,12560,33978, 
 投资活动产生的现金流量净额(万元),-24373,-19301,-20357,1078,1106,1185,1258,-1630,-257,-921,3743,2552, 
 吸收投资收到的现金(万元),--,--,--,22630,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,3000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,22630,0,0,0,0,0,0,0,3000, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,3000,3500, 
 分配股利、利润或偿付利息所支付的现金(万元),3414,3414,--,3200,3200,3200,--,1600,1600,2000,31,32, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),375,375,--,1027,40,40,--,38,40,--,400,--, 
 筹资活动现金流出小计(万元),3789,3789,0,4227,3240,3240,0,1638,1640,2000,3431,3532, 
 筹资活动产生的现金流量净额(万元),-3789,-3789,0,18403,-3240,-3240,0,-1638,-1640,-2000,-3431,-532, 
 汇率变动对现金及现金等价物的影响(万元),-72,-39,-9,90,39,19,-7,55,3,-7,-84,-16, 
 现金及现金等价物净增加额(万元),-40572,-40488,-38584,47172,23905,35922,33085,9054,-9906,-4995,13965,10645, 
 加:期初现金及现金等价物余额(万元),71206,71206,71257,24034,24034,24034,24034,14980,24886,29880,15916,5271, 
 期末现金及现金等价物余额(万元),30634,30718,32673,71205,47939,59956,57118,24034,14980,24886,29880,15916, 
 净利润(万元),--,8123,--,16524,15193,11335,--,7948,4180,5781,4741,2956, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1607,--,1121,736,109,--,2554,1331,2194,875,-119, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,162,--,286,212,114,--,262,238,230,274,322, 
 无形资产摊销(万元),--,37,--,64,47,24,--,50,55,333,896,894, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,58,16, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,5,--,--,--,1,--,--,--,-2,--,--, 
 固定资产报废损失(万元),--,--,--,5,1,--,--,9,15,2,10,5, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,-89,-30,--,--,-8,-3,--,31,32, 
 投资损失(万元),--,-222,--,-8,--,-8,--,--,--,--,-66,-107, 
 递延所得税资产减少(万元),--,-274,--,508,-189,-110,--,-626,-742,-362,-121,18, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-5113,--,10327,12304,15221,--,-23268,-9533,7333,3868,-6804, 
 经营性应收项目的减少(万元),--,-26137,--,12214,13274,-2614,--,-10772,-2258,-23895,13961,4418, 
 经营性应付项目的增加(万元),--,4453,--,-13350,-15548,13885,--,36118,-1295,6318,-10790,7010, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-17360,--,27600,26001,37958,--,12267,-8011,-2067,13736,8640, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),30634,30718,32673,71205,47939,59956,57118,24034,14980,24886,29880,15916, 
