 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),7974,3457,19798,12842,8547,4887,23482,16648,11770,5835,20167,13114,10008,5589,24169,17137,11786,18881,15156,16467,16523,10193, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),815,486,1286,695,458,277,1651,872,518,518,1257,959,--,--,1283,617,360,1125,785,650,--,--, 
 收到的其他与经营活动有关的现金(万元),78,47,342,220,120,21,1421,1180,156,82,86,69,57,39,599,542,35,584,530,642,139,210, 
 经营活动现金流入小计(万元),8867,3991,21425,13757,9126,5185,26555,18700,12443,6435,21510,14142,10065,5627,26051,18296,12181,20589,16471,17759,16662,10403, 
 购买商品、接受劳务支付的现金(万元),3180,1700,11544,5804,2956,1380,10270,8370,5406,3188,8850,6454,4689,2368,11189,7495,5709,8978,7129,9103,6862,6183, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1519,852,2543,1742,1082,577,2292,1450,982,528,2076,1257,818,432,2053,1241,855,1983,1907,1911,1781,1960, 
 支付的各项税费(万元),2049,1450,2850,2029,1563,1184,3428,2726,2017,1122,3475,2348,1605,988,3049,2582,1714,2688,1747,1582,2359,1945, 
 支付的其他与经营活动有关的现金(万元),1050,390,2550,1494,795,481,2526,1414,971,376,2504,1418,958,309,2078,989,647,1816,1563,1221,1417,835, 
 经营活动现金流出小计(万元),7798,4392,19487,11069,6396,3622,18516,13959,9375,5214,16905,11477,8069,4097,18368,12307,8926,15465,12346,13816,12418,10923, 
 经营活动产生的现金流量净额(万元),1069,-402,1938,2688,2730,1563,8039,4741,3068,1221,4605,2666,1996,1530,7682,5989,3255,5124,4125,3943,4244,-521, 
 收回投资所收到的现金(万元),16110,10110,36343,28343,24000,10000,38700,20700,19700,--,14740,3240,1240,1240,53571,16400,13900,31000,23860,--,--,--, 
 取得投资收益所收到的现金(万元),197,78,451,348,123,12,737,540,538,--,254,29,8,8,145,111,82,225,227,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,5,6,4,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),16307,10188,36798,28697,24127,10017,39437,21240,20238,0,14994,3269,1248,1248,53715,16511,13982,31225,24087,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),963,699,5828,4410,2317,568,3524,1513,1055,356,43,8,6,2,106,20,6,131,31,447,110,2910, 
 投资所支付的现金(万元),14000,--,40453,24343,23000,26500,40700,32700,22700,9700,24740,24740,11240,1240,53571,16400,13900,31000,23860,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),14963,699,46280,28752,25317,27068,44224,34213,23755,10056,24783,24748,11246,1242,53676,16420,13906,31131,23891,447,110,2910, 
 投资活动产生的现金流量净额(万元),1344,9488,-9482,-55,-1190,-17051,-4786,-12973,-3517,-10056,-9789,-21479,-9998,6,39,91,76,94,196,-447,-110,-2910, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,26500,23055,23055,--,--,--,--,--,--,--,--,1670, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,26500,23055,23055,0,0,0,0,0,0,0,0,1670, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),3600,--,3600,3600,3367,--,1800,1800,1139,--,1300,1300,1300,1300,13700,7500,7500,7800,--,3600,490,1401, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),4,--,10,10,10,--,27,27,27,--,4501,1033,733,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),3603,0,3610,3610,3377,0,1827,1827,1167,0,5801,2333,2033,1300,13700,7500,7500,7800,0,3600,490,1401, 
 筹资活动产生的现金流量净额(万元),-3603,0,-3610,-3610,-3377,0,-1827,-1827,-1167,0,20699,20722,21022,-1300,-13700,-7500,-7500,-7800,0,-3600,-490,269, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-1191,9087,-11154,-977,-1837,-15488,1425,-10059,-1616,-8835,15515,1909,13020,235,-5979,-1420,-4169,-2582,4321,-103,3644,-3162, 
 加:期初现金及现金等价物余额(万元),7384,7384,18539,18539,18539,18539,17114,17114,17114,17114,1599,1599,1599,1599,7577,7577,7577,10160,5839,5942,2298,5460, 
 期末现金及现金等价物余额(万元),6194,16471,7384,17562,16702,3051,18539,7054,15498,8279,17114,3508,14619,1834,1599,6157,3408,7577,10160,5839,5942,2298, 
 净利润(万元),3382,--,6864,--,2134,--,9068,--,3935,--,7998,--,3074,--,8450,--,4320,7091,6140,6844,4685,2552, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),113,--,197,--,-230,--,155,--,34,--,83,--,-143,--,401,--,166,158,160,160,231,18, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),172,--,326,--,158,--,218,--,101,--,198,--,99,--,199,--,100,189,183,163,134,78, 
 无形资产摊销(万元),61,--,121,--,60,--,74,--,12,--,13,--,6,--,13,--,6,13,13,12,10,1, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,1,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,3,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 投资损失(万元),-298,--,-447,--,-276,--,-563,--,-297,--,-488,--,-8,--,-145,--,-82,-225,-227,--,--,--, 
 递延所得税资产减少(万元),-13,--,-26,--,37,--,-47,--,-3,--,-9,--,22,--,-51,--,-23,-21,-10,-10,-35,-3, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),-1651,--,-1253,--,-848,--,-521,--,208,--,-264,--,415,--,-257,--,235,-909,-198,-704,-974,-1146, 
 经营性应收项目的减少(万元),-555,--,-3259,--,3534,--,457,--,812,--,-3801,--,-111,--,514,--,-59,-2839,-3100,-2671,-1381,-1939, 
 经营性应付项目的增加(万元),-142,--,-587,--,-1841,--,-802,--,-1737,--,875,--,-1359,--,-1443,--,-1408,1667,1164,62,1658,-947, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,86,-86,864, 
 经营活动产生现金流量净额(万元),1069,--,1938,--,2730,--,8039,--,3068,--,4605,--,1996,--,7682,--,3255,5124,4125,3943,4244,-521, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),6194,16471,7384,17562,16702,3051,18539,7054,15498,8279,17114,3508,14619,1834,1599,6157,3408,7577,10160,5839,5942,2298, 
 现金的期初余额(万元),7384,7384,18539,18539,18539,18539,17114,17114,17114,17114,1599,1599,1599,1599,7577,7577,7577,10160,5839,5942,2298,5460, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-1191,9087,-11154,-977,-1837,-15488,1425,-10059,-1616,-8835,15515,1909,13020,235,-5979,-1420,-4169,-2582,4321,-103,3644,-3162, 

