 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),301481,806844,538055,397784,243016,811612,524011,403586,271742,737659,486095,368397,219627,572671,381871,275066,175215,452902,312025,236275,159214,396374,270732,206525,125675,342729,244000,177815,109767,254952,170853,127153,77799,206804,147953,109581,68078,184260,121912,94328,150870,111272,82195,137246,118079, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),2460,4494,1926,1092,555,6610,3314,2701,1424,8535,4896,1857,876,2975,1497,1126,356,2632,3269,2756,882,1684,5154,835,571,2817,926,811,601,772,1493,1096,628,1791,1997,961,406,904,851,144,738,551,277,420,265, 
 经营活动现金流入小计(万元),303941,811338,539981,398876,243570,818222,527325,406286,273166,746194,490991,370254,220503,575646,383368,276191,175571,455533,315294,239031,160096,398058,275885,207363,126247,345546,244926,178626,110369,255724,172346,128248,78427,208595,149950,110542,68484,185164,122763,94472,151608,111824,82472,137666,118344, 
 购买商品、接受劳务支付的现金(万元),235130,629142,439232,323380,203609,650418,420243,326020,198899,528677,320892,253257,163463,411778,266843,187678,122293,335643,230074,178109,124949,263975,189881,143305,97096,244405,167629,127027,89154,147971,100253,73257,46396,118210,86802,62800,39149,119592,73462,57331,82697,66099,50087,82382,66608, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),10228,38289,27906,19289,12027,31536,17850,11551,6282,25193,20973,14562,7030,22929,16197,10621,6303,20330,14841,10142,5537,20098,12849,9181,4693,14740,9391,7183,3129,10519,8547,6817,3903,8172,5070,3650,1767,5113,3555,2486,4827,2491,1998,3951,2503, 
 支付的各项税费(万元),15144,23131,16313,11788,4295,28843,25310,24324,10267,41905,34421,25809,14050,22687,17431,12528,3270,8868,7419,6045,2178,12462,13673,9957,1858,20066,14979,12536,4076,16393,13639,11120,4890,14502,11627,9530,4839,14511,11511,9618,10118,6375,4312,7053,3343, 
 支付的其他与经营活动有关的现金(万元),3391,8671,3546,1898,843,7397,4364,3253,7053,14865,7622,3225,1271,5697,5419,4794,1259,5418,4061,3266,1435,7191,8308,5573,2437,11883,6931,2887,1741,7625,6994,3617,1390,8127,4063,3153,3615,5840,3559,2268,6788,3710,2287,4607,4765, 
 经营活动现金流出小计(万元),263893,699233,486997,356355,220774,718194,467766,365148,222501,610640,383908,296853,185815,463091,305890,215621,133124,370259,256395,197562,134100,303727,224712,168016,106083,291093,198931,149632,98100,182508,129434,94811,56579,149010,107562,79132,49369,145056,92088,71703,104430,78676,58684,97994,77219, 
 经营活动产生的现金流量净额(万元),40048,112104,52984,42521,22797,100028,59559,41139,50664,135554,107083,73401,34689,112555,77478,60571,42447,85274,58899,41469,25996,94331,51173,39347,20163,54452,45995,28994,12269,73216,42913,33437,21848,59584,42388,31409,19115,40108,30675,22769,47178,33148,23788,39672,41125, 
 收回投资所收到的现金(万元),--,--,--,--,--,4000,4000,4000,4000,--,--,--,--,2000,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,7713,7713,6000,0,13809, 
 取得投资收益所收到的现金(万元),--,2280,--,--,--,3579,3578,2818,18,1600,1600,400,--,1612,1000,1000,--,600,600,--,--,1400,1400,400,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,24,24,25,754,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,--,--,--,--,0,0,--,--,3,2,--,--,22,1,1,1,--,--,--,--,--,--,0,--,--,--,--,--,1,--,--,--,0,--,--,--,--,--,0,1,1,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),35,1811,1045,62,30,10969,9202,9090,223,4775,1780,1122,484,9624,8485,668,0,2324,--,6,945,1372,2,2,2,--,10,26,31,1089,44,23,--,570,354,--,--,1549,--,0,1317,1175,75,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),35,4091,1045,62,30,18548,16781,15909,4241,6378,3381,1522,484,13258,9486,1670,1,2924,600,6,945,2772,1402,402,2,0,10,26,31,1090,44,23,--,570,354,0,--,1549,--,0,9055,8913,6100,754,13809, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11908,63700,49234,33302,19948,84492,41735,28172,17030,42417,28855,21565,12908,70175,44919,31605,21358,137705,104792,69993,48466,113032,71072,52878,18983,237952,113069,35693,22413,81701,47683,26525,17229,67094,47168,28020,11371,24831,14752,7533,23997,14719,8001,9151,33788, 
 投资所支付的现金(万元),--,--,--,--,--,2000,2000,2000,2000,2000,--,--,--,9410,4410,--,--,684,7939,684,--,5040,1890,1890,--,--,--,--,--,--,--,--,--,3001,3001,--,--,5606,596,596,6000,6000,6000,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,1315,--,--,--,447,38,19,11,340,318,326,--,314,56,39,--,22,--,--,--,0,50,46,46,4,--,--,--,--,--,--,--,0,--,--,--,--,5000,5000,0,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),11908,65015,49234,33302,19948,86939,43773,30191,19041,44757,29173,21891,12908,79898,49385,31645,21358,138411,112731,70677,48466,118073,73011,54814,19029,237956,113069,35693,22413,81701,47683,26525,17229,70095,50169,28020,11371,30437,20349,13130,29997,20719,14001,9151,33788, 
 投资活动产生的现金流量净额(万元),-11873,-60924,-48189,-33241,-19918,-68391,-26993,-14282,-14799,-38379,-25791,-20369,-12424,-66641,-39899,-29975,-21357,-135487,-112131,-70671,-47521,-115301,-71609,-54412,-19027,-237956,-113060,-35667,-22382,-80611,-47639,-26502,-17229,-69525,-49815,-28020,-11371,-28888,-20349,-13130,-20942,-11806,-7901,-8397,-19979, 
 吸收投资收到的现金(万元),--,--,--,--,--,750,750,750,--,4900,1450,--,--,99500,99500,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,1500,--,--,--,102475,102475,0,0,0,0,0,9041, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,750,750,750,--,4900,--,--,--,1500,1500,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,1500,--,--,--,--,--,0,0,0,0,0,0, 
