 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),209907,134044,52831,212442,143862,90919,45829,149235,81883,42682,21232,78729,48335,31317,13605,86649,56517,36662,14503,87526,52248,31533,15571,66465,37980,24861,9569,100190,75571,50838,25417,96440,60847,35428,12631,52703,34329,23361,7832,55626,37207,23171,10217,54612,47070,42716, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,6,290,--,--,16,24,--,--,6,1,1,1,9,7,5,6,1,1,1,1,26,17,17,17,29,29,2,2,580,202,0,0,196,0,1,1,127,49,5, 
 收到的其他与经营活动有关的现金(万元),57144,30440,3594,45417,28544,22952,1171,46808,40179,6982,6553,7045,4061,743,416,10736,7093,5080,809,13147,12871,6933,3476,11858,12250,5451,1096,19591,9062,1463,866,22743,16782,2373,595,14022,9703,3268,459,3563,3683,2604,738,3314,2185,2709, 
 经营活动现金流入小计(万元),267051,164484,56425,257859,172406,113871,47001,196049,122352,49664,27786,85790,52420,32060,14021,97391,63610,41743,15313,100682,65127,38472,19053,78324,50230,30312,10666,119807,84649,52317,26300,119211,77658,37803,13228,67305,44234,26629,8291,59385,40890,25776,10956,58053,49304,45430, 
 购买商品、接受劳务支付的现金(万元),175842,109862,50106,167604,127511,71868,23085,130382,76199,25048,10606,44242,26676,15630,5206,45501,29862,22751,10736,57600,38417,24065,10142,35846,27987,16320,8107,80126,61091,45768,23922,61458,42204,24574,9123,31813,20149,11953,4897,33338,23919,17367,6146,30741,27508,23108, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),59002,39125,22896,58394,43852,31478,17837,48283,36871,18041,10872,29338,22226,15672,9458,26644,21199,14983,9149,27162,20306,14118,8314,23941,18116,12578,7418,21613,15410,9858,5626,16252,12052,8089,4689,13300,9141,6366,3674,10973,8046,5543,3202,9655,9171,8303, 
 支付的各项税费(万元),10031,6495,2915,11089,8211,4871,1968,11817,9750,6715,3849,5016,5862,3856,1658,6469,4130,2641,1368,6643,4978,2945,1334,9945,8054,5595,3238,7573,5193,3539,1628,5288,4071,2998,1497,5099,4231,2945,1866,4370,3046,2160,929,3585,2797,2975, 
 支付的其他与经营活动有关的现金(万元),16826,12276,6053,17610,13740,5738,4611,25709,14596,6787,3610,11550,7507,5154,2603,9494,8716,5037,2686,11892,10175,4928,2685,10776,13525,4874,2559,13258,8876,6109,2981,10154,6388,4427,2540,9359,4093,2714,1244,6618,4864,3311,1224,7224,4454,4280, 
 经营活动现金流出小计(万元),261702,167759,81971,254697,193315,113955,47502,216191,137415,56591,28938,90145,62271,40312,18925,88108,63907,45412,23940,103297,73875,46056,22475,80508,67682,39367,21322,122570,90570,65273,34158,93153,64714,40088,17849,59572,37614,23978,11681,55300,39875,28382,11502,51206,43930,38665, 
 经营活动产生的现金流量净额(万元),5349,-3275,-25546,3162,-20909,-84,-502,-20142,-15064,-6927,-1152,-4355,-9851,-8252,-4903,9283,-296,-3669,-8627,-2615,-8748,-7584,-3422,-2184,-17452,-9054,-10656,-2764,-5921,-12955,-7858,26059,12944,-2285,-4621,7733,6620,2651,-3390,4085,1015,-2606,-546,6848,5373,6765, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,200,200,200,--,--,--,--,--,--,--,--,33,--,--,--,--,--,--,--,0,--,0,0,7,0,0,0,0,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,72, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22,6,0,17,14,11,0,59,58,13,0,7,7,6,0,2,2,0,0,347,345,345,--,21,8,4,4,24,21,21,8,11,5,4,0,81,1,1,1,17,14,13,1,193,37,19, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,649, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,1121,1121,0,0,0,0,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),22,6,0,17,14,11,0,59,58,13,0,7,7,6,0,203,203,201,201,347,345,345,0,21,8,4,4,58,21,21,8,11,5,4,0,1202,1122,1,1,24,14,13,1,193,37,741, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),21685,14302,12140,23226,16987,7597,3502,17840,4193,2413,1743,6700,4284,2295,1697,19583,12340,8990,3948,16559,9812,6986,3107,37408,17065,10252,4591,22860,13734,8265,6013,22840,16757,5202,3429,9604,7210,4278,1224,6505,5321,4265,1086,2889,1287,2874, 
 投资所支付的现金(万元),--,--,--,--,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,--,--,--,--,--,--,--,90,90,--,--,195,195,195,195,132,132,68,0,0,0,0,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2178,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,245,0,947, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,97,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),21685,14302,12140,23226,17004,7597,3502,17840,4193,2413,1743,6700,4284,2295,1697,19583,12340,8990,3948,16759,9812,6986,3107,37408,17065,10252,4591,25128,13824,8265,6013,23035,16952,5397,3624,9736,7341,4347,1224,6505,5321,4265,1086,3231,1287,3821, 
