 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),85447,33349,288524,161441,95470,36278,139802,78145,47283,16039,83005,52217,33867,11193,94453,70275,48262,11805,92534,--,84053,69211, 
 客户存款和同业存放款项净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1083,571,8633,7149,5579,1752,3557,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),13766,14060,45389,7565,946,187,1220,499,374,144,1038,784,376,93,705,309,197,25,867,--,366,489, 
 经营活动现金流入小计(万元),100295,47980,342546,176155,101995,38217,144580,78643,47658,16184,84043,53001,34243,11286,95158,70585,48460,11829,93402,--,84420,69700, 
 购买商品、接受劳务支付的现金(万元),91742,45923,318060,201065,110375,42996,123795,86142,49134,23863,79753,56669,44348,32882,85489,76723,42475,35535,76745,--,69553,59732, 
 客户贷款及垫款净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4461,2543,7610,5764,4031,2335,6051,4658,3218,1672,4537,3211,2176,1212,3709,2866,1960,1163,2846,--,2410,1627, 
 支付的各项税费(万元),5825,-9010,7198,4978,5432,4267,10595,4442,3938,607,4875,3970,3133,855,6005,5090,3049,769,5467,--,5186,3155, 
 支付的其他与经营活动有关的现金(万元),17717,12306,45229,6882,4186,1487,7156,5830,4675,1561,5142,3383,2341,1089,3989,3261,2098,1149,3982,--,4183,2744, 
 经营活动现金流出小计(万元),119746,51762,378096,218689,124024,51086,147598,101072,60965,27703,94307,67233,51998,36038,99192,87940,49582,38615,89040,--,81332,67258, 
 经营活动产生的现金流量净额(万元),-19450,-3783,-35551,-42534,-22029,-12869,-3018,-22428,-13307,-11520,-10264,-14232,-17755,-24752,-4034,-17355,-1122,-26786,4362,-19071,3087,2442, 
 收回投资所收到的现金(万元),163,163,--,--,0,--,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),2,1,271,167,167,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),0,10,21000,13000,13000,5000,22000,11160,8136,25,0,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),167,174,21271,13167,13167,5041,22075,11160,8136,25,0,0,0,0,0,0,0,0,0,--,0,0, 
