 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),10105,37375,31745,17196,7974,26215,19908,10472,5298,24422,16823,9325,3564,23288,16325,9917,3886,17763,13333,16412,15400, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),118,776,587,215,197,715,164,71,--,221,84,84,84,89,96,96,86,62,62,--,101, 
 收到的其他与经营活动有关的现金(万元),365,1331,829,277,84,510,780,383,300,734,353,166,142,525,365,252,362,354,249,358,275, 
 经营活动现金流入小计(万元),10588,39482,33161,17688,8255,27440,20852,10926,5597,25377,17261,9575,3790,23902,16786,10266,4335,18179,13644,16770,15775, 
 购买商品、接受劳务支付的现金(万元),7269,20913,22625,13527,5179,10578,9836,5800,1821,10151,7514,4527,2248,12115,7985,5120,2638,9324,6298,6727,9020, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3019,10640,7421,4615,2239,6477,4609,2996,1600,4739,3384,2117,1011,3599,2399,1468,653,2727,1923,2300,1804, 
 支付的各项税费(万元),1017,4343,3240,1936,1081,3677,2595,1468,527,3328,2504,1428,297,1764,1090,545,327,2010,1530,2403,1230, 
 支付的其他与经营活动有关的现金(万元),1855,6217,5357,3437,1471,4240,3141,1849,1052,3164,1927,2132,1506,2534,1710,1048,643,2033,1307,1959,1601, 
 经营活动现金流出小计(万元),13161,42113,38643,23515,9970,24972,20181,12113,5000,21382,15329,10203,5063,20012,13184,8181,4261,16094,11058,13389,13656, 
 经营活动产生的现金流量净额(万元),-2573,-2630,-5481,-5827,-1715,2468,671,-1187,597,3996,1932,-629,-1273,3890,3602,2084,74,2085,2586,3381,2119, 
