 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),60104,41444,28269,14350,47002,34007,22738,10398,29508,19766,13195,5418,26292,21572,13275,6158,29837,22057,14408,6524,27369,20512,22405,25786,24947,10606, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2592,1555,1002,548,1273,868,443,217,1069,713,342,152,821,426,328,170,838,410,282,152,759,405,692,26,62,0, 
 收到的其他与经营活动有关的现金(万元),1334,1189,1119,754,905,896,548,451,1226,1049,836,270,1203,1160,1132,895,1133,992,245,177,230,175,429,481,126,181, 
 经营活动现金流入小计(万元),64030,44188,30390,15651,49181,35770,23729,11066,31803,21529,14373,5841,28317,23158,14735,7223,31808,23459,14935,6853,28358,21091,23527,26293,25136,10788, 
 购买商品、接受劳务支付的现金(万元),28847,21216,13228,8060,23860,16841,9320,4533,16560,11754,7291,3148,11792,11371,7672,4039,17855,13269,8706,4559,16309,11513,13109,15444,15024,7101, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11889,8891,5913,3007,9653,7123,4298,1914,6642,4677,2883,1312,5822,4316,2566,1179,5329,3801,2470,1046,4606,3491,3832,4384,3280,1328, 
 支付的各项税费(万元),5318,4310,2917,1142,4524,3233,2055,789,2760,1633,747,166,2782,2088,1171,556,2571,2173,1171,550,2017,1611,2562,2264,1641,584, 
 支付的其他与经营活动有关的现金(万元),5766,5118,3777,1873,4557,3466,2240,1130,3207,2613,1701,791,2942,2164,1469,580,2931,2292,1311,616,1950,1433,1804,2276,2146,756, 
 经营活动现金流出小计(万元),51819,39535,25834,14083,42594,30662,17913,8368,29169,20678,12623,5418,23339,19940,12878,6354,28686,21536,13658,6771,24882,18047,21307,24367,22090,9769, 
 经营活动产生的现金流量净额(万元),12210,4653,4556,1569,6587,5109,5816,2699,2634,851,1750,423,4978,3218,1856,869,3122,1923,1277,82,3476,3044,2220,1926,3045,1019, 
 收回投资所收到的现金(万元),44227,23800,1600,--,--,--,--,--,--,--,--,--,500,500,--,--,--,--,--,--,--,--,--,--,0,0, 
 取得投资收益所收到的现金(万元),179,66,1,--,--,--,--,--,--,--,0,--,--,--,21,8,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,7,7,--,--,--,--,--,13,13,3,--,16,15,6,--,--,--,--,--,6,--,30,--,0,253, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1257,1257,--,--,0,757, 
 收到的其他与投资活动有关的现金(万元),--,--,0,--,--,--,--,--,--,--,--,--,25,25,--,--,--,--,--,--,--,--,--,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),44416,23873,1608,0,0,0,0,0,13,13,3,0,541,540,27,8,0,0,0,0,1262,1257,30,0,0,1010, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12754,9917,8144,4430,8947,4775,4434,1299,2007,941,541,279,1030,779,608,528,1187,407,372,34,530,412,1713,2306,1077,798, 
 投资所支付的现金(万元),60930,--,0,--,200,200,--,--,--,--,--,--,500,500,500,500,--,--,--,--,146,146,--,--,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,69,69,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,34427,10100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),73684,44344,18244,4430,9147,4975,4434,1299,2007,941,541,279,1530,1279,1108,1028,1187,407,372,34,745,627,1713,2306,1077,798, 
 投资活动产生的现金流量净额(万元),-29268,-20471,-16636,-4430,-9147,-4975,-4434,-1299,-1994,-928,-538,-279,-989,-739,-1081,-1020,-1187,-407,-372,-34,517,629,-1683,-2306,-1077,212, 
 吸收投资收到的现金(万元),2554,2346,2346,2346,--,--,--,--,--,--,--,--,--,0,--,--,13020,15200,--,--,--,--,--,--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),2000,2000,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,950,950,2400,1500,3000,3000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600,0,0, 
 筹资活动现金流入小计(万元),4554,4346,2346,2346,0,0,0,0,0,0,0,0,0,0,0,0,13020,15200,0,0,950,950,2400,2100,3000,3000, 
 偿还债务支付的现金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,950,950,950,950,2400,1400,3500,600,2000,3400, 
 分配股利、利润或偿付利息所支付的现金(万元),35,--,0,--,1500,1500,1500,--,600,600,600,--,800,800,800,--,14,14,14,14,1048,1019,224,1110,71,108, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),56,--,0,--,--,--,--,--,--,--,0,--,70,56,54,54,622,2259,33,--,47,47,51,255,695,0, 
 筹资活动现金流出小计(万元),92,0,0,0,1500,1500,1500,0,600,600,600,0,870,856,854,54,1586,3223,997,964,3496,2466,3775,1965,2766,3508, 
 筹资活动产生的现金流量净额(万元),4462,4346,2346,2346,-1500,-1500,-1500,0,-600,-600,-600,0,-870,-856,-854,-54,11434,11977,-997,-964,-2546,-1516,-1375,136,234,-508, 
 汇率变动对现金及现金等价物的影响(万元),-83,-74,-4,-149,-256,-196,-89,-14,120,39,27,-7,44,101,14,4,7,12,17,7,-43,-25,-7,-39,-36,-1, 
 现金及现金等价物净增加额(万元),-12678,-11546,-9739,-664,-4316,-1562,-207,1386,160,-638,638,137,3163,1724,-64,-201,13375,13505,-76,-908,1404,2132,-845,-284,2167,722, 
 加:期初现金及现金等价物余额(万元),17687,17687,17687,17687,22004,22004,22004,22004,21844,21844,21844,21844,18681,18681,18681,18681,5306,5306,5306,5306,3902,3902,4747,5031,2863,2141, 
 期末现金及现金等价物余额(万元),5010,6141,7949,17024,17687,20441,21796,23390,22004,21206,22482,21981,21844,20405,18616,18480,18681,18811,5230,4397,5306,6034,3902,4747,5031,2863, 
 净利润(万元),9146,--,5186,--,8078,--,3071,--,5217,--,2009,--,3176,--,1861,--,3186,--,1750,--,3477,--,2824,4077,3527,1514, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),774,--,985,--,923,--,175,--,782,--,352,--,307,--,198,--,364,--,200,--,185,--,157,134,139,61, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),586,--,298,--,596,--,281,--,576,--,295,--,593,--,310,--,612,--,304,--,589,--,586,499,401,320, 
 无形资产摊销(万元),77,--,38,--,77,--,39,--,78,--,39,--,86,--,43,--,207,--,165,--,365,--,296,294,238,44, 
 长期待摊费用摊销(万元),63,--,42,--,84,--,36,--,64,--,29,--,53,--,26,--,29,--,12,--,26,--,19,17,14,4, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-6,--,-6,--,--,--,--,--,3,--,-1,--,-3,--,--,--,--,--,--,--,--,--,--,--,19,0, 
 固定资产报废损失(万元),14,--,0,--,1,--,1,--,2,--,1,--,26,--,0,--,0,--,0,--,5,--,1,1,0,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),-194,--,-42,--,159,--,43,--,-56,--,-93,--,-92,--,-14,--,11,--,1,--,208,--,257,284,137,121, 
 投资损失(万元),-169,--,-1,--,--,--,--,--,--,--,--,--,-25,--,-21,--,--,--,--,--,-385,--,--,--,-0,0, 
 递延所得税资产减少(万元),-240,--,-281,--,-280,--,-31,--,-284,--,-50,--,-46,--,-35,--,-55,--,-29,--,-24,--,-25,-31,-22,-9, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0, 
 存货的减少(万元),-484,--,-2404,--,-6189,--,-5854,--,-2533,--,-2726,--,1457,--,489,--,116,--,-235,--,-2152,--,661,676,-3160,-1490, 
 经营性应收项目的减少(万元),-2569,--,-7052,--,-4369,--,18,--,-6945,--,-2630,--,487,--,-2074,--,-1954,--,-1877,--,-1033,--,-631,-2642,-2447,-1179, 
 经营性应付项目的增加(万元),3571,--,6951,--,7507,--,8038,--,5730,--,4525,--,-1040,--,1073,--,605,--,986,--,2215,--,-1924,-1384,4200,1633, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),1641,--,841,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),12210,--,4556,--,6587,--,5816,--,2634,--,1750,--,4978,--,1856,--,3122,--,1277,--,3476,--,2220,1926,3045,1019, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
