 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),60331,42275,88428,62794,78052,91929,83599, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6977,781,2572,1676,14731,1019,1365, 
 经营活动现金流入小计(万元),67309,43056,91000,64469,92783,92948,84963, 
 购买商品、接受劳务支付的现金(万元),46569,30881,56110,42163,64288,62728,62509, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7533,5133,11289,8375,8941,7989,8081, 
 支付的各项税费(万元),4141,2611,4404,3388,5600,2735,3504, 
 支付的其他与经营活动有关的现金(万元),6830,3337,5589,4502,4448,13087,8845, 
 经营活动现金流出小计(万元),65073,41961,77392,58429,83277,86539,82939, 
 经营活动产生的现金流量净额(万元),2236,1095,13608,6041,9506,6409,2025, 
 收回投资所收到的现金(万元),--,--,--,--,131,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,3,37,37,33,--,49, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),8,3,37,37,164,0,49, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),856,773,4010,2585,880,882,1345, 
 投资所支付的现金(万元),--,--,--,--,--,108,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),856,773,4010,2585,880,990,1345, 
 投资活动产生的现金流量净额(万元),-848,-770,-3973,-2548,-715,-990,-1296, 
 吸收投资收到的现金(万元),--,--,--,--,11700,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),30207,24407,52473,38041,71961,61972,56980, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),30207,24407,52473,38041,83661,61972,56980, 
 偿还债务支付的现金(万元),25445,23745,57274,37341,89718,56747,56757, 
 分配股利、利润或偿付利息所支付的现金(万元),1186,786,2073,1574,6971,3302,3404, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),26631,24531,59346,38915,96689,60049,60160, 
 筹资活动产生的现金流量净额(万元),3577,-124,-6874,-874,-13028,1923,-3180, 
 汇率变动对现金及现金等价物的影响(万元),-529,-456,784,-551,-1299,-551,-319, 
 现金及现金等价物净增加额(万元),4436,-255,3545,2067,-5536,6791,-2770, 
 加:期初现金及现金等价物余额(万元),8440,8440,4894,4894,10430,3639,6410, 
 期末现金及现金等价物余额(万元),12876,8185,8440,6961,4894,10430,3639, 
 净利润(万元),--,3685,7781,--,6414,5044,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,489,606,--,52,-102,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,929,1740,--,1823,1852,--, 
 无形资产摊销(万元),--,80,121,--,106,100,--, 
 长期待摊费用摊销(万元),--,6,3,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,38,69,--,91,178,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,153,-319,--,287,-25,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,1194,1244,--,4251,3855,--, 
 投资损失(万元),--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-40,1258,--,-143,-9,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,1040,16368,--,-3338,-9125,--, 
 经营性应收项目的减少(万元),--,-936,-5869,--,8420,1082,--, 
 经营性应付项目的增加(万元),--,-5543,-9393,--,-8456,3560,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,1095,13608,--,9506,6409,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),12876,8185,8440,6961,4894,10430,3639, 
 现金的期初余额(万元),8440,8440,4894,4894,10430,3639,6410, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),4436,-255,3545,2067,-5536,6791,-2770, 

