 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),66425,35272,104123,57622,32651,97704,112631,114045,103300, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),368,844,341,100,221,1067,1423,646,186, 
 经营活动现金流入小计(万元),66793,36116,104465,57721,32872,98771,114054,114691,103486, 
 购买商品、接受劳务支付的现金(万元),45834,25882,64871,38703,21113,58083,75976,76094,65835, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9659,6388,12356,9099,6344,12132,11862,10584,7990, 
 支付的各项税费(万元),7677,4992,9223,5371,4381,9483,9159,9669,9447, 
 支付的其他与经营活动有关的现金(万元),4831,2106,5234,3954,2269,7544,7313,9483,8955, 
 经营活动现金流出小计(万元),68001,39368,91684,57127,34107,87242,104310,105831,92227, 
 经营活动产生的现金流量净额(万元),-1209,-3252,12780,594,-1235,11529,9744,8860,11259, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),390,--,87,87,44,294,213,127,21, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),210,210,340,340,60,1685,--,1350,450, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),600,210,427,427,104,1979,213,1477,471, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),769,305,1900,1744,951,5115,11473,18000,12426, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,150,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),9000,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),9769,305,1900,1744,951,5115,11473,18150,12426, 
 投资活动产生的现金流量净额(万元),-9169,-95,-1473,-1317,-847,-3136,-11260,-16672,-11955, 
 吸收投资收到的现金(万元),22890,22890,--,--,--,--,--,--,5000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),9700,8700,30250,21500,18500,36100,48003,33500,38220, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),3900,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),36490,31590,30250,21500,18500,36100,48003,33500,43220, 
 偿还债务支付的现金(万元),24925,23300,33850,24275,21650,37125,40650,19350,36550, 
 分配股利、利润或偿付利息所支付的现金(万元),4596,2964,6682,2819,3507,5732,5702,3716,2076, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3949,3949,--,--,--,250,--,--,--, 
 筹资活动现金流出小计(万元),33470,30213,40532,27094,25157,43107,46352,23066,38626, 
 筹资活动产生的现金流量净额(万元),3020,1377,-10282,-5594,-6657,-7007,1650,10434,4594, 
 汇率变动对现金及现金等价物的影响(万元),-1,-0,-18,8,3,50,-1,0,--, 
 现金及现金等价物净增加额(万元),-7358,-1970,1007,-6310,-8735,1437,132,2622,3898, 
 加:期初现金及现金等价物余额(万元),15046,15046,14039,14039,14039,12603,12471,9849,5950, 
 期末现金及现金等价物余额(万元),7688,13076,15046,7730,5304,14039,12603,12471,9849, 
 净利润(万元),--,1669,4212,--,-3337,4258,6084,6610,7236, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,84,312,--,-9,-107,200,162,58, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2253,4512,--,2298,4516,3992,2707,1388, 
 无形资产摊销(万元),--,151,321,--,154,209,172,127,98, 
 长期待摊费用摊销(万元),--,42,91,--,49,76,68,40,9, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,1,10,--,3,16,41,100,2, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,8, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1008,2375,--,1187,3091,3613,2011,1766, 
 投资损失(万元),--,8,17,--,7,6,30,--,--, 
 递延所得税资产减少(万元),--,-45,-39,--,-1011,-117,-46,-396,-15, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-3689,-1795,--,-775,3053,-1763,-2632,1196, 
 经营性应收项目的减少(万元),--,-2826,287,--,1008,-245,-1721,-3620,-1138, 
 经营性应付项目的增加(万元),--,-1689,2592,--,-758,-3023,-747,3751,648, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-218,-115,--,-49,-201,-180,--,3, 
 经营活动产生现金流量净额(万元),--,-3252,12780,--,-1235,11529,9744,8860,11259, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),7688,13076,15046,7730,5304,14039,12603,12471,9849, 
 现金的期初余额(万元),15046,15046,14039,14039,14039,12603,12471,9849,5950, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-7358,-1970,1007,-6310,-8735,1437,132,2622,3898, 

