 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),72963,366803,223464,147769,67477,344321,213598,142809,60584,347074,208597,135058,59904,310781,187509,118882,52403,288015,183933,116427,50460,216271,135467,84135,35792,170022,109258,59155,25592,118976,85808,53089,20113,102996,70448,45128,18203,88506,58930,35161,11631,65528,40435,29661,11414,44880,30219,20823,8722,39128,24530,17207,7025, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,0,0,2,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收到的税费返还(万元),18,--,87,66,66,--,182,26,26,246,160,5,3,753,963,825,363,139,3,2,1,116,70,--,--,42,0,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),2371,4166,7143,4607,1635,5717,9036,5909,2871,8365,6342,3637,2091,4423,6988,3364,2357,6932,4448,2994,1880,5026,3459,2107,1125,5604,9308,139,767,1484,4819,2465,610,313,1662,1020,489,332,1042,1,2048,1182,753,336,2371,265,1130,1026,45,11113,15206,7907,168, 
 经营活动现金流入小计(万元),75352,370969,230694,152443,69179,350038,222816,148744,63480,355684,215100,138700,61997,315958,195459,123071,55123,295086,188384,119424,52340,221413,138996,86242,36917,175669,118566,59294,26359,120460,90627,55554,20724,103309,72110,46152,18692,88837,59972,35164,13678,66711,41188,29996,13784,45145,31349,21849,8767,50241,39736,25114,7193, 
 购买商品、接受劳务支付的现金(万元),18833,131905,59421,36233,16286,105011,58886,47245,23105,98444,67139,48435,23216,98798,68642,42477,18395,74501,53819,30911,16642,62773,31999,14209,8750,44993,33145,51326,23487,108946,79028,50299,18758,91018,65322,41085,16717,75827,52428,26209,10299,56393,36081,26664,10324,37422,27828,19399,6915,34972,28360,21338,6274, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,1,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),31569,80667,60908,46042,29423,76577,59230,43156,26036,72099,56025,40440,24113,60833,45820,32289,20330,51784,38288,27098,17120,44012,29853,23269,12705,38691,27167,3094,1044,3668,2425,1566,768,2880,1685,1433,701,2613,1795,1284,528,2370,1654,877,651,1469,748,483,352,1323,1004,702,406, 
 支付的各项税费(万元),1483,5848,5829,4281,1789,5844,6492,5285,2273,6448,7339,5002,2837,7204,5526,4302,1943,9073,8798,6082,2527,7451,7248,4250,3471,4158,6096,2547,1031,3952,2747,1803,271,3090,2267,1624,370,2956,2237,1634,646,2318,1776,1030,595,1414,1005,611,266,1284,880,423,268, 
 支付的其他与经营活动有关的现金(万元),8265,33060,33771,24738,9203,36246,31064,19724,10395,30164,25515,17852,8675,28444,26507,17688,8219,25172,26098,14062,6500,19901,15721,8085,4214,19693,18370,1940,1420,5998,5512,2813,1028,6487,5221,3526,1514,7871,3495,2530,1512,4380,1369,1862,2430,3092,872,582,713,9354,7487,572,926, 
 经营活动现金流出小计(万元),60150,251479,159929,111294,56702,223679,155672,115410,61808,207155,156019,111729,58841,195279,146496,96755,48886,160529,127003,78153,42790,134137,84821,49813,29139,107535,84779,58907,26982,122563,89713,56482,20825,103475,74495,47668,19301,89267,59956,31659,12985,65461,40881,30433,14000,43398,30453,21075,8246,46934,37730,23036,7874, 
 经营活动产生的现金流量净额(万元),15202,119490,70765,41149,12477,126359,67144,33333,1672,148529,59081,26971,3156,120679,48963,26316,6236,134557,61381,41270,9551,87276,54175,36429,7777,68134,33787,387,-623,-2103,913,-928,-102,-166,-2386,-1517,-609,-430,16,3506,693,1250,308,-436,-215,1747,896,774,521,3307,2006,2078,-681, 
 收回投资所收到的现金(万元),34,1265,1265,1265,1234,--,--,--,33,881,285,200,--,1720,--,--,--,2732,1256,1256,--,--,--,--,--,--,--,--,0,2670,651,651,--,7649,--,--,--,0,4311,4311,--,--,--,0,--,20942,0,0,--,210,0,0,0, 
 取得投资收益所收到的现金(万元),1590,12784,12091,7989,721,972,722,446,1,282,181,2,0,257,117,5,5,77,--,--,--,--,--,--,--,--,50,--,--,2,2,2,--,122,--,--,--,0,0,0,--,--,--,0,--,0,10,10,3,92,92,74,43, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),19,1503,1450,1329,1320,247,59,48,40,53,59,3,2,75,20,20,19,474,13,13,5,676,544,528,430,291,199,0,--,372,300,300,0,4941,3964,3067,0,13266,24,24,--,145,145,145,5,218,8,8,--,17,160,160,7, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),204732,1286435,795304,560850,131378,701729,437865,382577,43854,9020,41601,40653,10598,4226,22,22,--,10911,8939,8857,9057,5256,2197,2066,848,7325,5645,--,--,--,--,--,--,--,122,--,--,0,0,0,--,--,--,0,--,45,0,0,--,1822,0,0,50, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 投资活动现金流入小计(万元),206375,1301987,810110,571432,134653,702947,438647,383071,43928,10236,42126,40859,10601,6278,158,46,24,14194,10209,10126,9062,5931,2741,2594,1278,7616,5894,0,0,3044,954,954,0,12712,4086,3067,0,13266,4335,4335,--,145,145,145,5,21206,18,18,3,2140,252,235,100, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),26479,93226,71424,49151,27578,94878,75372,44112,23305,104336,59079,38018,18815,79498,50965,33165,17050,77321,44193,27769,13790,46712,37865,32530,12079,54369,32566,50,5,461,433,398,363,163,454,372,14,210,180,109,5,145,123,105,69,89,21,21,7,2273,88,78,8, 
 投资所支付的现金(万元),1800,--,--,--,--,6000,5947,5947,5947,2950,1050,1050,3219,71336,65106,14600,13100,22860,10000,10000,--,70360,9325,9325,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,350,350,0,--,470,470,0,470, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,350,--,0,0,470,0, 
 支付的其他与投资活动有关的现金(万元),228507,1249500,747626,593500,183186,751681,434372,325100,54502,59767,82315,82315,115,436364,800,--,--,407,406,--,--,421,249,223,600,--,1500,--,--,--,--,--,--,--,--,--,--,0,1500,1500,--,--,--,0,--,0,0,0,--,60,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 投资活动现金流出小计(万元),256786,1342726,819049,642651,210764,852559,515691,375159,83754,167053,142444,121383,22149,587199,116871,47765,30150,100588,54599,37769,13790,121712,47439,42078,12679,54369,34066,50,5,461,433,398,363,163,454,372,14,210,1680,1609,5,145,123,105,69,439,371,371,7,2803,558,548,478, 
 投资活动产生的现金流量净额(万元),-50411,-40739,-8939,-71219,-76112,-149612,-77045,7912,-39826,-156817,-100318,-80524,-11548,-580921,-116712,-47719,-30126,-86394,-44391,-27643,-4728,-115781,-44698,-39484,-11400,-46753,-28172,-50,-5,2583,521,555,-363,12549,3631,2695,-14,13055,2655,2726,-5,-0,22,40,-64,20767,-353,-353,-4,-663,-305,-313,-379, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,650660,651910,651910,--,--,--,--,--,70750,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,400,400,400, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26450,19850,19850,7000,52850,48850,48850,18500,40000,43670,--,--,2008,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,1200,0,0,--,0,1400,1400,1400, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4651,471,--,--,--,--,--,--,--,17920,100,--,--,--,--,1567,350,850,850,670,1869,70,--,--,--,0,0,910,0,0,0,38,0,0,0, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,650660,651910,651910,0,26450,24501,20321,7000,123600,48850,48850,18500,40000,43670,17920,100,2008,0,0,0,1567,350,850,850,670,1869,70,--,--,--,0,0,2110,0,0,0,38,1800,1800,1800, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,25450,25450,25450,8450,66850,61850,61850,39850,50500,40500,40300,18600,58820,58060,15962,100,4121,3199,1766,300,11621,2900,2350,850,7262,1869,1300,--,380,10,10,120,18344,430,200,0,2453,2435,2330,169, 
 分配股利、利润或偿付利息所支付的现金(万元),--,28667,28667,--,--,20067,20067,--,--,5017,5017,--,--,457,463,463,309,2046,1705,1298,877,4176,3252,2017,1011,4785,3697,1496,--,71,60,--,--,--,--,--,--,0,0,0,--,23,11,8,0,2617,67,31,--,112,86,86,55, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,927,428,61,--,0,239,0,823,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2528,1400,2111,0,--,--,0,0,3281,0,0,1,29,0,2,1, 
 筹资活动现金流出小计(万元),0,28667,28667,0,0,20067,20067,0,0,5017,5017,0,0,25907,26840,26342,8820,68896,63555,63387,40728,55498,43752,42317,19611,63605,61757,17458,100,4192,3259,1766,300,11621,2900,2350,850,9789,3269,3411,0,403,21,18,120,26529,498,231,1,2593,2521,2418,224, 
