 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),61754,49464,29551,88899,68643,57942,18710,56503,13203,20325,26171,41567,13364,15031,6821,5661, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),58,--,--,40,40,40,--,--,--,--,355,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),8099,5041,3108,16912,19146,15805,6736,30425,6401,8105,15771,11836,5236,9114,5921,2173, 
 经营活动现金流入小计(万元),69911,54506,32659,105852,87829,73787,25446,86929,19604,28430,42297,53403,18600,24145,12742,7834, 
 购买商品、接受劳务支付的现金(万元),45725,25391,16103,49640,40834,22444,11310,20266,9010,22657,41773,34127,7206,9738,4582,3590, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4055,3257,2317,5557,3241,2166,1722,3503,1796,2984,3551,2314,917,624,229,358, 
 支付的各项税费(万元),3439,2280,1463,6564,4195,3319,2416,5411,4004,4805,4396,4973,1955,2907,498,366, 
 支付的其他与经营活动有关的现金(万元),14379,7397,2787,19450,29062,24658,8639,29815,5347,11473,15329,14711,6237,8567,8260,3816, 
 经营活动现金流出小计(万元),67599,38324,22669,81212,77332,52588,24087,58995,20156,41920,65048,56125,16316,21836,13570,8130, 
 经营活动产生的现金流量净额(万元),2312,16181,9990,24640,10497,21199,1359,27934,-553,-13490,-22751,-2723,2284,2309,-828,-296, 
 收回投资所收到的现金(万元),--,--,--,150,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,1,1,1,0,0,0,--,--,28,7,0,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,234,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6,1,1,151,0,0,0,0,0,28,7,0,0,234,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),369,248,50,129,16,5,4,365,285,63,401,321,678,581,14,48, 
 投资所支付的现金(万元),--,--,--,3907,2000,2000,--,11544,--,--,--,--,--,--,500,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,360,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
