 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),89458,59051,21798,106849,73035,52274,21350,87917,60342,36083,21849,81789,71957,49538,17663,121771,93061,61300,26713,102627,78636,126011,119424,79069,41591, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,84,--,--,--,62,--,--,1,37,20,24,10,20,20,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),313,--,--,8,391,--,38,--,81,68,48,--,201,0,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2421,527,2651,886,15945,814,14826,541,7600,100,1427,4723,1276,970,727,1647,1042,1057,555,1351,782,1239,4323,1020,677, 
 经营活动现金流入小计(万元),92193,59578,24449,107826,89371,53088,36214,88520,68023,36251,23325,86549,73454,50531,18400,123438,94123,62357,27268,103978,79417,127249,123747,80090,42269, 
 购买商品、接受劳务支付的现金(万元),79001,57022,16054,94551,69702,48632,27512,73419,55628,27880,14760,72007,64971,52091,26885,109503,79978,52119,27794,101467,69812,101427,112425,69885,35145, 
 客户贷款及垫款净增加额(万元),--,--,100,-24,--,--,--,367,--,--,501,-413,0,--,--,500,300,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3817,2558,1190,4886,3539,2487,1279,3993,3051,1984,966,3715,2666,1821,802,3236,2377,1537,880,2670,1978,2786,2230,1116,780, 
 支付的各项税费(万元),3413,1883,651,4383,2999,1881,1189,2460,1730,894,519,2534,1945,407,487,3347,3035,1821,445,4719,4135,5240,4546,2218,2513, 
 支付的其他与经营活动有关的现金(万元),9045,4220,3317,9736,14355,6582,12755,6198,3695,2198,2186,6914,5004,8432,1961,5992,7287,3341,2418,6422,4905,6977,6849,3824,2992, 
 经营活动现金流出小计(万元),95276,65682,21313,113532,90595,59581,42736,86437,64104,32956,18932,84757,74586,62751,30135,122577,92977,58817,31537,115278,80830,116430,126049,77044,41431, 
 经营活动产生的现金流量净额(万元),-3084,-6104,3136,-5706,-1224,-6493,-6522,2083,3920,3295,4393,1792,-1132,-12220,-11735,861,1145,3539,-4269,-11299,-1413,10819,-2303,3046,838, 
 收回投资所收到的现金(万元),500,506,--,12470,8470,3070,--,4000,--,--,--,10000,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),6,--,--,105,84,40,0,54,--,--,--,99,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,--,1,--,--,--,--,--,3,--,--,0,--,--,--,--,3,3,--,10,1,2,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),509,506,1,12575,8554,3110,0,4054,3,0,0,10099,0,0,0,0,3,3,0,10,1,2,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),838,757,688,3399,2145,1364,816,4829,3300,2695,2144,5372,3302,2041,845,10172,9067,6863,2031,5915,4884,4910,6534,6752,3907, 
 投资所支付的现金(万元),500,500,850,9963,9543,3600,70,7000,4000,70,--,10000,5000,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,900,--,--,3773,5061,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,640,2800, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1338,1257,1538,13361,12638,4964,886,15602,12361,2765,2144,15372,8302,2041,845,10172,9067,6863,2031,5915,4884,4910,6534,7391,6707, 
 投资活动产生的现金流量净额(万元),-829,-751,-1537,-786,-4084,-1854,-886,-11548,-12359,-2765,-2144,-5273,-8302,-2041,-845,-10172,-9064,-6860,-2031,-5906,-4882,-4907,-6534,-7391,-6707, 
