 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),131095,493801,346095,246353,102966,480435,280334,143763,119967,384711,230138,107774,68496,269356,120973,76935,34999,156631,95797,57740,26638,113352,67187,35016,14462,68197,34848,19786,8355,48252,25748,16287,6714,46216,23948,13334,6489,34539,22372,17801,23707,15365,13281,6676, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 收到的税费返还(万元),275,1861,11178,236,148,1235,333,135,134,760,351,316,8,284,402,207,5,331,348,336,332,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),8633,40304,16947,15926,2454,25390,10266,13189,1907,8944,8731,9622,1473,6758,1173,9243,1224,3616,3689,2789,1182,10263,5244,7738,497,2386,1024,881,600,1661,2759,1508,493,1701,1381,794,259,558,537,515,43,347,61,95, 
 经营活动现金流入小计(万元),140003,535966,374221,262514,105568,507060,290933,157087,122008,394415,239220,117712,69977,276398,122549,86386,36229,160578,99834,60865,28153,123615,72431,42754,14959,70583,35872,20667,8955,49913,28507,17795,7207,47917,25329,14128,6749,35097,22909,18316,23750,15712,13342,6770, 
 购买商品、接受劳务支付的现金(万元),85098,297831,280955,208315,77657,338720,275545,185703,106982,223083,164437,100003,59560,168272,95434,66645,27578,105965,70543,45823,25031,85995,56097,33329,12383,52966,27663,18228,8345,37460,23511,15291,6901,38450,23703,14065,6145,25764,18125,12736,18200,12497,9671,5250, 
