 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,80497,1561346,1537289,161999,433672,--,3153639,723498,347235,--,788874,7020,901546,--,--,1115682,--,117742,--,-62123, 
 收取利息、手续费及佣金的现金(万元),669106,2750733,1964904,1291243,633851,2980390,2079677,1493051,800734,4315999,3208618,2275984,468574,1857648,1256134,619504,326614,1185861,782469,838239,829976,994011,787603,1269494, 
 拆入资金净增加额(万元),80000,290000,300000,285000,--,--,--,--,--,--,--,--,--,540400,508500,120700,160700,192700,300000,--,--,--,--,--, 
 回购业务资金净增加额(万元),538448,--,--,--,--,--,--,--,--,--,703758,2935980,1146510,3776923,222558,206890,--,201181,691071,731411,--,--,365650,15147, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),282465,581507,449602,457712,170455,1684811,602745,592085,23996,734616,1385747,1212075,244914,792200,1118870,146763,159339,515352,325809,254300,393151,258064,247861,4583941, 
 经营活动现金流入小计(万元),4054222,4457148,3508989,3268021,1081334,8559388,6662037,4730616,3642169,9704951,13683475,20556804,5767579,11855170,5169814,1701345,1994668,2157706,2210266,1823950,1285429,4465247,1401114,5806459, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),101233,477346,312033,222592,102891,566976,400888,280417,162805,959956,725632,452116,70314,364302,248892,111679,108542,197600,120864,143712,143507,118961,143501,213101, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),291861,748145,592828,460856,292690,712193,587030,433535,276909,592771,463246,348466,138338,351245,247139,171093,74826,269265,231214,265402,227801,216144,170695,124004, 
 支付的各项税费(万元),177464,522177,426823,386192,144506,686176,593689,506409,259908,555903,519711,309380,136690,184536,134231,99664,56621,142429,137317,149885,217539,337526,337629,114968, 
 支付的其他与经营活动有关的现金(万元),110566,1138339,591556,792082,1410222,998256,526540,599466,139548,424691,1214080,748580,254450,723853,397824,167396,103871,289264,420777,157656,722306,300899,3017720,321642, 
 经营活动现金流出小计(万元),753001,10836573,7968966,5507260,3428022,14440978,12176369,5997568,3691861,6889007,6185509,8749994,3597360,6913631,3647773,1132047,1063855,3378083,2838552,4658067,2082547,1115596,3748771,774400, 
 经营活动产生的现金流量净额(万元),3301221,-6379425,-4459978,-2239240,-2346687,-5881590,-5514332,-1266951,-49692,2815944,7497966,11806809,2170219,4941538,1522042,569298,930813,-1220377,-628286,-2834117,-797118,3349651,-2347657,5032059, 
 收回投资所收到的现金(万元),219022,5803461,2685787,4175612,1488812,4586511,3600882,2808616,607469,5447803,5386477,3379868,4648661,2831003,1846972,1350918,845402,1229837,719947,505994,130271,706238,550498,12502, 
 取得投资收益所收到的现金(万元),18513,98822,87723,49105,27873,128170,85624,77155,69780,103522,51553,19499,98798,165516,30474,14631,30703,13389,19393,17031,12299,30998,9460,12357, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),431,7669,1992,1712,--,3465,3168,2882,--,515,941,343,5914,13279,12432,7325,3044,4390,8981,11217,1690,2682,333,3389, 
 处置子公司及其他营业单位收到的现金净额(万元),--,104500,104500,104500,--,--,--,--,--,566,566,566,--,559194,630015,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,319,--,--,--, 
