 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),2625661,1338610,2764475,2742990,1927539,665811, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),1056727,655461,1307395,983275,1478545,1471881, 
 拆入资金净增加额(万元),--,--,--,626768,--,348144, 
 回购业务资金净增加额(万元),1496133,117725,702602,580658,--,1950159, 
 收到的税费返还(万元),--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),70576,67969,10900,35092,32727,46440, 
 经营活动现金流入小计(万元),6150955,2738474,4785372,4968783,4462699,4960163, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),1004707,805104,525296,162392,1003309,1425770, 
 存放中央银行和同业款项净增加额(万元),--,--,1615581,825643,--,58188, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),364038,231480,490898,365822,548389,541266, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),134368,103902,162810,131095,151374,131690, 
 支付的各项税费(万元),113570,79306,158096,103033,157776,210878, 
 支付的其他与经营活动有关的现金(万元),82542,29808,100707,152880,68412,62259, 
 经营活动现金流出小计(万元),1844696,1377118,3450708,1926065,3631536,2442934, 
 经营活动产生的现金流量净额(万元),4306259,1361356,1334664,3042718,831163,2517229, 
 收回投资所收到的现金(万元),7810479,5936663,11497185,8490662,5604894,4822805, 
 取得投资收益所收到的现金(万元),76168,42518,60207,26059,51818,39549, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2033,21,1397,6054,37,1435, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7888680,5979201,11558789,8522775,5656750,4863789, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2495,2323,4115,10234,9146,24236, 
 投资所支付的现金(万元),10552835,6568497,15899419,12504470,6327991,6730900, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
