 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),210013,133053,88452,35491,195388,124109,81729,26166,155116,95858,60818,18822,110381,64116,45012,15279,100689,63908,46584,21266,107293,58041,41525,17329,91072,66773,46329,128467,72970,193411,151766,81661, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),332,320,3,0,306,251,81,42,85,--,--,--,139,138,24,--,116,97,79,--,191,51,24,3,328,143,126,113,24,2471,451,--, 
 收到的其他与经营活动有关的现金(万元),7542,8667,5178,2370,13010,14510,4881,1305,14335,13012,5889,3099,15455,7365,5261,1651,10635,7543,7067,5394,9116,6932,5522,1568,7506,7542,5623,7715,4309,3493,1714,2745, 
 经营活动现金流入小计(万元),217887,142040,93633,37861,208704,138870,86692,27513,169536,108870,66706,21921,125975,71619,50297,16930,111439,71548,53729,26660,116600,65024,47071,18899,98906,74458,52078,136295,77303,199375,153931,84406, 
 购买商品、接受劳务支付的现金(万元),104878,77886,58969,23162,82355,71541,45659,18333,65006,39071,27572,7165,41577,29542,22133,6932,48094,32492,14204,7268,36842,26809,11948,5967,37222,30829,22207,105770,59225,135093,108892,63252, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),43020,24777,15311,7837,36742,23681,15492,5988,30401,21189,14708,6186,26557,19436,13967,5703,26202,19975,14026,4655,21098,19205,9180,5054,18040,17188,10441,14605,7870,12078,9885,7674, 
 支付的各项税费(万元),12392,8918,7108,3776,13569,10662,8297,4824,16850,13929,10632,5612,12450,11043,8585,3559,16912,12049,8211,5395,14982,10651,7647,4249,14769,11858,8566,11978,6824,7908,3410,1878, 
 支付的其他与经营活动有关的现金(万元),23000,14581,9017,4229,19522,15293,9264,4802,11731,14476,10550,4792,9055,13290,7859,3533,11619,9209,5473,2472,8673,6514,5332,2009,8818,7769,4874,12667,6938,9831,6817,6372, 
 经营活动现金流出小计(万元),183290,126162,90405,39003,152189,121176,78712,33946,123987,88665,63462,23756,89640,73311,52543,19726,102827,73725,41913,19790,81595,63178,34108,17278,78849,67644,46089,145020,80858,164910,129004,79175, 
 经营活动产生的现金流量净额(万元),34597,15878,3228,-1142,56515,17694,7980,-6434,45549,20205,3245,-1834,36335,-1692,-2246,-2797,8611,-2177,11816,6870,35005,1846,12964,1621,20057,6813,5989,-8725,-3555,34465,24927,5232, 
 收回投资所收到的现金(万元),--,78000,48000,10000,1000,70242,40059,30059,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,104,--,--,--,700, 
 取得投资收益所收到的现金(万元),2165,1288,811,131,1747,635,312,197,2920,2321,869,432,2319,1488,1488,1488,2529,803,672,538,2233,260,185,--,--,--,--,84,84,1947,780,1238, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,1,1,1,103,1,1,0,6,4,3,--,3911,3905,3905,3905,17034,12029,4,17,12036,31,31,1,1,1,1,4,2,31,14,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,677,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,484,--, 
 收到的其他与投资活动有关的现金(万元),7005,--,--,--,0,--,--,--,60000,20000,--,--,50000,50000,50000,50000,99000,99000,94000,77000,155000,--,--,--,--,--,--,116160,112490,363273,188614,3285, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9173,79289,48812,10132,3528,70878,40372,30257,62930,22324,872,432,56229,55393,55393,55394,118563,111833,94676,77555,169269,291,216,1,1,1,1,116351,112575,365259,189891,5227, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),39640,26432,17151,9459,41242,19553,13184,6412,23172,17801,14173,11049,22620,16838,11151,5876,26093,19297,15283,6780,35859,27506,18068,10308,40597,28329,16267,25763,11534,17402,18515,7519, 
 投资所支付的现金(万元),12658,88154,56040,17000,4710,70570,49612,33612,2301,2301,2301,--,--,--,--,--,--,--,--,--,--,--,--,--,300,300,300,--,--,1960,1960,1180, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
