 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),335731,231153,155066,49283,226662,147901,95532,33273,189897,115060,78047,24084,214611,134516,89991,37226,172775,110149,74454,26981,145596,95083,155256,118791, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),952,0,0,--,415,318,100,--,118,64,15,10,76,748,748,--,217,52,--,--,347,207,1289,462, 
 收到的其他与经营活动有关的现金(万元),3215,18312,12719,6141,2151,13756,12350,6291,1286,6132,2268,4098,1053,10028,6281,2433,2113,2782,1265,1251,1436,6062,715,1448, 
 经营活动现金流入小计(万元),339898,249466,167785,55424,229228,161975,107982,39564,191301,121255,80331,28192,215741,145293,97020,39659,175105,112983,75718,28232,147379,101353,157260,120702, 
 购买商品、接受劳务支付的现金(万元),260595,213228,141794,56987,276605,198392,135106,64111,153668,103019,71425,32811,184092,141436,103526,48808,136666,95221,62612,25566,136272,98738,125972,124403, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9010,6264,4100,2172,7107,4965,3276,1809,6466,4670,3241,1756,6495,4943,3327,1922,5232,3808,2623,1427,4258,3335,3893,3234, 
 支付的各项税费(万元),6160,2285,1108,487,4004,3757,2152,998,4564,3839,2856,1029,5280,4835,3505,1666,5823,4051,3082,1357,3685,3276,4300,3497, 
 支付的其他与经营活动有关的现金(万元),14500,24710,14662,6909,9714,23376,17119,12482,10649,20660,10024,7359,7294,18993,10913,3977,6924,9837,3595,3122,6511,5587,6321,4545, 
 经营活动现金流出小计(万元),290264,246487,161664,66556,297430,230489,157653,79400,175348,132188,87546,42954,203160,170207,121272,56373,154645,112916,71912,31472,150725,110936,140486,135679, 
 经营活动产生的现金流量净额(万元),49634,2979,6121,-11132,-68202,-68514,-49671,-39836,15954,-10932,-7216,-14762,12581,-24915,-24252,-16714,20460,67,3806,-3240,-3346,-9583,16774,-14977, 
 收回投资所收到的现金(万元),267,267,267,--,--,--,--,--,--,--,--,--,--,6168,168,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),687,--,--,--,--,--,--,--,--,--,--,--,63,63,--,--,19,10,10,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),246,201,33,8,234,39,0,--,31,9,9,--,745,36,8,8,155,93,94,-1,60,-155,58,19, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,1102,--,--,--,3509,348,348,--,899,400,400,3,395,1201,500,701,502,102,2376,50, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1200,469,301,8,1336,39,0,0,3539,357,356,0,1707,6667,575,10,569,1305,604,701,562,-53,2434,69, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12082,10011,8551,3312,16102,10001,4998,2826,15946,12008,3180,1634,7837,3960,2335,997,2017,898,683,311,3175,2142,7372,6018, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,300,300,--,--,--,3000,3000,3000,--,--,--,--,--,--,--,--, 
