 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),114083,464127,331157,205718,95983,376135,268218,167622,77064,292173,206231,130204,59233,233174,163419,203588,174475,133736, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1661,5457,3192,2130,1016,5410,3634,1918,879,3138,1243,672,354,1507,1094,1631,934,721, 
 经营活动现金流入小计(万元),115744,469583,334349,207848,96999,381545,271852,169540,77944,295311,207474,130876,59588,234680,164513,205219,175409,134457, 
 购买商品、接受劳务支付的现金(万元),51879,221861,157790,99133,47128,184716,125652,80757,36699,144239,102710,64123,30618,118011,83173,101353,86893,73787, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20208,74882,55569,36924,17468,60227,43449,27799,13086,48129,35019,22676,10645,38607,27315,31528,25718,19565, 
 支付的各项税费(万元),13636,53717,37217,22460,10139,44291,30966,19360,8208,34440,24247,15875,7027,27880,20281,25081,22761,13478, 
 支付的其他与经营活动有关的现金(万元),12569,53809,37777,24801,11118,40361,27132,16344,7384,25760,16920,10151,4461,18244,13804,15376,15046,10010, 
 经营活动现金流出小计(万元),98292,404268,288353,183319,85853,329595,227198,144261,65378,252568,178896,112824,52752,202742,144572,173338,150419,116840, 
 经营活动产生的现金流量净额(万元),17452,65315,45997,24530,11146,51949,44654,25280,12566,42744,28578,18051,6835,31938,19941,31880,24990,17617, 
 收回投资所收到的现金(万元),26000,49115,29399,29397,6000,67700,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),244,400,250,250,210,64,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),42,89,26,52,1,205,21,8,2,58,1042,36,3,23,17,49,771,56, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),26286,49604,29675,29699,6211,67968,21,8,2,58,1042,36,3,23,17,49,771,56, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7188,39667,34504,26079,12672,43630,32178,19808,9548,31603,19322,11546,4271,25840,15804,19729,12833,16913, 
 投资所支付的现金(万元),26000,41722,22006,22006,21014,75700,--,--,--,--,--,--,--,--,240,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),33188,81389,56510,48085,33686,119330,32178,19808,9548,31603,19322,11546,4271,25840,16044,19729,12833,16913, 
 投资活动产生的现金流量净额(万元),-6902,-31785,-26835,-18386,-27475,-51362,-32156,-19801,-9547,-31545,-18280,-11510,-4268,-25817,-16027,-19680,-12062,-16858, 
 吸收投资收到的现金(万元),--,72104,--,--,--,--,--,--,--,57437,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,9000,9000,9000,--,2000,2000,2000,--,9000,9000,9000,7000,2000,--,5425,8100,7460, 
