 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),194940,123531,57656,216243,131677,81158,32554,180979,124267,81917,31324,167939,93216,60167,24219,122076,73106,45217,19767,94507,57737,35775,16407,90661,52709,31665,14168,87573,57041,33671,11942,62689,38913,25249,11457,47498,27064,17157,50861,30835,34152,24834, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 收到的税费返还(万元),16030,1382,828,2451,1345,871,579,1987,1481,1053,470,2195,1681,1026,855,2261,1804,968,299,996,894,520,356,1797,1006,787,319,982,812,517,318,1127,843,813,310,644,309,197,162,162,71,36, 
 收到的其他与经营活动有关的现金(万元),12958,11278,4294,8799,16633,7249,3285,36611,17431,12664,4993,3414,7515,4396,1165,5230,3848,332,1357,2683,3052,1227,466,4049,3160,1813,162,2198,1695,2598,136,1575,625,442,124,2146,1928,1640,1197,498,1262,790, 
 经营活动现金流入小计(万元),223928,136191,62777,227493,149656,89277,36418,219577,143179,95635,36786,173548,102412,65589,26239,129568,78759,46516,21423,98186,61683,37522,17229,96507,56875,34264,14649,90754,59548,36786,12396,65391,40381,26504,11891,50287,29301,18995,52219,31495,35485,25660, 
 购买商品、接受劳务支付的现金(万元),140824,97767,44440,132089,93213,61103,25848,119872,97730,69771,31464,89215,67794,42468,21308,76422,54318,37275,19910,59569,46520,33027,16983,48095,34446,23740,13151,61385,43955,31661,14477,36418,27359,19033,9339,28347,18566,11676,29594,17076,22472,18283, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--, 
 支付给职工以及为职工支付的现金(万元),38231,25226,13619,37506,30692,20423,10979,29143,23514,15994,8683,22023,18276,12025,6505,18626,14290,9458,5321,12707,10565,7200,4230,10589,9298,6431,3680,8909,7226,4450,2574,6287,4311,2870,1542,4298,3137,2135,3494,2407,2706,2278, 
 支付的各项税费(万元),12817,9671,5450,15205,10156,6197,3568,14708,9146,6109,4033,12871,6887,4609,2508,9644,7610,4171,2641,7904,4933,3188,1278,9033,6388,4019,2403,8098,6011,3688,2771,4907,3401,2185,1782,3780,2457,1537,3961,2692,2222,1084, 
 支付的其他与经营活动有关的现金(万元),32919,22426,12716,25936,30019,19161,9864,27077,29523,21835,8483,29484,23501,20450,7503,19610,13731,8227,4941,12683,10709,4824,2284,13050,7998,4951,2463,11823,10391,7189,3878,10743,5959,3658,2382,6130,3594,2474,8403,6360,3001,3074, 
 经营活动现金流出小计(万元),224790,155090,76225,210736,164081,106884,50258,190800,159913,113709,52662,153593,116458,79552,37824,124303,89949,59131,32814,92863,72728,48240,24775,80768,58130,39141,21697,90215,67584,46989,23700,58355,41030,27746,15045,42556,27754,17823,45451,28535,30401,24718, 
