 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),65013,39233,16795,42816,37424,25022,5752,46937,34245,23375,8192,41939,49976,57859,57166, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2703,1697,338,415,433,419,333,556,490,309,248,495,43,54,28, 
 收到的其他与经营活动有关的现金(万元),490,499,43,763,686,250,191,1000,554,377,400,1758,118,216,631, 
 经营活动现金流入小计(万元),68206,41429,17176,43995,38543,25690,6276,48493,35289,24062,8840,44193,50137,58129,57824, 
 购买商品、接受劳务支付的现金(万元),48306,33348,13207,32413,31218,21125,8861,36481,32918,16744,9787,39759,43630,47088,47012, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2151,1504,870,1945,1346,839,459,1863,1395,922,464,1547,1140,1023,861, 
 支付的各项税费(万元),5211,3632,1421,2266,1243,723,519,3152,2191,1451,1062,1329,1826,3750,2378, 
 支付的其他与经营活动有关的现金(万元),10917,4593,2720,2365,2424,1377,528,1893,1649,1023,786,1851,2140,2007,1670, 
 经营活动现金流出小计(万元),66586,43077,18218,38988,36231,24064,10368,43389,38152,20140,12099,44487,48736,53868,51922, 
 经营活动产生的现金流量净额(万元),1620,-1648,-1042,5006,2312,1626,-4092,5104,-2862,3922,-3259,-294,1401,4261,5902, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,51,--,570, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,3,2,0,0,0,--,13,1,1,1,--,--,--,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),454,333,333,827,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),465,337,336,827,0,0,0,13,1,1,1,0,51,0,572, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2179,1253,587,2135,1810,1136,813,4908,4228,2903,2024,10542,6205,2864,1034, 
 投资所支付的现金(万元),--,--,--,16000,--,--,--,--,--,--,--,--,--,549,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,-827,--,--,--,--,--,--,--,4124,--,--, 
 支付的其他与投资活动有关的现金(万元),95,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
