 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),155824,707707,567974,404653,206882,944961,767568,539600,273871,1015945,842709,564947,246581,977484,776086,552631,251344,1166464,850101,583527,265876,1210438,865236,595844,1188857,607499,1165464,1053391,858886, 
 客户存款和同业存放款项净增加额(万元),-19398,19191,32732,3855,1661,6107,-17090,-22001,-26497,-4903,-20704,34056,-1383,1122,534,21903,-6814,-47753,-40898,-45564,-27256,7526,-36658,2028,54896,9183,79249,11650,2426, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),-20000,5000,-35000,-35000,-25000,-10000,-85000,-65000,-60000,--,-70000,-45000,-60000,--,-35000,-35000,-35000,-1000,-26000,-36000,-36000,16000,-10000,5000,35050,10050,13437,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),3485,14987,10845,5366,2893,17350,14759,11136,6186,35391,24636,15420,7922,9815,5902,3728,1968,7179,4775,3347,1569,9198,7166,4852,6589,2611,4346,3075,4032, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),1072,27457,-3932,1373,24859,54343,44488,79737,73928,-89737,-22924,-53824,--,--,-97839,-48931,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2471,3564,2346,1646,1326,3359,2699,2117,1741,5585,3173,2316,787,4443,3660,2808,2085,4428,2752,1360,448,4619,3271,2478,7060,3263,4873,4979,8561, 
 收到的其他与经营活动有关的现金(万元),1738,33255,7576,5162,4627,7626,2114,8736,5642,8996,9109,6836,645,17455,10875,6855,5540,9193,10985,7357,4972,8838,8554,6027,9255,5143,8725,7360,17334, 
 经营活动现金流入小计(万元),125192,811160,582541,387055,217248,1023746,729538,554325,274871,971277,766000,524752,194552,1010318,664217,503994,219124,1138510,801715,514027,209608,1256620,837570,616229,1301707,637749,1276093,1080455,891238, 
 购买商品、接受劳务支付的现金(万元),137130,628017,490358,380565,180992,680924,488845,374548,146817,615352,464967,326851,168356,741291,543880,382473,206162,915547,709345,492559,222089,957563,741840,514837,1022645,568903,994619,896053,716535, 
 客户贷款及垫款净增加额(万元),4278,19669,12704,3111,14324,-73361,-53325,21668,50978,42264,67908,41850,-1109,48518,-6499,26672,-3466,-17014,-22442,1790,-26430,20929,24321,22620,42836,5800,-7724,360,17016, 
 存放中央银行和同业款项净增加额(万元),-993,23827,2291,270,116,164,-1460,-1804,-2118,-4401,-5402,-563,-482,-120,80,3285,-1022,-7163,-6135,-6835,-4088,94,-6588,-785,2099,6981,53731,-1142,-1827, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),1172,1446,1164,390,278,5629,5294,5235,2734,24412,16784,10342,5581,3212,1079,933,485,1351,1054,774,297,1083,2640,1670,2006,806,1220,166,474, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),29669,120821,90663,60253,32324,123542,92413,62661,31503,123169,90363,60841,29123,115804,85986,56718,29493,110891,81912,54818,27412,96709,57710,38392,76136,29726,65860,54558,54656, 
