 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),20994,15344,41408,30305,15065,41697,28291,39666,20674,2497, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),254,154,513,624,193,3310,651,264,100,106, 
 经营活动现金流入小计(万元),21248,15498,41921,30928,15258,45007,28942,39930,20774,2603, 
 购买商品、接受劳务支付的现金(万元),1115,926,1426,1036,807,3280,2837,2308,1198,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),944,671,1058,752,519,1039,885,645,215,160, 
 支付的各项税费(万元),688,379,783,738,462,183,141,85,8,2, 
 支付的其他与经营活动有关的现金(万元),899,472,738,1294,299,924,716,1474,477,548, 
 经营活动现金流出小计(万元),3646,2448,4005,3819,2087,5426,4579,4512,1898,710, 
 经营活动产生的现金流量净额(万元),17602,13050,37916,27109,13172,39580,24363,35418,18876,1893, 
 收回投资所收到的现金(万元),--,--,--,--,--,300,300,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),2000,2000,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),2000,2000,0,0,0,300,300,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),88047,34296,92646,88096,68383,143457,100037,137319,87485,160273, 
 投资所支付的现金(万元),18000,--,320,320,320,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,10,10,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),106047,34296,92966,88416,68703,143467,100046,137319,87485,160273, 
 投资活动产生的现金流量净额(万元),-104047,-32296,-92966,-88416,-68703,-143167,-99746,-137319,-87485,-160273, 
 吸收投资收到的现金(万元),24468,--,100,40,--,72727,72727,26074,7800,40400, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,100,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),115000,65000,62300,62300,62300,218848,179200,157950,84350,136100, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),28966,2356,--,--,--,--,--,27839,7459,9663, 
 筹资活动现金流入小计(万元),168434,67356,62400,62340,62300,291575,251927,211863,99609,186163, 
 偿还债务支付的现金(万元),18644,14446,22019,12419,7973,97540,91240,52450,15200,11200, 
 分配股利、利润或偿付利息所支付的现金(万元),21382,12648,25854,19306,12672,28952,22582,26179,14348,7123, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),12852,3250,2128,3000,3000,39074,15074,2700,4615,1225, 
 筹资活动现金流出小计(万元),52878,30345,50001,34725,23645,165566,128896,81329,34163,19548, 
 筹资活动产生的现金流量净额(万元),115557,37012,12399,27615,38655,126009,123031,130534,65445,166615, 
 汇率变动对现金及现金等价物的影响(万元),--,--,0,0,0,295,-94,--,--,--, 
