 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),44636,30087,47000,30289,20481,38617,35896,29715,11306,21189,13160,10783, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2751,1947,2643,1706,1058,2361,2601,2172,1445,2178,1116,941, 
 收到的其他与经营活动有关的现金(万元),1438,1316,611,656,472,787,423,636,146,497,5279,2505, 
 经营活动现金流入小计(万元),48825,33350,50254,32651,22011,41765,38919,32524,12897,23864,19555,14229, 
 购买商品、接受劳务支付的现金(万元),23130,15630,25222,16436,9859,18036,22123,18863,7341,14498,6487,8481, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10791,7248,10076,6845,4664,7615,6865,4830,1868,3028,1306,1167, 
 支付的各项税费(万元),2171,1648,2943,2994,2152,1867,1603,1619,1162,1914,466,427, 
 支付的其他与经营活动有关的现金(万元),8244,5234,8124,5149,4280,6959,5812,4520,980,2058,3567,4389, 
 经营活动现金流出小计(万元),44337,29760,46365,31424,20955,34478,36402,29831,11351,21497,11826,14465, 
 经营活动产生的现金流量净额(万元),4488,3590,3889,1228,1056,7287,2517,2693,1546,2367,7729,-236, 
 收回投资所收到的现金(万元),--,--,--,--,--,1800,1200,--,--,300,132,--, 
 取得投资收益所收到的现金(万元),63,61,133,208,54,74,115,417,97,61,51,445, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),43,17,--,--,--,54,24,25,16,53,61,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,20,--,--,150,--,--, 
 收到的其他与投资活动有关的现金(万元),124,108,64,64,64,6735,3249,152,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),230,187,197,273,118,8664,4608,594,113,564,244,445, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8927,7534,9919,7980,5397,2106,2903,1713,2489,4251,877,251, 
 投资所支付的现金(万元),--,--,630,630,713,--,1720,1550,54,--,394,366, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,866,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,181,114,--,--,6005,3050,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8927,7534,10730,8725,6109,2106,10629,6313,2543,5118,1271,617, 
 投资活动产生的现金流量净额(万元),-8697,-7348,-10533,-8452,-5991,6557,-6021,-5719,-2430,-4554,-1027,-172, 
 吸收投资收到的现金(万元),--,--,2250,2250,2250,--,--,--,--,2200,165,36, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,36, 
 取得借款收到的现金(万元),22534,14444,22244,20466,17887,27076,19114,4717,--,622,1000,5250, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),4052,--,--,--,--,650,861,--,--,--,--,--, 
 筹资活动现金流入小计(万元),26586,14444,24494,22716,20137,27726,19976,4717,0,2822,1165,5286, 
 偿还债务支付的现金(万元),25915,12931,14980,14980,14480,30346,8835,3500,--,622,2150,4930, 
 分配股利、利润或偿付利息所支付的现金(万元),421,320,286,179,150,1455,1440,1558,960,1242,802,121, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),65,967,10718,10163,7773,211,--,1300,--,40,--,--, 
 筹资活动现金流出小计(万元),26401,14217,25984,25322,22402,32012,10275,6358,960,1904,2952,5051, 
 筹资活动产生的现金流量净额(万元),186,227,-1490,-2606,-2265,-4287,9701,-1641,-960,918,-1787,235, 
 汇率变动对现金及现金等价物的影响(万元),-197,-239,780,289,59,78,-18,-7,-40,-62,2,-11, 
 现金及现金等价物净增加额(万元),-4220,-3770,-7354,-9541,-7141,9636,6179,-4675,-1884,-1330,4916,-183, 
 加:期初现金及现金等价物余额(万元),10132,10132,17486,17486,17486,7849,1671,6346,4544,5874,958,1142, 
 期末现金及现金等价物余额(万元),5912,6362,10132,7945,10344,17486,7849,1671,2660,4544,5874,958, 
 净利润(万元),4400,3140,6008,4180,3071,5086,2719,3523,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),360,313,376,404,118,-104,833,319,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1419,897,1389,929,616,1172,1043,870,--,--,--,--, 
 无形资产摊销(万元),88,59,82,61,25,51,51,45,--,--,--,--, 
 长期待摊费用摊销(万元),18,2,--,--,0,15,44,45,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),10,12,--,--,0,20,-15,-11,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,74,74,-27,-74,--,384,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),506,499,-299,-104,73,-162,65,52,--,--,--,--, 
 投资损失(万元),-63,-61,-123,-201,-30,-68,-109,-417,--,--,--,--, 
 递延所得税资产减少(万元),167,17,-818,-583,-186,-4,-121,-58,--,--,--,--, 
 递延所得税负债增加(万元),69,32,8,-41,23,33,11,-58,--,--,--,--, 
 存货的减少(万元),-3109,-1689,-6539,-3181,-1738,-291,-1727,-855,--,--,--,--, 
 经营性应收项目的减少(万元),-1556,266,-2134,-2705,-303,-880,-637,-1198,--,--,--,--, 
 经营性应付项目的增加(万元),2233,139,5252,2042,-552,2556,414,187,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
