 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),228104,136726,316837,280560,141916,87640,215682,108220,63675,41929,129467,85861,51785,30502,148942,93350,61311,26642,150875,120481,88720, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),8330,2762,14343,4052,3407,2973,3263,6133,1506,931,2028,2682,1671,460,1850,2967,1037,1643,1958,1597,4645, 
 经营活动现金流入小计(万元),236434,139488,331180,284613,145323,90613,218945,114353,65180,42860,131495,88543,53456,30962,150792,96317,62348,28286,152833,122078,93365, 
 购买商品、接受劳务支付的现金(万元),207535,145397,300623,232146,147269,88012,211772,115855,64384,47401,110788,80962,55760,38443,134008,91956,60401,34656,137494,104447,73897, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16444,8125,19960,14003,8461,4198,13396,9687,6133,2927,8952,6638,4268,2177,8619,6514,4118,1932,6643,6077,6047, 
 支付的各项税费(万元),12977,8393,11333,9560,6498,3293,8797,8213,4745,2138,8029,5593,3869,2728,7302,5410,3783,2358,6208,6541,6836, 
 支付的其他与经营活动有关的现金(万元),30440,19602,27165,15917,5439,2913,14027,10554,4201,2943,4194,8164,3842,1648,6664,8450,5047,2297,4860,3377,3122, 
 经营活动现金流出小计(万元),267396,181517,359081,271626,167666,98416,247993,144309,79463,55409,131963,101357,67739,44997,156593,112330,73349,41243,155205,120442,89901, 
 经营活动产生的现金流量净额(万元),-30962,-42030,-27901,12986,-22343,-7803,-29048,-29956,-14282,-12549,-468,-12814,-14283,-14035,-5801,-16013,-11001,-12957,-2372,1637,3463, 
 收回投资所收到的现金(万元),62723,42655,80104,68884,51050,8395,8000,--,--,--,26400,26400,12000,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),636,493,583,396,304,4,37,--,--,--,244,244,65,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,2,2,2,2,5,2,2,1,20,1,0,0,223,1,1,0,7,3,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,1417,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),63359,43148,82106,69282,51356,8401,8042,2,2,1,26664,26645,12065,0,223,1,1,0,7,3,2, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2571,2035,4568,2159,1554,512,6300,4146,2423,1354,36841,27826,3300,1697,5961,4878,3431,1235,597,370,3961, 
 投资所支付的现金(万元),33661,12588,114594,85099,55159,9479,19844,1714,--,--,26400,26400,26400,--,200,--,--,--,200,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,1840,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
