 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),511467,316747,138080,666303,412420,259131,104724,608758,377036,240773,593842,540201,546404,497612, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2860,2785,82,5732,3605,3389,77,17800,17654,17302,3534,2641,2608,5088, 
 收到的其他与经营活动有关的现金(万元),12943,1593,5421,9635,9676,2437,2377,11023,7556,7269,10198,27455,15978,13235, 
 经营活动现金流入小计(万元),527270,321125,143584,681670,425700,264957,107178,637581,402246,265344,607574,570296,564990,515935, 
 购买商品、接受劳务支付的现金(万元),385751,223557,97751,426124,276368,158767,72692,354059,227710,147268,356392,359157,293369,308046, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),65140,48707,30783,83308,63155,45803,29349,79700,61851,44389,72904,73987,68666,53473, 
 支付的各项税费(万元),10011,8737,4573,14562,10534,9695,4648,12251,6965,6191,10112,29569,26009,23836, 
 支付的其他与经营活动有关的现金(万元),56687,43825,25250,89334,62696,40720,20302,89905,57982,37014,80567,80690,88958,82211, 
 经营活动现金流出小计(万元),517589,324826,158356,613328,412754,254984,126991,535916,354509,234863,519975,543402,477003,467567, 
 经营活动产生的现金流量净额(万元),9681,-3700,-14772,68343,12946,9973,-19813,101665,47738,30482,87598,26894,87987,48368, 
 收回投资所收到的现金(万元),207832,166371,59919,185171,89831,35505,13528,102189,51237,42264,337447,130286,96000,18000, 
 取得投资收益所收到的现金(万元),7821,6729,1697,5837,5285,2542,369,7587,7122,4684,6737,6028,2865,4605, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),118,51,5,154,215,178,33,12929,885,197,443,2565,44,121, 
 处置子公司及其他营业单位收到的现金净额(万元),19996,13301,--,--,--,--,--,549,--,--,2738,338,12455,--, 
 收到的其他与投资活动有关的现金(万元),15535,15139,12125,8451,12084,12053,7733,10543,7206,2881,12582,20687,15557,15780, 
