 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),30735,21883,8042,37575,24410,14872,7444,37568,25758,20353,35896,46437,42304,26440,5849,28040,21645,9927, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),530,255,--,220,165,29,11,126,95,33,207,46,42,202,32,168,65,78, 
 收到的其他与经营活动有关的现金(万元),3731,2761,1441,4477,3760,1656,852,3525,3706,1869,6198,7810,4836,1340,340,1439,2494,686, 
 经营活动现金流入小计(万元),34997,24899,9483,42271,28335,16557,8307,41220,29560,22256,42301,54293,47183,27982,6221,29647,24204,10691, 
 购买商品、接受劳务支付的现金(万元),25530,15515,8756,27309,19500,12025,5522,26499,18810,14067,31763,32951,25456,14669,7157,20106,15532,4307, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4603,3075,1720,4761,3532,2509,1367,4007,3005,1984,2988,2755,2282,1609,877,1181,956,526, 
 支付的各项税费(万元),3770,3267,1379,3085,2168,1490,1332,2726,2646,2015,3177,5350,1766,2076,1337,2403,347,398, 
 支付的其他与经营活动有关的现金(万元),6808,3929,2129,7271,6370,3127,1493,7035,6292,4181,9333,6614,10251,5560,1628,3621,5307,3316, 
 经营活动现金流出小计(万元),40711,25787,13984,42426,31571,19150,9714,40267,30754,22246,47260,47670,39755,23914,11000,27312,22142,8547, 
 经营活动产生的现金流量净额(万元),-5714,-888,-4501,-155,-3236,-2593,-1407,952,-1194,10,-4960,6623,7428,4069,-4779,2336,2061,2143, 
 收回投资所收到的现金(万元),9000,4000,10000,--,40000,30000,15000,--,--,--,--,--,--,--,--,506,24,--, 
 取得投资收益所收到的现金(万元),412,259,142,124,124,94,48,--,--,--,--,--,--,--,--,--,11,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,12,12,12,--,--,--,--,--,46,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
