 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),47890,33099,27178,117555,87279,56703,32887,75644,51398,22773,52351,45799,36448, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,16,7,25, 
 收到的其他与经营活动有关的现金(万元),10999,2878,1559,1612,1399,55,27,310,122,81,1139,172,271, 
 经营活动现金流入小计(万元),58889,35977,28737,119167,88678,56758,32914,75954,51519,22854,53506,45978,36744, 
 购买商品、接受劳务支付的现金(万元),45366,23719,13633,44836,29197,21613,12812,31584,29598,13852,25374,21324,23443, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),23721,15267,6129,25325,18465,11903,6069,20298,14892,6714,14103,12386,12035, 
 支付的各项税费(万元),6455,4250,2408,13392,10213,7013,3877,7983,6270,3121,5370,4503,3143, 
 支付的其他与经营活动有关的现金(万元),6468,3562,4363,4384,5401,2157,5013,3426,2083,1092,2352,1737,1480, 
 经营活动现金流出小计(万元),82010,46797,26533,87937,63276,42687,27771,63292,52843,24779,47199,39949,40101, 
 经营活动产生的现金流量净额(万元),-23121,-10820,2204,31229,25402,14071,5143,12662,-1324,-1925,6307,6029,-3357, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),296,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),188,168,21,43,43,43,--,61,26,19,66,15,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),45000,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
