 报告日期,2017-09-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),37388,35429,45428,44546,7746, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),3216,3711,4532,1105,312, 
 收到的其他与经营活动有关的现金(万元),1550,945,715,3993,3413, 
 经营活动现金流入小计(万元),42155,40085,50675,49644,11471, 
 购买商品、接受劳务支付的现金(万元),23583,15336,24390,21589,4491, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12955,14486,10637,5067,2853, 
 支付的各项税费(万元),1802,2494,4211,1536,551, 
 支付的其他与经营活动有关的现金(万元),4551,4649,4886,4207,4805, 
 经营活动现金流出小计(万元),42892,36965,44124,32399,12700, 
 经营活动产生的现金流量净额(万元),-737,3120,6551,17245,-1229, 
 收回投资所收到的现金(万元),66123,26594,227685,28275,--, 
 取得投资收益所收到的现金(万元),61,42,481,62,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),156,154,63,40,--, 
 处置子公司及其他营业单位收到的现金净额(万元),-183,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),66157,26790,228229,28378,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1901,5328,3632,3681,1171, 
 投资所支付的现金(万元),70735,26594,215685,40270,5, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),72636,31922,219317,43951,1176, 
 投资活动产生的现金流量净额(万元),-6479,-5132,8913,-15574,-1176, 
 吸收投资收到的现金(万元),--,--,--,587,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),16365,10215,--,3721,1450, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),16365,10215,0,4308,1450, 
 偿还债务支付的现金(万元),5935,4272,921,4265,2027, 
 分配股利、利润或偿付利息所支付的现金(万元),3232,112,5703,92,140, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),99,160,--,--,--, 
 筹资活动现金流出小计(万元),9266,4544,6623,4357,2167, 
 筹资活动产生的现金流量净额(万元),7099,5671,-6623,-50,-717, 
 汇率变动对现金及现金等价物的影响(万元),-368,295,236,0,-23, 
 现金及现金等价物净增加额(万元),-485,3954,9076,1623,-3145, 
 加:期初现金及现金等价物余额(万元),15406,11452,2376,754,3899, 
 期末现金及现金等价物余额(万元),14921,15406,11452,2376,754, 
 净利润(万元),8334,4805,12705,13287,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),947,506,178,-4,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),955,928,575,409,--, 
 无形资产摊销(万元),62,74,30,22,--, 
 长期待摊费用摊销(万元),--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),19,37,-2,0,--, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),538,-161,-233,92,--, 
 投资损失(万元),-61,-42,-481,-62,--, 
 递延所得税资产减少(万元),-264,-281,-156,-3,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-19377,-198,1022,-5586,--, 
 经营性应收项目的减少(万元),-18178,-5124,-2041,-1452,--, 
 经营性应付项目的增加(万元),26549,824,-5113,10618,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),-260,1752,68,-75,--, 
 经营活动产生现金流量净额(万元),-737,3120,6551,17245,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),14921,15406,11452,2376,754, 
 现金的期初余额(万元),15406,11452,2376,754,3899, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-485,3954,9076,1623,-3145, 

