 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),24668,135904,80397,46074,16685,102233,53462,29354,8548,96865,47714,26154,8727,104455,57638,32072,8690,93068,99915,72222, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),3,39,270,256,--,23,18,18,18,38,25,22,--,9,9,--,--,21,23,95, 
 收到的其他与经营活动有关的现金(万元),2994,2749,3233,947,382,2535,1291,871,415,2140,1407,941,2745,2897,2382,1821,3626,2523,2737,530, 
 经营活动现金流入小计(万元),27666,138692,83900,47277,17067,104791,54771,30244,8982,99043,49145,27117,11472,107361,60030,33893,12315,95612,102675,72847, 
 购买商品、接受劳务支付的现金(万元),19043,81525,57608,35710,15725,52609,36648,17359,5434,53795,37758,18409,9976,64796,50315,31031,16019,61427,65024,44316, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13366,52027,39304,26313,13340,36328,25086,16497,7442,33428,22161,15605,7098,30387,21072,13286,6177,26541,22223,15662, 
 支付的各项税费(万元),1024,2704,2198,1637,1314,2707,1578,1117,931,2679,2410,2005,1460,2598,1450,728,575,3808,2394,2764, 
 支付的其他与经营活动有关的现金(万元),2377,10481,7289,4570,2205,7854,5228,3119,1418,6073,4069,2035,3915,5627,3985,2448,3542,7422,5851,3668, 
 经营活动现金流出小计(万元),35811,146736,106400,68230,32584,99498,68540,38092,15225,95975,66399,38054,22450,103408,76821,47493,26313,99199,95492,66410, 
 经营活动产生的现金流量净额(万元),-8145,-8045,-22500,-20954,-15517,5293,-13768,-7849,-6243,3068,-17254,-10937,-10978,3954,-16792,-13600,-13997,-3586,7183,6437, 
 收回投资所收到的现金(万元),188,188,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,61,73,73,38,11,11,11,--,20,--,--,--,0,0,0,0,17,6,12, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,6900,6900,6900,6900,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),188,7148,6973,6973,6938,11,11,11,0,20,0,0,0,0,0,0,0,17,6,12, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),554,2604,2487,1609,960,10858,11015,5000,2262,3089,2696,330,151,689,552,384,146,494,599,5036, 
 投资所支付的现金(万元),--,1650,0,0,--,--,6505,--,--,6950,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,16170,16920,16920,--,13295,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,0,--,6900,--,--,--,0,0,0,0,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),554,20424,19407,18529,960,31053,17520,5000,2262,10039,2696,330,151,689,552,384,146,494,599,5036, 
 投资活动产生的现金流量净额(万元),-366,-13275,-12435,-11556,5979,-31042,-17509,-4989,-2262,-10019,-2696,-330,-151,-689,-552,-384,-146,-477,-593,-5024, 
 吸收投资收到的现金(万元),5,1865,873,623,--,10315,3342,3342,3342,33644,33644,33644,--,--,--,--,--,--,--,1882, 
 其中：子公司吸收少数股东投资收到的现金(万元),5,1832,873,623,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),1000,18700,16013,7624,3000,8893,5640,--,--,7000,7000,5000,3000,15059,14059,9059,4500,17500,12000,9200, 
 发行债券收到的现金(万元),--,--,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,14800,14800,14800,--,--,--,--,--,1200,1200,1200,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),1005,35365,31686,23047,3000,19208,8982,3342,3342,41844,41844,39844,3000,15059,14059,9059,4500,17500,12000,11082, 
 偿还债务支付的现金(万元),2283,12922,10340,3700,1700,2000,2000,2000,2000,19670,16670,14670,8670,9889,9500,3000,1000,18000,10597,6000, 
 分配股利、利润或偿付利息所支付的现金(万元),214,1148,892,280,104,712,635,618,4,423,378,315,178,982,724,430,172,622,592,507, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,2583,1800,1800,--,420,--,--,--,0,--,--,--,--,--,0,--,--,--,--, 
 筹资活动现金流出小计(万元),2498,16653,13032,5781,1804,3132,2635,2618,2004,20093,17048,14985,8848,10871,10224,3430,1172,18622,11190,6507, 
 筹资活动产生的现金流量净额(万元),-1493,18711,18653,17267,1196,16076,6347,725,1338,21751,24796,24859,-5848,4188,3835,5629,3328,-1122,810,4574, 
 汇率变动对现金及现金等价物的影响(万元),-38,-44,-69,-33,-5,18,0,0,--,0,0,0,--,0,0,0,--,-0,-0,-0, 
 现金及现金等价物净增加额(万元),-10042,-2653,-16350,-15276,-8348,-9655,-24930,-12112,-7166,14800,4846,13592,-16977,7452,-13509,-8354,-10815,-5186,7400,5987, 
 加:期初现金及现金等价物余额(万元),28188,30841,30841,30841,30841,40496,40781,40496,40496,25696,25696,25696,25696,18244,18244,18244,18244,23429,16029,10042, 
 期末现金及现金等价物余额(万元),18147,28188,14491,15565,22493,30841,15851,28383,33329,40496,30542,39288,8719,25696,4735,9889,7428,18244,23429,16029, 
 净利润(万元),--,3408,--,476,--,2311,--,473,--,4123,--,1355,--,6608,3657,1671,--,5324,5267,5122, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,937,--,540,--,285,--,579,--,580,--,103,--,760,498,586,--,421,232,62, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,806,--,416,--,715,--,317,--,522,--,264,--,506,375,244,--,479,503,501, 
 无形资产摊销(万元),--,1515,--,653,--,475,--,131,--,77,--,29,--,50,35,21,--,29,18,13, 
 长期待摊费用摊销(万元),--,148,--,73,--,131,--,63,--,115,--,58,--,102,75,49,--,89,71,70, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-12,--,-8,--,-8,--,-5,--,6,--,-0,--,0,--,-0,--,1,11,--, 
 固定资产报废损失(万元),--,7,--,--,--,--,--,0,--,--,--,0,--,--,-0,0,--,--,--,-2, 
 公允价值变动损失(万元),--,168,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,2695,--,805,--,241,--,4,--,423,--,315,--,982,724,430,--,622,592,307, 
 投资损失(万元),--,74,--,0,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,--, 
 递延所得税资产减少(万元),--,-419,--,-174,--,-122,--,-87,--,-43,--,35,--,-114,-255,-297,--,-54,-27,-74, 
 递延所得税负债增加(万元),--,-53,--,-24,--,218,--,0,--,--,--,0,--,--,--,0,--,--,--,--, 
 存货的减少(万元),--,-5305,--,-6754,--,-3094,--,-1365,--,4939,--,2350,--,6970,-3603,-1744,--,16439,-20997,-977, 
 经营性应收项目的减少(万元),--,-13591,--,-7464,--,-13356,--,-12688,--,-167,--,-8024,--,-2135,-9455,-10325,--,-7384,-6078,-3002, 
