 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),65536,197889,186850,135767,83542,208712,199504,149713,76692,176331,169306,115375,58797,217559,160068,107427,46337,195375,134457,136973,97681,87242, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),3,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1412,4958,2275,1691,1108,5512,2201,860,655,4879,1057,731,1362,1390,590,662,1761,1997,2987,1371,2124,350, 
 经营活动现金流入小计(万元),66950,202858,189125,137458,84650,214224,201705,150573,77347,181209,170363,116106,60159,218949,160658,108089,48098,197372,137444,138344,99805,87592, 
 购买商品、接受劳务支付的现金(万元),62311,122859,129554,102788,64035,131173,132665,89320,49349,130143,129819,88510,43800,173299,126458,82098,37735,141317,112279,99668,74073,68962, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4793,18641,13841,8942,4486,16680,11465,7710,4398,13839,9835,6340,3591,11974,8513,5906,3235,9761,6838,4670,2762,1985, 
 支付的各项税费(万元),2446,17170,13171,8530,5487,17911,12877,9363,5926,14599,8113,7138,3818,8844,7180,5972,3017,10584,5886,6487,6646,6492, 
 支付的其他与经营活动有关的现金(万元),2596,18027,10252,6140,1925,11954,9177,6964,1869,9440,8356,5245,2477,9619,7852,3453,1781,9721,5839,6910,3324,5245, 
 经营活动现金流出小计(万元),72146,176698,166818,126400,75933,177718,166183,113357,61541,168022,156123,107232,53686,203736,150004,97428,45768,171384,130842,117734,86805,82684, 
 经营活动产生的现金流量净额(万元),-5196,26161,22306,11057,8717,36506,35522,37216,15806,13188,14240,8875,6473,15213,10654,10660,2330,25988,6602,20610,13000,4909, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,112,214,141,36,102,--,--,--,11,--,--,--,72,60,10,9,1,11,30,2975,660, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,41,41,--,1391,1391,1391,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9,112,255,183,36,1494,1391,1391,0,11,0,0,0,72,60,10,9,1,11,30,2975,660, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12359,30958,22623,10583,8529,23263,17775,12906,6985,19671,11831,8764,5335,38115,25281,10520,5759,29655,35679,15851,7112,710, 
 投资所支付的现金(万元),--,1835,1835,500,500,8665,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,9749,9790,9790,7774,--,--,--,--,--,--,--,--,--,--,--,--,--,--,945,837,5297, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),12359,42542,34248,20873,16803,31928,17775,12906,6985,19671,11831,8764,5335,38115,25281,10520,5759,29655,35679,16796,7949,6007, 
 投资活动产生的现金流量净额(万元),-12351,-42430,-33994,-20690,-16767,-30435,-16384,-11515,-6985,-19661,-11831,-8764,-5335,-38043,-25221,-10510,-5750,-29654,-35668,-16766,-4974,-5347, 
 吸收投资收到的现金(万元),--,12655,12515,12510,11229,--,--,--,--,34400,31415,31415,--,--,--,--,--,--,0,593,4167,7996, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,3055,2915,2910,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,0,593,--,--, 
 取得借款收到的现金(万元),35080,57906,27721,13221,7530,36696,13916,2000,1500,34537,26029,12229,4913,67125,40100,22100,8000,41076,48741,15922,5600,9555, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),35080,70561,40236,25731,18759,36696,13916,2000,1500,68937,57444,43644,4913,67125,40100,22100,8000,41076,48741,16515,9767,17551, 
 偿还债务支付的现金(万元),19288,45504,16762,12065,5926,38588,28718,21017,7519,60791,45600,32600,5000,36750,23500,12500,2000,37100,20276,10522,10486,13265, 
 分配股利、利润或偿付利息所支付的现金(万元),868,5240,5035,1748,506,6411,5899,5377,523,3708,3083,2304,1122,3995,2790,1872,907,2967,1508,496,4421,4890, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,360,382,382,382,--,--,--,--,1937,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),20156,51104,22178,14194,6815,44999,34617,26394,8043,66436,48683,34904,6122,40745,26290,14372,2907,40067,21783,11017,14907,18155, 
 筹资活动产生的现金流量净额(万元),14924,19457,18058,11537,11944,-8303,-20702,-24394,-6543,2501,8761,8740,-1209,26380,13810,7728,5093,1009,26958,5497,-5140,-604, 
 汇率变动对现金及现金等价物的影响(万元),-18,21,-34,-25,-26,7,2,4,-1,-16,12,-7,-18,-14,-19,2,6,-13,0,-68,-46,-2, 
 现金及现金等价物净增加额(万元),-2640,3209,6337,1879,3868,-2225,-1562,1311,2278,-3988,11182,8843,-89,3536,-776,7880,1679,-2669,-2108,9272,2840,-1044, 
 加:期初现金及现金等价物余额(万元),9631,6422,6422,6422,6422,8647,8647,8647,8647,12635,12635,12635,12635,9098,9098,9098,9098,11767,13876,4604,1763,2807, 
 期末现金及现金等价物余额(万元),6990,9631,12759,8301,10290,6422,7085,9958,10925,8647,23816,21477,12546,12635,8322,16979,10777,9098,11767,13876,4604,1763, 
 净利润(万元),--,9481,--,6959,--,17346,--,8896,--,13044,--,4255,--,10956,--,3528,--,11390,11021,13049,14082,11791, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-745,--,-2538,--,2364,--,-384,--,2549,--,540,--,800,--,497,--,310,363,-78,858,121, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,15075,--,7454,--,14183,--,6653,--,11535,--,4995,--,8840,--,4179,--,6107,3296,3188,2594,2418, 
 无形资产摊销(万元),--,453,--,214,--,418,--,205,--,362,--,175,--,300,--,137,--,246,176,51,35,35, 
 长期待摊费用摊销(万元),--,175,--,66,--,92,--,39,--,103,--,31,--,58,--,23,--,121,168,121,155,128, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,300,--,307,--,273,--,1,--,273,--,0,--,78,--,6,--,-2,-289,-15,-2109,85, 
 固定资产报废损失(万元),--,1,--,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,25,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
