 报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),33513,59721,27579,68056,64668,51873, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),28,17,--,1,--,--, 
 收到的其他与经营活动有关的现金(万元),2168,2913,1408,3299,3814,4466, 
 经营活动现金流入小计(万元),35709,62651,28987,71355,68482,56339, 
 购买商品、接受劳务支付的现金(万元),23745,43552,19595,47732,47039,39479, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2712,5671,2930,5882,4967,4325, 
 支付的各项税费(万元),1712,6486,3064,5515,4636,4099, 
 支付的其他与经营活动有关的现金(万元),2641,6245,3510,5566,5786,9470, 
 经营活动现金流出小计(万元),30810,61954,29099,64695,62428,57373, 
 经营活动产生的现金流量净额(万元),4899,697,-112,6660,6054,-1035, 
 收回投资所收到的现金(万元),230,1040,50,420,--,153, 
 取得投资收益所收到的现金(万元),0,1,0,1,--,63, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,179,167,32,--,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,358,358,159,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),230,1578,575,612,0,220, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1946,1422,587,1827,4021,2850, 
 投资所支付的现金(万元),230,990,--,595,--,228, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,146,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2176,2412,587,2568,4021,3078, 
 投资活动产生的现金流量净额(万元),-1946,-834,-12,-1957,-4021,-2858, 
 吸收投资收到的现金(万元),--,286,126,600,--,2475, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,286,126,200,--,--, 
 取得借款收到的现金(万元),2350,3350,1350,6450,6300,6157, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),800,--,--,--,--,--, 
 筹资活动现金流入小计(万元),3150,3636,1476,7050,6300,8632, 
 偿还债务支付的现金(万元),1350,4850,1850,6500,7300,2557, 
 分配股利、利润或偿付利息所支付的现金(万元),1237,1759,1375,1939,2265,2303, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),2587,6609,3225,8439,9565,4859, 
