 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),22897,15692,30972,21092,28452,22398,26059, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,177,137,137,230,418,109, 
 收到的其他与经营活动有关的现金(万元),742,378,426,917,1173,387,217, 
 经营活动现金流入小计(万元),23639,16246,31535,22146,29854,23203,26385, 
 购买商品、接受劳务支付的现金(万元),7149,5714,12919,8040,14792,9681,10752, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3175,2304,3487,2625,2570,1783,1960, 
 支付的各项税费(万元),3739,2160,3751,2721,4097,3286,4152, 
 支付的其他与经营活动有关的现金(万元),6675,2681,3512,2631,3650,3317,3035, 
 经营活动现金流出小计(万元),20738,12858,23669,16018,25110,18067,19901, 
 经营活动产生的现金流量净额(万元),2901,3388,7865,6128,4744,5136,6484, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,0,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,15,157,--,92,56,40, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,15,158,0,92,56,40, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3689,2414,5143,2784,4724,3574,555, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3689,2414,5143,2784,4724,3574,555, 
 投资活动产生的现金流量净额(万元),-3689,-2399,-4986,-2784,-4632,-3518,-515, 
 吸收投资收到的现金(万元),31170,--,--,--,7240,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),1500,1500,--,--,--,1000,2200, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),32670,1500,0,0,7240,1000,2200, 
 偿还债务支付的现金(万元),--,--,--,--,1000,2200,--, 
