 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),117205,64949,31399,72205,43375,28088,11098,51816,42940,19334,51594,48143,40589, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),8588,4394,1015,5456,2668,1672,610,2661,1567,587,1620,1742,1063, 
 收到的其他与经营活动有关的现金(万元),809,641,645,432,280,169,236,340,705,295,197,391,135, 
 经营活动现金流入小计(万元),126602,69984,33058,78094,46323,29929,11945,54817,45212,20217,53411,50276,41787, 
 购买商品、接受劳务支付的现金(万元),93209,54027,26064,50937,27097,16495,5189,26269,24560,9955,33703,31506,31685, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5929,4203,2389,6305,4352,3012,1590,4487,4227,2120,3842,2592,2269, 
 支付的各项税费(万元),17423,10064,5537,7710,5031,3364,2174,4882,3691,1954,3200,3170,2513, 
 支付的其他与经营活动有关的现金(万元),8720,5558,2522,6706,4523,2680,1197,4614,5218,2292,4665,3543,2982, 
 经营活动现金流出小计(万元),125281,73851,36512,71658,41003,25551,10151,40252,37697,16321,45409,40811,39449, 
 经营活动产生的现金流量净额(万元),1321,-3867,-3454,6436,5321,4378,1794,14565,7515,3895,8001,9466,2338, 
 收回投资所收到的现金(万元),5000,--,--,--,--,--,--,--,--,--,505,882,--, 
 取得投资收益所收到的现金(万元),99,--,--,--,--,--,--,--,--,--,3,56,39, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),363,3,3,34,--,--,--,14,54,4,75,1,592, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,236,51,33,--,159,97,70,--,20,428, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),5462,3,3,271,51,33,0,173,151,74,582,958,1059, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4446,1307,1491,9901,10623,6511,5545,5335,2154,2129,4697,3695,5904, 
 投资所支付的现金(万元),8500,5000,--,--,--,--,--,--,--,--,505,64,50, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,1672,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),12946,6307,1491,9901,10623,6511,5545,5335,2154,2129,5202,5431,5954, 
 投资活动产生的现金流量净额(万元),-7485,-6303,-1488,-9631,-10572,-6478,-5545,-5163,-2003,-2055,-4620,-4472,-4895, 
 吸收投资收到的现金(万元),29480,29480,29480,--,--,--,--,--,--,--,450,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,450,--,--, 
 取得借款收到的现金(万元),15325,12780,2230,26770,14210,9330,5350,24090,23110,17660,22010,21030,27410, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,155,155,2557,1100,4174, 
 筹资活动现金流入小计(万元),44805,42260,31710,26770,14210,9330,5350,24090,23265,17815,25017,22130,31584, 
 偿还债务支付的现金(万元),35555,30460,22510,15550,2990,1790,--,29480,22490,16810,25890,23470,22120, 
 分配股利、利润或偿付利息所支付的现金(万元),2979,2770,404,4221,3992,3793,1130,5115,1807,1173,1799,1751,5103, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,3,1613,1825,2015,--,1100,2345,1323,683,2882,1092, 
 筹资活动现金流出小计(万元),38534,33230,22917,21384,8807,7598,1130,35695,26642,19306,28371,28104,28315, 
 筹资活动产生的现金流量净额(万元),6271,9030,8793,5386,5403,1732,4220,-11605,-3377,-1491,-3355,-5974,3269, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),108,-1141,3851,2191,151,-368,470,-2202,2136,350,27,-980,712, 
 加:期初现金及现金等价物余额(万元),3405,3405,3405,1214,1214,1214,1214,3416,1281,1281,1254,2234,1522, 
 期末现金及现金等价物余额(万元),3513,2264,7256,3405,1365,846,1684,1214,3416,1630,1281,1254,2234, 
 净利润(万元),--,18073,--,12275,--,5190,--,7719,5517,--,4632,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,196,--,240,--,131,--,503,19,--,10,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2782,--,4323,--,1818,--,3605,3595,--,3307,--,--, 
 无形资产摊销(万元),--,114,--,218,--,107,--,185,181,--,162,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-2,--,-24,--,--,--,509,109,--,77,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,171,--,945,--,344,--,670,918,--,1124,--,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,-3,--,--, 
 递延所得税资产减少(万元),--,-1,--,114,--,34,--,-104,32,--,5,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,2105,--,-3456,--,-268,--,1139,-596,--,447,--,--, 
