 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),11133,7500,3272,20626,12240,8982,6081,21875,14677,11698,6846,37310,56270,37884,46648, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),492,323,88,1834,1295,999,80,1666,1288,833,197,4174,2704,6437,3581, 
 经营活动现金流入小计(万元),11625,7824,3360,22460,13534,9981,6161,23540,15965,12531,7044,41485,58974,44321,50229, 
 购买商品、接受劳务支付的现金(万元),11108,5474,2390,8519,6517,3196,1324,8405,6976,3409,1185,22376,31417,28575,31930, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3901,2482,1266,5368,3951,2588,1387,5208,3973,2475,1319,5485,6760,6229,5354, 
 支付的各项税费(万元),917,753,461,2704,2047,1452,1007,3688,3369,1711,578,3808,3373,2548,3633, 
 支付的其他与经营活动有关的现金(万元),2395,1745,895,2659,2295,1756,919,3380,2666,1914,755,5083,8360,6064,5141, 
 经营活动现金流出小计(万元),18321,10453,5012,19250,14810,8992,4637,20681,16984,9510,3837,36752,49911,43417,46058, 
 经营活动产生的现金流量净额(万元),-6696,-2629,-1652,3210,-1276,989,1524,2859,-1019,3021,3207,4733,9063,904,4171, 
 收回投资所收到的现金(万元),18000,18000,12000,9899,--,--,--,--,--,--,--,--,--,50,--, 
 取得投资收益所收到的现金(万元),127,127,83,33,2,--,--,38,38,--,--,--,--,5,151, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),43,4,--,2693,2057,2,--,1,2,--,--,62,67,11,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,-0,--,--,--,--,--,--,40, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,1000,--,--,--,--,--,--,20,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),18170,18131,12083,12625,3060,2,0,40,40,0,0,81,67,66,191, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),253,274,166,409,320,279,196,1168,1113,1034,746,3535,2907,3023,15975, 
 投资所支付的现金(万元),6000,6000,--,19000,--,--,--,--,--,--,--,--,--,--,714, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,6000,--,5000,--,--,--,--,--,--,--,78,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),6253,6274,6166,19409,5320,279,196,1168,1113,1034,746,3535,2985,3023,16690, 
 投资活动产生的现金流量净额(万元),11917,11857,5916,-6785,-2260,-277,-196,-1129,-1073,-1034,-746,-3454,-2918,-2957,-16498, 
 吸收投资收到的现金(万元),--,--,--,17198,17198,17198,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,2000,2000,2000,2000,4000,4000,4000,2000,8000,11500,20400,14026, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,1264,1264,1264,--,--,--,--,--,--,--,1900,5000, 
 筹资活动现金流入小计(万元),0,0,0,20463,20463,20463,2000,4000,4000,4000,2000,8000,11500,22300,19026, 
 偿还债务支付的现金(万元),--,--,--,10000,10000,10000,2000,4000,4000,4000,2000,12500,15400,13000,6450, 
 分配股利、利润或偿付利息所支付的现金(万元),849,849,--,152,152,152,96,502,387,270,140,626,1073,3155,3980, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),50,50,--,1214,1214,640,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),899,899,0,11366,11366,10791,2096,4502,4387,4270,2140,13126,16473,16155,10430, 
 筹资活动产生的现金流量净额(万元),-899,-899,0,9097,9097,9671,-96,-502,-387,-270,-140,-5126,-4973,6145,8596, 
 汇率变动对现金及现金等价物的影响(万元),-2,-2,3,15,3,3,-1,3,14,17,11,19,21,4,3, 
 现金及现金等价物净增加额(万元),4319,8327,4267,5536,5563,10385,1232,1232,-2466,1734,2333,-3828,1192,4097,-3728, 
 加:期初现金及现金等价物余额(万元),13789,13789,13789,8252,8252,8252,8252,7020,7020,7020,7020,10848,9656,5559,9287, 
 期末现金及现金等价物余额(万元),18107,22115,18055,13789,13815,18638,9484,8252,4554,8754,9353,7020,10848,9656,5559, 
 净利润(万元),--,-283,--,2811,--,851,--,3992,--,1174,--,4920,5076,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,652,--,-135,--,-414,--,217,--,710,--,848,715,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,856,--,1814,--,890,--,1611,--,765,--,1619,1499,--,--, 
 无形资产摊销(万元),--,98,--,195,--,97,--,192,--,96,--,192,192,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,14,--,-1346,--,-17,--,6,--,72,--,-36,0,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,2,--,14,1,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,82,--,95,--,293,--,143,--,453,632,--,--, 
 投资损失(万元),--,-118,--,-2292,--,--,--,--,--,--,--,-38,-0,--,--, 
 递延所得税资产减少(万元),--,-94,--,38,--,91,--,50,--,-30,--,-42,-277,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,-73,--,--, 
 存货的减少(万元),--,-1196,--,-870,--,539,--,8413,--,5872,--,12320,-7821,--,--, 
 经营性应收项目的减少(万元),--,968,--,8206,--,5697,--,-3336,--,-1425,--,-267,-2365,--,--, 
 经营性应付项目的增加(万元),--,-3527,--,-5295,--,-6841,--,-8579,--,-4358,--,-15251,11485,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-2629,--,3210,--,989,--,2859,--,3021,--,4733,9063,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),18107,22115,18055,13789,13815,18638,9484,8252,4554,8754,9353,7020,10848,9656,5559, 
 现金的期初余额(万元),13789,13789,13789,8252,8252,8252,8252,7020,7020,7020,7020,10848,9656,5559,9287, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),4319,8327,4267,5536,5563,10385,1232,1232,-2466,1734,2333,-3828,1192,4097,-3728, 

